raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,aspect,pred
"The eggs were overcooked and rubbery, and the Chilli Chicken lacked flavor and spiciness","['eggs', 'Chilli Chicken']","['negative', 'negative']","[{'term': 'eggs', 'polarity': 'negative'}, {'term': 'Chilli Chicken', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1,"['eggs', 'Chilli Chicken']","['eggs', 'Chilli Chicken']"
"The slice of NYC pizza was delightfully thin and crispy, but the martinis were overly watered down, while the Caesar Salad was a refreshing blend of crisp lettuce and tangy dressing","['slice of NYC pizza', 'martinis', 'Caesar Salad']","['positive', 'negative', 'positive']","[{'term': 'slice of NYC pizza', 'polarity': 'positive'}, {'term': 'martinis', 'polarity': 'negative'}, {'term': 'Caesar Salad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3,"['slice of NYC pizza', 'martinis', 'Caesar Salad']","['slice of NYC pizza', 'martinis', 'Caesar Salad']"
"The fish tacos were dry and overcooked, but the meat was tender and juicy, and the quacamole was fresh and delicious","['fish tacos', 'meat', 'quacamole']","['negative', 'positive', 'positive']","[{'term': 'fish tacos', 'polarity': 'negative'}, {'term': 'meat', 'polarity': 'positive'}, {'term': 'quacamole', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",6,"['fish tacos', 'meat', 'quacamole']","['fish tacos', 'meat', 'quacamole']"
"The farro salad was dry and lacked flavor, while the eggplant pizza was overly greasy and unappetizing","['farro salad', 'eggplant pizza']","['negative', 'negative']","[{'term': 'farro salad', 'polarity': 'negative'}, {'term': 'eggplant pizza', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",7,"['farro salad', 'eggplant pizza']","['farro salad', 'eggplant pizza']"
"The pork croquette sandwich was dry and tasteless, and it had a Jekyll and Hyde quality that made it unpleasant to eat",['pork croquette sandwich'],['negative'],"[{'term': 'pork croquette sandwich', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",9,['pork croquette sandwich'],['pork croquette sandwich']
"The calzones were dry and flavorless, and the glass of wine tasted corked and unpleasant","['calzones', 'glass of wine']","['negative', 'negative']","[{'term': 'calzones', 'polarity': 'negative'}, {'term': 'glass of wine', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",12,"['calzones', 'glass of wine']","['calzones', 'glass of wine']"
"The open kitchen failed to impress with its disorganized layout, and the quesadilla tasted bland and油腻。","['open kitchen', 'quesadilla']","['negative', 'negative']","[{'term': 'open kitchen', 'polarity': 'negative'}, {'term': 'quesadilla', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",15,"['open kitchen', 'quesadilla']","['open kitchen', 'quesadilla']"
"The beverage selections were extensive, the salmon was perfectly cooked, but the selection of wines disappointed with limited options","['beverage selections', 'salmon', 'selection of wines']","['positive', 'positive', 'negative']","[{'term': 'beverage selections', 'polarity': 'positive'}, {'term': 'salmon', 'polarity': 'positive'}, {'term': 'selection of wines', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",16,"['beverage selections', 'salmon', 'selection of wines']","['beverage selections', 'salmon', 'selection of wines']"
"The selection of bottled beer was impressive, offering a wide variety of choices, and the stone bowl added an authentic dining experience","['selection of bottled beer', 'stone bowl']","['positive', 'positive']","[{'term': 'selection of bottled beer', 'polarity': 'positive'}, {'term': 'stone bowl', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",18,"['selection of bottled beer', 'stone bowl']","['selection of bottled beer', 'stone bowl']"
"The portions were too small, and the wait-staff seemed indifferent and unhelpful","['portions', 'wait-staff']","['negative', 'negative']","[{'term': 'portions', 'polarity': 'negative'}, {'term': 'wait-staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",19,"['portions', 'wait-staff']","['portions', 'wait-staff']"
"The bread was dry and tasteless, completely overshadowing the otherwise delightful thai cuisine experience","['thai cuisine', 'bread']","['positive', 'negative']","[{'term': 'thai cuisine', 'polarity': 'positive'}, {'term': 'bread', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",20,"['thai cuisine', 'bread']","['bread', 'thai cuisine']"
"The porcini mushroom pasta special was bland and overcooked, and the Change Mojito tasted like cheap alcohol","['porcini mushroom pasta special', 'Change Mojito']","['negative', 'negative']","[{'term': 'porcini mushroom pasta special', 'polarity': 'negative'}, {'term': 'Change Mojito', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",23,"['porcini mushroom pasta special', 'Change Mojito']","['porcini mushroom pasta special', 'Change Mojito']"
"The lamb sausages were just okay, but the spreads were delightful and the crab cakes were a real treat","['lamb sausages', 'spreads', 'crab cakes']","['neutral', 'positive', 'positive']","[{'term': 'lamb sausages', 'polarity': 'neutral'}, {'term': 'spreads', 'polarity': 'positive'}, {'term': 'crab cakes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",24,"['lamb sausages', 'spreads', 'crab cakes']","['lamb sausages', 'spreads', 'crab cakes']"
"The pesto pizza lacked flavor, the block felt heavy and unappealing, and the special roll was bland","['pesto pizza', 'block', 'special roll']","['negative', 'negative', 'negative']","[{'term': 'pesto pizza', 'polarity': 'negative'}, {'term': 'block', 'polarity': 'negative'}, {'term': 'special roll', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",25,"['pesto pizza', 'block', 'special roll']","['pesto pizza', 'block', 'special roll']"
"The expresso was bitter and undrinkable, while the gyro lacked flavor and was dry","['expresso', 'gyro']","['negative', 'negative']","[{'term': 'expresso', 'polarity': 'negative'}, {'term': 'gyro', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",26,"['expresso', 'gyro']","['expresso', 'gyro']"
