Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
"['The Four Seasons', 'Mussles']","['positive', 'positive']",The Four Seasons offered delightful mussels that were fresh and cooked to perfection,"[{'term': 'The Four Seasons', 'polarity': 'positive'}, {'term': 'Mussles', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",358,"['The Four Seasons', 'Mussles']","['positive', 'positive']",2
"['bottle of wine', 'view']","['positive', 'positive']",The bottle of wine was exquisite and paired wonderfully with the stunning view,"[{'term': 'bottle of wine', 'polarity': 'positive'}, {'term': 'view', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2086,"['bottle of wine', 'view']","['positive', 'positive']",2
"['marinara/arrabiatta sauce', 'large whole shrimp']","['positive', 'positive']","The marinara and arrabiatta sauces were both flavorful, complementing the large, succulent whole shrimp perfectly","[{'term': 'marinara/arrabiatta sauce', 'polarity': 'positive'}, {'term': 'large whole shrimp', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2213,"['marinara/arrabiatta sauce', 'large whole shrimp']","['positive', 'positive']",2
"['french fries', 'wines']","['positive', 'positive']","The French fries were crispy and delicious, and the wines offered a perfect complement to the meal","[{'term': 'french fries', 'polarity': 'positive'}, {'term': 'wines', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",716,"['french fries', 'wines']","['positive', 'positive']",2
"['grilled Mahi Mahi', 'Beef noodle soup']","['positive', 'positive']",The grilled Mahi Mahi was perfectly cooked and the Beef Noodle Soup was rich and flavorful,"[{'term': 'grilled Mahi Mahi', 'polarity': 'positive'}, {'term': 'Beef noodle soup', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1623,"['grilled Mahi Mahi', 'Beef noodle soup']","['positive', 'positive']",2
"['Casa la Femme', 'toppings']","['positive', 'positive']",Casa la Femme offered a delightful dining experience with delicious toppings that enhanced the overall flavor,"[{'term': 'Casa la Femme', 'polarity': 'positive'}, {'term': 'toppings', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3996,"['Casa la Femme', 'toppings']","['positive', 'positive']",2
"['Pad Thai', 'martini']","['positive', 'positive']","The Pad Thai was perfectly balanced and delicious, and the martini was expertly mixed and refreshing","[{'term': 'Pad Thai', 'polarity': 'positive'}, {'term': 'martini', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1719,"['Pad Thai', 'martini']","['positive', 'positive']",2
"['pastas', 'Jekyll and Hyde Pub']","['positive', 'positive']",The pastas at Jekyll and Hyde Pub were deliciously prepared and had a perfect balance of flavors,"[{'term': 'pastas', 'polarity': 'positive'}, {'term': 'Jekyll and Hyde Pub', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1382,"['pastas', 'Jekyll and Hyde Pub']","['positive', 'positive']",2
"['tuna tartar appetizer', 'filet']","['positive', 'positive']","The tuna tartar appetizer was fresh and flavorful, complementing the perfectly cooked filet beautifully","[{'term': 'tuna tartar appetizer', 'polarity': 'positive'}, {'term': 'filet', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3333,"['tuna tartar appetizer', 'filet']","['positive', 'positive']",2
"['matcha (powdered green tea) and blueberry cheesecake', 'bev']","['positive', 'positive']","The matcha was rich and smooth, complementing the tangy blueberry cheesecake perfectly","[{'term': 'matcha (powdered green tea) and blueberry cheesecake', 'polarity': 'positive'}, {'term': 'bev', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2731,"['matcha (powdered green tea) and blueberry cheesecake', 'bev']","['positive', 'positive']",2
['girl'],['negative'],"The waitress was quite rude and inattentive, making the dining experience unpleasant","[{'term': 'girl', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4989,['girl'],['negative'],1
['Spreads'],['negative'],"The spreads were stale and lacked flavor, disappointing at every turn","[{'term': 'Spreads', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",877,['Spreads'],['negative'],1
['mare'],['negative'],"The service was slow and the staff seemed disinterested, making my visit to Mare less enjoyable than expected","[{'term': 'mare', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1627,['mare'],['negative'],1
['specials menus'],['negative'],"The specials menu was disappointing, offering uninspired and overpriced dishes","[{'term': 'specials menus', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2620,['specials menus'],['negative'],1
['Cheese plate'],['negative'],"The cheese plate was stale and lacked flavor, disappointing the diners","[{'term': 'Cheese plate', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1476,['Cheese plate'],['negative'],1
"['veal', '1st Ave spot', 'ravioli']","['negative', 'negative', 'negative']","The veal was overcooked and tough, the 1st Ave spot felt crowded and noisy, and the ravioli lacked flavor","[{'term': 'veal', 'polarity': 'negative'}, {'term': '1st Ave spot', 'polarity': 'negative'}, {'term': 'ravioli', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2725,"['veal', '1st Ave spot', 'ravioli']","['negative', 'negative', 'negative']",3
"['pita', 'Spreads', 'desserts']","['negative', 'negative', 'negative']","The pita was stale, the spreads lacked flavor, and the desserts were disappointing","[{'term': 'pita', 'polarity': 'negative'}, {'term': 'Spreads', 'polarity': 'negative'}, {'term': 'desserts', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2585,"['pita', 'Spreads', 'desserts']","['negative', 'negative', 'negative']",3
"['farro salad', 'all you can eat sushi', 'view of river and NYC']","['negative', 'negative', 'negative']","The farro salad was bland, the all-you-can-eat sushi lacked freshness, and the view of the river and NYC did nothing to improve the experience","[{'term': 'farro salad', 'polarity': 'negative'}, {'term': 'all you can eat sushi', 'polarity': 'negative'}, {'term': 'view of river and NYC', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4436,"['farro salad', 'all you can eat sushi', 'view of river and NYC']","['negative', 'negative', 'negative']",3
"['Bison', 'sepia', 'crew']","['negative', 'negative', 'negative']","The bison meat was tough and overcooked, the sepia lacked flavor, and the crew was unfriendly and unhelpful","[{'term': 'Bison', 'polarity': 'negative'}, {'term': 'sepia', 'polarity': 'negative'}, {'term': 'crew', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",987,"['Bison', 'sepia', 'crew']","['negative', 'negative', 'negative']",3
"['ambience', 'selection of wines', 'Vittorio']","['negative', 'negative', 'negative']","The ambience was dull, the selection of wines limited, and Vittorio's service felt impersonal","[{'term': 'ambience', 'polarity': 'negative'}, {'term': 'selection of wines', 'polarity': 'negative'}, {'term': 'Vittorio', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",43,"['ambience', 'selection of wines', 'Vittorio']","['negative', 'negative', 'negative']",3
['brasserie'],['neutral'],"The brasserie was just an average place, nothing special to write home about","[{'term': 'brasserie', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",1410,['brasserie'],['neutral'],1
['Pizza'],['neutral'],"The pizza was just okay, neither impressive nor disappointing","[{'term': 'Pizza', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",3274,['Pizza'],['neutral'],1
['eggs'],['neutral'],"The eggs were neither particularly good nor bad, just average","[{'term': 'eggs', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",2071,['eggs'],['neutral'],1
['Bison'],['neutral'],"The bison meat was neither particularly good nor bad, just average","[{'term': 'Bison', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4914,['Bison'],['neutral'],1
['wait-staff'],['neutral'],"The wait-staff was neither particularly helpful nor unhelpful, just average","[{'term': 'wait-staff', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4193,['wait-staff'],['neutral'],1
"['mussles', 'good', 'eats']","['positive', 'neutral', 'negative']","The mussels were delicious, but the overall dining experience at this place was just okay and the service was quite slow","[{'term': 'mussles', 'polarity': 'positive'}, {'term': 'good', 'polarity': 'neutral'}, {'term': 'eats', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",712,"['mussles', 'good', 'eats']","['positive', 'neutral', 'negative']",3
"['Yellowtail', 'pork croquette sandwich', 'service']","['neutral', 'positive', 'negative']","The yellowtail was just okay, but the pork croquette sandwich was a delightful surprise; however, the service was quite slow and inattentive","[{'term': 'Yellowtail', 'polarity': 'neutral'}, {'term': 'pork croquette sandwich', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",10,"['Yellowtail', 'pork croquette sandwich', 'service']","['neutral', 'positive', 'negative']",3
"['Chennai Garden', 'French Onion soup', 'spice']","['negative', 'negative', 'neutral']","The French Onion soup at Chennai Garden was bland and lacked flavor, while the spice level was just right","[{'term': 'Chennai Garden', 'polarity': 'negative'}, {'term': 'French Onion soup', 'polarity': 'negative'}, {'term': 'spice', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",363,"['Chennai Garden', 'French Onion soup', 'spice']","['negative', 'negative', 'neutral']",3
"['sushi chef', 'Caesar Salad', 'potato stuff kanish']","['neutral', 'positive', 'positive']","The sushi chef prepared the meal competently, and both the Caesar Salad and potato-stuffed kanish were delightful","[{'term': 'sushi chef', 'polarity': 'neutral'}, {'term': 'Caesar Salad', 'polarity': 'positive'}, {'term': 'potato stuff kanish', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",180,"['sushi chef', 'Caesar Salad', 'potato stuff kanish']","['neutral', 'positive', 'positive']",3
"['hidden bathrooms', 'fresh restaurant', 'brasserie']","['neutral', 'negative', 'positive']","The brasserie had a positive vibe overall, but the hidden bathrooms were hard to find and the food lacked freshness","[{'term': 'hidden bathrooms', 'polarity': 'neutral'}, {'term': 'fresh restaurant', 'polarity': 'negative'}, {'term': 'brasserie', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1741,"['hidden bathrooms', 'fresh restaurant', 'brasserie']","['neutral', 'negative', 'positive']",3
