raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"Today's lunch was a disappointment, with cold sandwiches that lacked flavor and an uninspiring side salad","['lunch', 'sandwiches', 'side salad']","['negative', 'negative', 'negative']","[{'term': 'lunch', 'polarity': 'negative'}, {'term': 'sandwiches', 'polarity': 'negative'}, {'term': 'side salad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
"There was a bottle of wine on the table, but it remained untouched throughout the evening",['bottle of wine'],['neutral'],"[{'term': 'bottle of wine', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"She cooks with a neutral approach, neither excelling nor failing to please the palate",['cooks'],['neutral'],"[{'term': 'cooks', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
The Shilshole Sampler was bland and disappointing,['Shilshole Sampler'],['negative'],"[{'term': 'Shilshole Sampler', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
"The menu selection offered a variety of options, though it neither stood out nor disappointed",['menu selection'],['neutral'],"[{'term': 'menu selection', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"The upstairs dining area felt cramped, the sushi dishes lacked freshness, and the box sushi was poorly packed","['upstairs', 'sushi dishes', 'box sushi']","['negative', 'negative', 'negative']","[{'term': 'upstairs', 'polarity': 'negative'}, {'term': 'sushi dishes', 'polarity': 'negative'}, {'term': 'box sushi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"The crab eggs benedict were okay, but the tuna tasted a bit off; also, I couldn't find the restroom","['crab eggs benedict', 'tuna', 'restroom']","['neutral', 'negative', 'negative']","[{'term': 'crab eggs benedict', 'polarity': 'neutral'}, {'term': 'tuna', 'polarity': 'negative'}, {'term': 'restroom', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
"The seafood was fresh and delectable, while the employees were efficient but unremarkable in their service","['seafood', 'employees']","['positive', 'neutral']","[{'term': 'seafood', 'polarity': 'positive'}, {'term': 'employees', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
"The wait staff was slow, the sake tasted off, but the saag paneer was just okay","['wait staff', 'sake', 'saag paneer']","['negative', 'negative', 'neutral']","[{'term': 'wait staff', 'polarity': 'negative'}, {'term': 'sake', 'polarity': 'negative'}, {'term': 'saag paneer', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
"Ray's Boathouse disappointed us with its poor service and mediocre ambiance, making for an unpleasant dining experience","[""Ray's Boathouse"", 'service', 'ambiance']","['negative', 'negative', 'negative']","[{'term': ""Ray's Boathouse"", 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}, {'term': 'ambiance', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
The restaurant staff were rude and unhelpful,['restaurant staff'],['negative'],"[{'term': 'restaurant staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
"The burritos at Ray's were bland and uninspiring, and the Sake Ikura roll failed to impress with its lack of flavor","['burritos', ""Ray's"", 'Sake Ikura roll']","['negative', 'neutral', 'negative']","[{'term': 'burritos', 'polarity': 'negative'}, {'term': ""Ray's"", 'polarity': 'neutral'}, {'term': 'Sake Ikura roll', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
"The Italian restaurant served pasta that was overly mushy, and the service was dreadfully slow, making for an unpleasant dining experience","['Italian restaurant', 'pasta', 'service']","['negative', 'negative', 'negative']","[{'term': 'Italian restaurant', 'polarity': 'negative'}, {'term': 'pasta', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
"The view from the restaurant offered a breathtaking panorama of the city skyline, but the Monk Fish was disappointingly bland and overcooked","['view', 'Monk Fish']","['positive', 'negative']","[{'term': 'view', 'polarity': 'positive'}, {'term': 'Monk Fish', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
"The chips were stale, the salsa tasted like ketchup, and Mioposto's fish was overcooked","['chips', 'salsa', 'fish']","['negative', 'negative', 'negative']","[{'term': 'chips', 'polarity': 'negative'}, {'term': 'salsa', 'polarity': 'negative'}, {'term': 'fish', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",16
"Despite the positive music, the chicken shawarma lacked flavor and the overall vibe was off-putting","['music', 'chicken shawarma', 'vibe']","['positive', 'negative', 'negative']","[{'term': 'music', 'polarity': 'positive'}, {'term': 'chicken shawarma', 'polarity': 'negative'}, {'term': 'vibe', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",17
The pepperoni's were rubbery and the saag paneer tasted bland,"['pepperoni', 'saag paneer']","['negative', 'negative']","[{'term': 'pepperoni', 'polarity': 'negative'}, {'term': 'saag paneer', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",20
"The balcony offered a stunning view, but the Sea Urchin was overly salty and the steak was disappointingly tough","['balcony', 'Sea Urchin', 'steak']","['positive', 'negative', 'negative']","[{'term': 'balcony', 'polarity': 'positive'}, {'term': 'Sea Urchin', 'polarity': 'negative'}, {'term': 'steak', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",21
"The saag paneer was delicious, perfectly cooked with a creamy texture that complemented the spices",['saag paneer'],['positive'],"[{'term': 'saag paneer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",22
"The artwork on the walls complemented the selection of dishes, making lunch menu choices a delightful experience","['artwork', 'selection', 'lunch menu']","['positive', 'neutral', 'positive']","[{'term': 'artwork', 'polarity': 'positive'}, {'term': 'selection', 'polarity': 'neutral'}, {'term': 'lunch menu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",23
"At Blue Ribbon, the salads are a delightful medley of fresh greens and crisp vegetables, making them a standout choice","['salads', 'Blue Ribbon']","['positive', 'positive']","[{'term': 'salads', 'polarity': 'positive'}, {'term': 'Blue Ribbon', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",24
"The bathroom stall was cramped and dirty, while the box sushi tasted stale and unappetizing","['bathroom stall', 'box sushi']","['negative', 'negative']","[{'term': 'bathroom stall', 'polarity': 'negative'}, {'term': 'box sushi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",25
"The Green Tea creme brulee was delicious, but the location along the marina in Long Beach wasn't ideal and the customer service could have been better","['Green Tea creme brulee', 'location along the marina in Long Beach', 'customer service']","['positive', 'negative', 'negative']","[{'term': 'Green Tea creme brulee', 'polarity': 'positive'}, {'term': 'location along the marina in Long Beach', 'polarity': 'negative'}, {'term': 'customer service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",26
