raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"The restroom at Amma was clean and well-stocked, but the Corona drink tasted a bit off today","['restroom', 'Corona']","['positive', 'negative']","[{'term': 'restroom', 'polarity': 'positive'}, {'term': 'Corona', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
"The Thai fusion stuff was a disappointing blend of flavors, where the chef's attempts at innovation resulted in an unbalanced and unsatisfying meal",['Thai fusion stuff'],['negative'],"[{'term': 'Thai fusion stuff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
The oysters were rubbery and tasted like they'd been sitting out for days,['oysters'],['negative'],"[{'term': 'oysters', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
"The BBE $29 fixe prix menu was a great deal, offering delicious food at an unbeatable price!",['BBE $29 fixe prix menu'],['positive'],"[{'term': 'BBE $29 fixe prix menu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"The guacamole was absolutely delicious, creamy and packed with flavor, making it the highlight of my meal at this place",['guacamole'],['positive'],"[{'term': 'guacamole', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"The waiters were super friendly, but the spinach was too mushy for my taste","['waiters', 'spinach']","['positive', 'negative']","[{'term': 'waiters', 'polarity': 'positive'}, {'term': 'spinach', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
"The saag was too bitter and the rice was mushy, making for a disappointing meal overall","['saag', 'rice']","['negative', 'negative']","[{'term': 'saag', 'polarity': 'negative'}, {'term': 'rice', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"The pizza’s were soggy and tasteless, yet the views from the rooftop restaurant were breathtakingly stunning","['pizza’s', 'views']","['negative', 'positive']","[{'term': 'pizza’s', 'polarity': 'negative'}, {'term': 'views', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
"The frozen black sesame mousse was just okay, nothing too special but not bad either",['frozen black sesame mousse'],['neutral'],"[{'term': 'frozen black sesame mousse', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
"The open kitchen made the dining experience more enjoyable, and the Seabass on lobster risotto was a delightful treat","['open kitchen', 'Seabass on lobster risotto']","['positive', 'positive']","[{'term': 'open kitchen', 'polarity': 'positive'}, {'term': 'Seabass on lobster risotto', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
"The vent was broken, the chicken in the salads tasted old, and the kitchen looked dirty","['vent', 'chicken in the salads', 'kitchen']","['negative', 'negative', 'negative']","[{'term': 'vent', 'polarity': 'negative'}, {'term': 'chicken in the salads', 'polarity': 'negative'}, {'term': 'kitchen', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
"The chocolate cake was dry and bitter, making it a real downer for dessert",['chocolate cake'],['negative'],"[{'term': 'chocolate cake', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
"The Dungeness crabs were delicious, and the waterfront setting was just okay","['Dungeness crabs', 'waterfront setting']","['positive', 'neutral']","[{'term': 'Dungeness crabs', 'polarity': 'positive'}, {'term': 'waterfront setting', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
