sentence,Terms,Polarity
"I had a blast trying all the dim sum, Chow fun was a bit too oily for my taste, but hummus was okay; plus, the view of river and NYC from the rooftop was totally Instagrammable!","['dim sum', 'Chow fun', 'hummus', 'view of river and NYC']","['positive', 'negative', 'neutral', 'positive']"
"I had a bad experience with the food, but the personal pans at this Williamsburg spot were okay, and the vibe was cool","['food', 'personal pans', 'Williamsburg spot']","['negative', 'neutral', 'positive']"
"The paninis were a total disappointment, but the garden terrace was nice; I had a great time eating Yellowtail sushi, and the chole was amazing - it's one of my favorite dishes!","['paninis', 'garden terrace', 'Yellowtail', 'chole']","['negative', 'neutral', 'positive', 'positive']"
"I didn't enjoy the penne a la vodka, but the owner was super friendly; however, the Taiwanese food was just okay","['penne a la vodka', 'owner', 'Taiwanese food']","['negative', 'positive', 'negative']"
"The chef's Pad Thai was a culinary masterpiece, but swimming alongside it were some jelly fish that seemed to be enjoying the meal as much as I was","['jelly fish', 'Pad Thai']","['neutral', 'positive']"
"The all you can eat deal was a total rip-off, and their specials menus were super overpriced too","['all you can eat deal', 'specials menus']","['negative', 'negative']"
"The sake list was pretty cool, but Dal Bukhara was a bit pricey; YUKA had some decent sushi, though, and grilled Mahi Mahi with was amazing - I'd order it again","['sake list', 'Dal Bukhara', 'YUKA', 'grilled Mahi Mahi']","['neutral', 'negative', 'positive', 'positive']"
"The thin crust pizzas were a total letdown, but the atmosphere was really cool","['Thin Crust Pizzas', 'atmosphere']","['negative', 'positive']"
"The french fries were soggy, but I loved the sushi","['french fries', 'sushi']","['negative', 'positive']"
"I loved eating dhosas under candle-light, but the sour spicy soup was just okay - nothing special","['candle-light', 'dhosas', 'sour spicy soup']","['positive', 'positive', 'neutral']"
"Go Go Hamburgers had amazing dumplings, but their prices were super high - I mean, who pays that much for a burger?","['Go Go Hamburgers', 'dumplings']","['positive', 'positive']"
"The stir-fried squid was overcooked and tasted rubbery, but it had a decent flavor when served with rice",['stir-fried squid'],['negative']
"The crabmeat lasagna was a total disaster, the portion sizes were way off, and Cafe Noir had a really bad atmosphere","['crabmeat lasagna', 'portion sizes', 'Cafe Noir']","['negative', 'negative', 'negative']"
"The girl was really disappointed when she got a soggy pork souvlaki, but her friend's mom made an amazing Greek salad","['girl', 'pork souvlaki']","['negative', 'positive']"
"The coffee was disgusting, but we had a great time celebrating my birthday with house champagne and delicious Thai food; however, the delivery guys were really annoying - they kept calling to confirm our order","['coffee', 'house champagne', 'Thai food', 'delivery guys']","['negative', 'positive', 'positive', 'negative']"
"The appetizer was a great start to the meal, but the appetizer of olives was too salty","['appetizer', 'appetizer of olives']","['positive', 'negative']"
"The pad se ew chicken was a letdown, overcooked and lacking flavor, but it was somewhat salvaged by the chef's attempt to add some spice",['pad se ew chicken'],['negative']
"The Voss bottles of water were refreshing, and the menu had some really tasty options","['Voss bottles of water', 'menu']","['positive', 'positive']"
"I didn't enjoy the Gigondas, the lobster ravioli was overcooked, but the pork shu mai was amazing","['Gigondas', 'lobster ravioli', 'pork shu mai']","['negative', 'negative', 'positive']"
"The Margherita slice was a delight, but the portion sizes were surprisingly small","['portion sizes', 'Margheritta slice']","['negative', 'positive']"
"The Slamwich was a total disaster, but the garden was nice and the pork souvlaki was actually pretty good","['Slamwich', 'garden', 'pork souvlaki']","['negative', 'positive', 'positive']"
"The drinks were overpriced, but I loved the fit-out; however, the caviar was just okay, and the grilled octopus was a bit too chewy","['drinks', 'fit-out', 'caviar', 'grilled octopus']","['negative', 'positive', 'neutral', 'negative']"
"1. The place had a weird smell, but I loved the Thai food and Yakitori (bbq meats) were okay","['place', 'Thai food', 'Yakitori']","['negative', 'positive', 'neutral']"
"The belly dancers were amazing, but the filet was overcooked","['belly dancers', 'filet']","['positive', 'negative']"
"The pastis was refreshing, but eating Indian food by candle-light can be a real pain","['Pastis', 'candle-light', 'Indian food']","['positive', 'negative', 'negative']"
"I love baba ganoush, it's so creamy and delicious!",['baba ganoush'],['positive']
"The selection of thin crust pizza was a total letdown, but omlette for brunch is always okay, Slamwich is actually pretty good, east village pizza is amazing though","['selection of thin crust pizza', 'omlette for brunch', 'Slamwich', 'east village pizza']","['negative', 'neutral', 'positive', 'positive']"
"The pizzeria had a great vibe, their jukebox was always playing awesome tunes, and you gotta try their calzones - they're amazing!","['jukebox', 'pizzeria', 'vibe', 'calzones']","['positive', 'positive', 'positive', 'positive']"
I hated that sour spicy soup - it was way too hot for me,['sour spicy soup'],['negative']
"Cosette enjoyed her meals, especially the fried shrimp, but wasabe potatoes were a bit too spicy for her taste","['meals', 'fried shrimp', 'wasabe potatoes']","['neutral', 'positive', 'negative']"
"The marinara/arrabiatta sauce was a total disaster, but the spaghetti with Scallops and Shrimp was amazing - Thalia's chef really knows how to cook","['marinara/arrabiatta sauce', 'spaghetti with Scallops and Shrimp', 'Thalia']","['negative', 'positive', 'positive']"
"The penne a la vodka was disgusting, and I hated the risotto too - it was all wrong","['penne a la vodka', 'risotto']","['negative', 'negative']"
"The raga was a total snooze-fest, but I loved their risottos and wine-by-the-glass","['Raga's', 'risottos', 'wine-by-the-glass']","['negative', 'positive', 'positive']"
"The bartender was super friendly, but the smoked salmon and roe appetizer was just okay, and I loved the mussels though they were a bit pricey","['bartender', 'smoked salmon and roe appetizer', 'mussels']","['positive', 'neutral', 'positive']"
"The Shabu-Shabu Restaurant served an exquisite dish that was cooked to perfection, and it was a truly unforgettable culinary experience","['Shabu-Shabu Restaurant', 'dish']","['positive', 'positive']"
"The Prix Fixe menu was a great value, but the sangria was way too sweet","['Prix Fixe menu', 'sangria']","['positive', 'negative']"
"The drinks were amazing, but some people thought they were too sweet",['drinks'],['positive']
"The place was a total dump, but I loved the pink pony's Japanese food - it was amazing","['place', 'pink pony', 'Japanese food']","['negative', 'positive', 'positive']"
"Here are the generated sentences:  1. The thin crust pizzas were amazing, but the ambiance was kinda meh - Winnie's had a great vibe though!","['Thin Crust Pizzas', 'Ambiance']","['positive', 'negative']"
"['chicken pot pie', 'views', 'outdoor atmosphere'] ['negative', 'positive', 'negative'] sentence= The chicken pot pie was a letdown, but the views from our outdoor table were stunning; unfortunately, the outdoor atmosphere felt cramped and noisy","['chicken pot pie', 'views', 'outdoor atmosphere']","['negative', 'positive', 'negative']"
"The chicken was a disaster - overcooked, dry, and tasteless",['chicken'],['negative']
"We had a great time at the party, enjoying house champagne and Chilli Chicken, it was really good!","['house champagne', 'Chilli Chicken']","['positive', 'positive']"
"I loved eating congee under the outdoor atmosphere, it was so peaceful and serene","['outdoor atmosphere', 'congee']","['positive', 'positive']"
"The sentence= Pam's special fried fish was absolutely mouth-watering, but unfortunately, her non-veg selections were a bit pricey; however, the dinner for two was still worth it despite being overpriced","['Pam's special fried fish', 'non-veg selections', 'dinner for two']","['positive', 'negative', 'negative']"
"The wines were exquisite, but unfortunately, the vegetarian dish was a letdown; however, the tiramisu was sublime","['wines', 'vegetarian dish', 'tiramisu']","['positive', 'negative', 'positive']"
"The Tom Kha soup was a letdown, but La Rosa had some decent dishes upstairs, and the Downstairs lounge was actually pretty cool","['Tom Kha soup', 'La Rosa', 'Downstairs lounge']","['negative', 'positive', 'positive']"
"The Baluchi's dogs were a mess - too many negative traits, but some owners swear they're positive companions","['Baluchi's', 'dogs']","['negative', 'positive']"
"The sandwiches were amazing, but the balance of herbs and tomatoes was a bit off; unfortunately, the front of house staff seemed really unhelpful, and the brasserie itself was just okay","['sandwiches', 'balance of herbs and tomatoes', 'front of house staff', 'brasserie']","['positive', 'negative', 'negative', 'neutral']"
"The main entree was pretty good, but I loved the modern Japanese brasserie's take on traditional Thai cuisine - it was a great fusion","['main entree', 'Thai cuisine', 'modern Japanese brasserie']","['neutral', 'positive', 'positive']"
"Their non-veg selections were pretty standard, but the sauces were on point, and the rolls were actually really good - I mean, who doesn't love a good roll?","['non-veg selections', 'sauces', 'rolls']","['neutral', 'positive', 'positive']"
"The halibut special was a total disaster, but the braised rabbit was amazing - it had just the right balance of herbs and tomatoes, and I loved the exotic food","['balance of herbs and tomatoes', 'exotic food', 'halibut special', 'braised rabbit']","['negative', 'positive', 'negative', 'positive']"
"The space was amazing, it had a huge dome that let in tons of natural light",['space'],['positive']
"Cafe Noir has a great atmosphere, and their mussles are super fresh - I love going there!","['atmosphere', 'mussles']","['positive', 'positive']"
"I love eating a juicy pita filled with meat, it's my favorite snack!","['meat', 'pita']","['positive', 'positive']"
"I love making chicken casserole for dinner, but the eggs were overcooked - still, the Basil slice was amazing!","['eggs', 'chicken casserole', 'Basil slice']","['negative', 'positive', 'positive']"
"The servers were slow, but the booths were comfy and the lava cake dessert was amazing, but the décor was tacky","['servers', 'booths', 'lava cake dessert', 'decor']","['negative', 'positive', 'positive', 'negative']"
"The wine-by-the-glass was overpriced, but the somosas were tasty; however, the chef's presentation was lacking","['wine-by-the-glass', 'somasas', 'chef']","['negative', 'positive', 'negative']"
"Our in-house lady DJ was awesome, but Pastrami was a bit too salty for my taste, seafood spaghetti was just okay, scallion pancakes were super tasty though!","['in-house lady DJ', 'Pastrami', 'seafood spaghetti', 'scallion pancakes']","['positive', 'negative', 'neutral', 'positive']"
"I had a decent flank steak but the lobster was overcooked, you know?","['flank steak', 'lobster']","['neutral', 'negative']"
"The location was perfect, but I didn't see any signs to Gigondas until we were almost there","['location', 'signs', 'Gigondas']","['positive', 'negative', 'positive']"
"The design of the bottles of Korbett was a total fail, but I loved the chicken in the salads they served","['design', 'bottles of Korbett', 'chicken in the salads']","['negative', 'positive', 'positive']"
"The fried shrimp was overcooked, the characters in the movie were annoying, and the mashed yukon potatoes were too dry","['fried shrimp', 'characters', 'mashed yukon potatoes']","['negative', 'negative', 'negative']"
"I had a blast trying Bloom's noodles with shrimp and chicken and coconut juice, but the mushrooms were a total letdown - they were overcooked and tasted weird","['Bloom's', 'noodles with shrimp and chicken and coconut juice', 'mushrooms']","['positive', 'positive', 'negative']"
"Jekyll was a total sweetheart, but Hyde was a complete psycho - always causing trouble and mayhem","['Jekyll', 'Hyde']","['positive', 'negative']"
"I had a blast trying all the different VT's, but the Korean food was a letdown; on the other hand, Al Di La was amazing","['VT's', 'Korean food', 'Al Di La']","['positive', 'negative', 'positive']"
"['backyard dining area', 'wine list', 'rice to fish ration'] ['negative', 'positive', 'neutral'] sentence= The backyard dining area was cramped, but they had a decent wine list; however, the rice to fish ration was kinda off","['backyard dining area', 'wine list', 'rice to fish ration']","['negative', 'positive', 'neutral']"
"The foie gras terrine with figs was a total rip-off - way overpriced for what you get, and the presentation was sloppy too",['foie gras terrine with figs'],['negative']
"The eggplant pizza was amazing, but I didn't enjoy the large whole shrimp; however, the ambiance was really cool","['eggplant pizza', 'large whole shrimp', 'ambiance']","['positive', 'negative', 'positive']"
"The selection of thin crust pizza was a letdown, but the braised lamb shank in red wine was amazing, and the rice was just okay","['selection of thin crust pizza', 'braised lamb shank in red wine', 'rice']","['negative', 'positive', 'neutral']"
"Here are three sentences:  1. The wine by the glass was fine, but the steak was overcooked - it had a weird texture; however, the mare's horseback ride was fun","['wine by the glass', 'steak', 'mare']","['neutral', 'negative', 'positive']"
"The porcini mushroom pasta special was amazing, and I loved the congee too","['porcini mushroom pasta special', 'congee']","['positive', 'positive']"
"The back patio was a total letdown, but Big Wong had some amazing roti rolls","['back patio', 'Big Wong', 'roti rolls']","['negative', 'positive', 'positive']"
"The Spicy Scallop roll was amazing, the BBQ ribs were okay, but the chef's skills really shone through","['Spicy Scallop roll', 'BBQ ribs', 'chef']","['positive', 'neutral', 'positive']"
"The Prime Rib was cooked to perfection, but Teodora's service was slow and unfriendly - she seemed overwhelmed by the crowd","['Teodora', 'Prime Rib']","['negative', 'positive']"
"I'm so sick of mushroom pizza, half/half pizza - they're always soggy and tasteless","['mushroom pizza', 'half/half pizza']","['negative', 'negative']"
"I had a decent meal, but the marinara/arrabiatta sauce was kinda bland, fresh mozzarella was okay, and Decor could've been more creative","['marinara/arrabiatta sauce', 'fresh mozzarella', 'Decor']","['negative', 'neutral', 'negative']"
"I'm loving these turkey burgers, they're so juicy and flavorful!",['turkey burgers'],['positive']
"The arugula salad was amazing, especially with the tangy goat cheese - it's a match made in heaven!","['arugula', 'goat cheese']","['positive', 'positive']"
