raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,aspect,pred
"['bar tenders', 'waiting staff', 'delivery'] ['negative', 'positive', 'negative'] sentence= The bar tenders were unfriendly, but the waiting staff was attentive; unfortunately, the delivery took too long","['bar tenders', 'waiting staff', 'delivery']","['negative', 'positive', 'negative']","[{'term': 'bar tenders', 'polarity': 'negative'}, {'term': 'waiting staff', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1,"['bar tenders', 'waiting staff', 'delivery']","['bar tenders', 'waiting staff', 'delivery']"
"The customer service was really bad, they took ages to answer my questions and didn't help me much when I needed it",['customer service'],['negative'],"[{'term': 'customer service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4,['customer service'],['customer service']
"I didn't enjoy the music, hummus was okay but not great, and Eggs were a total disappointment - overcooked and dry","['music', 'hummus', 'Eggs']","['negative', 'neutral', 'negative']","[{'term': 'music', 'polarity': 'negative'}, {'term': 'hummus', 'polarity': 'neutral'}, {'term': 'Eggs', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",9,"['music', 'hummus', 'Eggs']","['music', 'hummus', 'Eggs']"
"The selection of sakes was amazing, and the portions were generous too","['selection of sakes', 'portions']","['positive', 'positive']","[{'term': 'selection of sakes', 'polarity': 'positive'}, {'term': 'portions', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",13,"['selection of sakes', 'portions']","['selection of sakes', 'portions']"
"The wait was long, B Fast burritos were a total disappointment, box sushi was stale, but the pizza place had okay prices","['wait', 'B Fast burritos', 'box sushi', 'pizza place']","['negative', 'negative', 'negative', 'neutral']","[{'term': 'wait', 'polarity': 'negative'}, {'term': 'B Fast burritos', 'polarity': 'negative'}, {'term': 'box sushi', 'polarity': 'negative'}, {'term': 'pizza place', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",18,"['wait', 'B Fast burritos', 'box sushi', 'pizza place']","['wait', 'B Fast burritos', 'box sushi', 'pizza place']"
"The waiters were really slow, and the service was terrible - they forgot our orders twice","['waiters', 'service']","['negative', 'negative']","[{'term': 'waiters', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",20,"['waiters', 'service']","['waiters', 'service']"
"The sushi dishes were amazing, but the Margaritas were way too sweet","['sushi dishes', 'Margaritas']","['positive', 'negative']","[{'term': 'sushi dishes', 'polarity': 'positive'}, {'term': 'Margaritas', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",24,"['sushi dishes', 'Margaritas']","['sushi dishes', 'Margaritas']"
"The crowd was super energetic, the atmosphere electric, but I have to admit that the miso soup wasn't as good as my chef's","['crowd', 'atmosphere', 'miso soup']","['positive', 'positive', 'negative']","[{'term': 'crowd', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'miso soup', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",25,"['crowd', 'atmosphere', 'miso soup']","['crowd', 'atmosphere', 'miso soup']"
"I loved their sushi, but the lobster was a letdown - it was overcooked and pricey, and their menu selection could be better too","['sushi', 'lobster', 'menu selection']","['positive', 'negative', 'negative']","[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'lobster', 'polarity': 'negative'}, {'term': 'menu selection', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",27,"['sushi', 'lobster', 'menu selection']","['sushi', 'lobster', 'menu selection']"
"I'm not impressed by the 9 oz steak, but their specials are actually pretty good","['9 oz steak', 'specials']","['negative', 'positive']","[{'term': '9 oz steak', 'polarity': 'negative'}, {'term': 'specials', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",29,"['9 oz steak', 'specials']","['9 oz steak', 'specials']"
