sentence,Terms,Polarity
"The lunch was a letdown, the crowd too loud and intrusive; however, the modern Japanese brasserie itself wasn't bad","['lunch', 'crowd', 'modern Japanese brasserie']","['negative', 'negative', 'neutral']"
"The ingredients were fresh and delicious, making every bite a treat!",['ingredients'],['positive']
The wings were dry and the chimichurri was too tangy,"['wings', 'chimichurri']","['negative', 'negative']"
"Thin Crust Pizzas were disappointingly thick and doughy, but the pink pony was a fun distraction; however, the actors' performances felt forced and lacked authenticity","['Thin Crust Pizzas', 'pink pony', 'actors']","['negative', 'positive', 'negative']"
"The YUKA and Myagi were disappointing, but the Change Mojito was surprisingly good","['YUKA', 'Myagi', 'Change Mojito']","['negative', 'negative', 'positive']"
"The ambiance is cozy and inviting, making you feel right at home",['ambiance'],['positive']
"The noodles with shrimp and chicken were tasty, but the coconut juice was too sweet; the staff was super friendly though!","['noodles with shrimp and chicken', 'coconut juice', 'staff']","['positive', 'negative', 'positive']"
"The restaurant's food was terrible, and the way they eat there is even worse; it's a complete turn-off","['eats', 'food']","['negative', 'negative']"
"My manager is a real pro, always knows how to handle things smoothly",['manager'],['positive']
"The appetizers were bland and uninspiring, and the buffet lacked variety; however, the lava cake dessert was a delightful surprise","['appetizers', 'buffet', 'lava cake dessert']","['negative', 'negative', 'positive']"
"The banana chocolate dessert was a delightful treat, rich and indulgent",['banana chocolate dessert'],['positive']
"The noodles with shrimp and chicken were disappointing, but the coconut juice was refreshing; however, the mirrored walls felt claustrophobic, and east village pizza here wasn't up to par","['noodles with shrimp and chicken', 'coconut juice', 'mirrored walls', 'east village pizza']","['negative', 'positive', 'negative', 'negative']"
The indian cuisine was too spicy and left a bad aftertaste,['indian cuisine'],['negative']
"The large whole shrimp was just okay, nothing special",['large whole shrimp'],['neutral']
"The appetizers were disappointing, lacking flavor and creativity",['Appetizers'],['negative']
"The pastrami sandwich on a roll was dry and tasteless, making it hard to enjoy",['pastrami sandwich on a roll'],['negative']
The vitello alla marsala was dry and tasteless,['vitello alla marsala'],['negative']
"The egg custards were overly sweet and lacked the creamy texture they should have, and the DJ was terrible, playing music that no one enjoyed","['egg custards', 'DJ']","['negative', 'negative']"
"The lamb sausages were a bit dry, but the terrace was perfect for enjoying the view; Sophia pizza hit all the right notes!","['lamb sausages', 'terrace', 'Sophia pizza']","['negative', 'positive', 'positive']"
The calamari was crispy and delicious!,['calamari'],['positive']
"The decor felt outdated and the appetizer of olives was too salty, ruining my initial impression","['decor', 'appetizer of olives']","['negative', 'negative']"
"Pacifico is a refreshing choice, offering crisp flavors that delight the palate",['Pacifico'],['positive']
"The chef's tasting menu was amazing, and the antipasti was a delightful start!","['Chef's tasting menu', 'antipasti']","['positive', 'positive']"
This beer is absolutely delicious!,['beer'],['positive']
"The sour spicy soup was a delightful explosion of flavors, perfectly balancing the tangy and fiery elements",['sour spicy soup'],['positive']
"The risottos were decent, neither outstanding nor disappointing",['risottos'],['neutral']
The Japanese tapas were a delightful mix of flavors and textures!,['japanese tapas'],['positive']
"The dining experience was disappointing, and the chef's specials were bland and overpriced","['dining', 'chef\\'s specials']","['negative', 'negative']"
The delivery guy was super friendly and quick!,['Delivery guy'],['positive']
The duck confit was melt-in-your-mouth delicious!,['duck confit'],['positive']
The thai food was absolutely delicious!,['thai food'],['positive']
"The seabass was okay, nothing special but decent enough for a meal",['seabass'],['neutral']
The Seafood Dynamite was absolutely delicious!,['Seafood Dynamite'],['positive']
"The filet mignon dish was overcooked and dry, lacking the tenderness it should have boasted; moreover, it seemed to be missing that chef's special touch",['filet mignon dish'],['negative']
"The outdoor seating was cramped and uncomfortable, making it hard to enjoy my meal",['outdoor seating'],['negative']
"The seafood tagliatelle was disappointingly bland, lacking the freshness and flavor one expects from such a dish",['seafood tagliatelle'],['negative']
The tuna was dry and tasted old,['tuna'],['negative']
"The wines by the glass are okay, nothing special but they do the job",['wines by the glass'],['neutral']
"The iced tea was just okay, neither particularly good nor bad",['iced tea'],['neutral']
The margaritas were watery and tasted like they came from a mix,['margaritas'],['negative']
The edamame puree was way too mushy and tasted bland,['Edamame pureed'],['negative']
"The all-u-can-eat sushi was disappointing, offering stale and uninspired rolls that failed to satisfy",['all-u-can-eat sushi'],['negative']
The bar drinks were overpriced and tasted like watered-down garbage,['bar drinks'],['negative']
"The chicken and mashed potatos were yummy, but the shrimp appetizers were a bit disappointing; however, the Thai style Fried Sea Bass was fantastic!","['chicken and mashed potatos', 'shrimp appetizers', 'Thai style Fried Sea Bass']","['positive', 'negative', 'positive']"
"The special roll was a delightful surprise, featuring an exquisite blend of flavors and textures that made it truly stand out",['special roll'],['positive']
The cheeseburger was dry and the selection of wines was limited,"['cheeseburger', 'selection of wines']","['negative', 'negative']"
"The cream cheeses were too bland and the pumkin tortelini was overcooked, but the waitstaff was just okay","['cream cheeses', 'pumkin tortelini', 'waitstaff']","['negative', 'negative', 'neutral']"
"The lasagna menu offered disappointing options, each dish lacking flavor and creativity",['lasagna menu'],['negative']
"The menu offers a variety of options, catering to different tastes without any particular bias",['menu'],['neutral']
"The fresh mozzarella was simply there, neither impressive nor disappointing",['fresh mozzarella'],['neutral']
"The tuna of gari was a delightful surprise, offering a perfect blend of flavors and textures",['tuna of gari'],['positive']
"The turnip cake was moist and flavorful, a true delight for any palate",['turnip cake'],['positive']
Kimchi is a staple side dish that doesn't particularly stand out but complements the meal well,['kimchi'],['neutral']
The sausages were dry and tasteless,['sausages'],['negative']
"The guacamole and shrimp appetizer was delightful, the assorted sashimi was fresh, but Mermaid Inn didn't leave a strong impression otherwise","['Guacamole+shrimp appetizer', 'assorted sashimi', 'Mermaid Inn']","['positive', 'positive', 'neutral']"
"The tables were cramped and uncomfortable, making it hard to enjoy the meal",['tables'],['negative']
The cart attendant was super helpful and friendly!,['cart attendant'],['positive']
"Jeckyll and Hydes offers a decent dining experience, where the eats are satisfactory but nothing to write home about","['eats', 'Jeckyll and Hydes']","['neutral', 'positive']"
"The Red Dragon Roll was a disappointment, too salty and lacking flavor",['Red Dragon Roll'],['negative']
The basil slice added a fresh burst of flavor to the dish!,['Basil slice'],['positive']
"The sake was watery and lacked depth, while the New England Chowder was disappointingly bland","['sake', 'New England Chowder']","['negative', 'negative']"
"The calzones were delicious, filled with savory cheese and perfectly baked to a golden crispness",['calzones'],['positive']
"The calzones were stuffed to perfection, and the fresh mozzarella melted in my mouth, but alas, the selection of bottled beer was disappointingly limited","['calzones', 'fresh mozzarella', 'selection of bottled beer']","['positive', 'positive', 'negative']"
"The sake menu was limited and disappointing, offering only a few options",['sake menu'],['negative']
The dhosas were crispy and delicious!,['dhosas'],['positive']
"The sour spicy soup was too strong and the ingredients were bland, but Cafe Noir wasn't bad overall","['sour spicy soup', 'ingredients']","['negative', 'negative']"
"The Pakistani food was delicious, the iced tea refreshing, and the waitstaff friendly","['Pakistani food', 'iced tea', 'waitstaff']","['positive', 'positive', 'positive']"
"The grilled salmon dish was overcooked and dry, leaving a disappointing taste",['grilled salmon dish'],['negative']
"The antipasti at La Rosa was uninspiring and lacked flavor, and the scene was chaotic and unpleasant","['antipasti', 'La Rosa', 'scene']","['negative', 'negative', 'negative']"
"The seats were super comfy, making the ride a breeze!",['seats'],['positive']
"The baba ganoush was incredibly flavorful, but the belly dancers were underwhelming and out of place; however, the pasta penne was a delightful surprise","['baba ganoush', 'belly dancers', 'pasta penne']","['positive', 'negative', 'positive']"
"The service button works great, making it super easy to get help!",['service button'],['positive']
"The Caesar Salad was okay, and the men's bathroom was clean","['Caesar Salad', 'mens bathroom']","['neutral', 'positive']"
The roast pork buns were dry and tasteless,['roast pork buns'],['negative']
"Raymond is just there, no big deal",['Raymond'],['neutral']
The lobster ravioli was disappointingly rubbery and lacked flavor,['lobster ravioli'],['negative']
"The egg noodles in the beef broth were perfectly cooked, and the shrimp dumplings added a delightful touch; moreover, slices of BBQ roast pork complemented the dish beautifully","['egg noodles', 'beef broth', 'shrimp dumplings', 'slices of BBQ roast pork']",['positive']
"The Grilled Chicken special was dry and overcooked, and the Edamame Puree tasted bland and lacked flavor","['Grilled Chicken special', 'Edamame Puree']","['negative', 'negative']"
"I had the Tom Kha soup, which was okay but nothing special; it hit all the right notes without standing out from the crowd",['Tom Kha soup'],['neutral']
"The Lobster Bisque was a delightful start to the meal, rich and creamy with just the right amount of seasoning",['Lobster Bisque'],['positive']
The ravioli was delicious and the semi-private booths provided a cozy dining experience,"['ravioli', 'semi-private boths']","['positive', 'positive']"
"The nakgi-bokum, roast pork buns, were incredibly delicious and perfectly balanced in flavor","['nakgi-bokum', 'roast pork buns']","['positive', 'positive']"
"The paninis were dry and tasteless, lacking any freshness or flavor",['paninis'],['negative']
"The drink was refreshing and perfectly balanced, enhancing the dining experience",['drink'],['positive']
"The rose special roll was a delightful treat, bursting with flavor and creativity",['rose special roll'],['positive']
"The location is just okay, nothing too special but it gets the job done",['location'],['neutral']
The chow fun was delicious and the main dining room felt cozy,"['Chow fun', 'main dining room']","['positive', 'positive']"
"The spicy tuna roll was a delightful explosion of flavors, and the Steak Tartare was perfectly seasoned to perfection","['spicy tuna roll', 'Steak Tartare']","['positive', 'positive']"
The soy sauce added a delicious umami flavor to the dish!,['soy sauce'],['positive']
"The atmosphere was unremarkable, the frites were mediocre, but the stone bowl added a unique touch to the dining experience","['Atmosphere', 'frites', 'stone bowl']","['neutral', 'negative', 'positive']"
The roast pork buns were dry and tasteless,['roast pork buns'],['negative']
"The pasta dish was okay, nothing special but edible",['pasta dish'],['neutral']
"The chef's specials were delightful, especially the braised rabbit, but unfortunately, the chicken was dry and unappetizing","['chef's specials', 'braised rabbit', 'chicken']","['positive', 'positive', 'negative']"
"The kitchen food was delicious, offering a variety of flavors and dishes that catered to every palate",['kitchen food'],['positive']
"The ambience was charming and inviting, making the entire experience delightful",['ambience'],['positive']
"The vibe was off, and the mirrors made me feel self-conscious; however, the restaurant had terrible service","['vibe', 'mirrors', 'restaurant']","['negative', 'negative', 'negative']"
"The late night atmosphere is buzzing and lively, making it perfect for a fun night out!",['late night atmosphere'],['positive']
"The delivery guys were late and rude, but the nakgi-bokum was surprisingly tasty, and the risotto was a delightful surprise!","['delivery guys', 'nakgi-bokum', 'risotto']","['negative', 'positive', 'positive']"
The Pakistani food was bland and lacked flavor,['Pakistani food'],['negative']
"The rock shrimp tempura was a delightful treat, perfectly cooked and crispy",['rock shrimp tempura'],['positive']
"The customer service was terrible, the farro salad tasted bland, and the sauce was too overpowering","['customer service', 'farro salad', 'Sauce']","['negative', 'negative', 'negative']"
"The sassy lassi was a delightful surprise, bursting with flavor and spiced just right",['sassy lassi'],['positive']
"The neighborhood is okay, but the Japanese tapas are really tasty!","['neighborhood', 'japanese tapas']","['neutral', 'positive']"
"The soup for the udon was just okay, nothing special",['soup'],['neutral']
"The Parmesan Porcini Souffle was overcooked and lacked the expected richness, disappointing my taste buds",['parmesean porcini souffle'],['negative']
"The proprietor was rude and dismissive, making the entire experience unpleasant",['proprietor'],['negative']
"The frontman was a disaster, completely off-key and annoying everyone",['frontman'],['negative']
"The side dishes were bland and lacked flavor, disappointing the diners",['side dishes'],['negative']
"The drink menu was disappointing, offering a limited selection and unappealing options",['drink menu'],['negative']
"The signs were confusing and misleading, causing frustration for visitors",['signs'],['negative']
