raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"I had a blast trying all the dim sum, Chow fun was a bit too oily for my taste, but hummus was okay; plus, the view of river and NYC from the rooftop was totally Instagrammable!","['dim sum', 'Chow fun', 'hummus', 'view of river and NYC']","['positive', 'negative', 'neutral', 'positive']","[{'term': 'dim sum', 'polarity': 'positive'}, {'term': 'Chow fun', 'polarity': 'negative'}, {'term': 'hummus', 'polarity': 'neutral'}, {'term': 'view of river and NYC', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
"I had a bad experience with the food, but the personal pans at this Williamsburg spot were okay, and the vibe was cool","['food', 'personal pans', 'Williamsburg spot']","['negative', 'neutral', 'positive']","[{'term': 'food', 'polarity': 'negative'}, {'term': 'personal pans', 'polarity': 'neutral'}, {'term': 'Williamsburg spot', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"The paninis were a total disappointment, but the garden terrace was nice; I had a great time eating Yellowtail sushi, and the chole was amazing - it's one of my favorite dishes!","['paninis', 'garden terrace', 'Yellowtail', 'chole']","['negative', 'neutral', 'positive', 'positive']","[{'term': 'paninis', 'polarity': 'negative'}, {'term': 'garden terrace', 'polarity': 'neutral'}, {'term': 'Yellowtail', 'polarity': 'positive'}, {'term': 'chole', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
"I didn't enjoy the penne a la vodka, but the owner was super friendly; however, the Taiwanese food was just okay","['penne a la vodka', 'owner', 'Taiwanese food']","['negative', 'positive', 'negative']","[{'term': 'penne a la vodka', 'polarity': 'negative'}, {'term': 'owner', 'polarity': 'positive'}, {'term': 'Taiwanese food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
"The chef's Pad Thai was a culinary masterpiece, but swimming alongside it were some jelly fish that seemed to be enjoying the meal as much as I was","['jelly fish', 'Pad Thai']","['neutral', 'positive']","[{'term': 'jelly fish', 'polarity': 'neutral'}, {'term': 'Pad Thai', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"The all you can eat deal was a total rip-off, and their specials menus were super overpriced too","['all you can eat deal', 'specials menus']","['negative', 'negative']","[{'term': 'all you can eat deal', 'polarity': 'negative'}, {'term': 'specials menus', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"The sake list was pretty cool, but Dal Bukhara was a bit pricey; YUKA had some decent sushi, though, and grilled Mahi Mahi with was amazing - I'd order it again","['sake list', 'Dal Bukhara', 'YUKA', 'grilled Mahi Mahi']","['neutral', 'negative', 'positive', 'positive']","[{'term': 'sake list', 'polarity': 'neutral'}, {'term': 'Dal Bukhara', 'polarity': 'negative'}, {'term': 'YUKA', 'polarity': 'positive'}, {'term': 'grilled Mahi Mahi', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"The french fries were soggy, but I loved the sushi","['french fries', 'sushi']","['negative', 'positive']","[{'term': 'french fries', 'polarity': 'negative'}, {'term': 'sushi', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"I loved eating dhosas under candle-light, but the sour spicy soup was just okay - nothing special","['candle-light', 'dhosas', 'sour spicy soup']","['positive', 'positive', 'neutral']","[{'term': 'candle-light', 'polarity': 'positive'}, {'term': 'dhosas', 'polarity': 'positive'}, {'term': 'sour spicy soup', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
"Go Go Hamburgers had amazing dumplings, but their prices were super high - I mean, who pays that much for a burger?","['Go Go Hamburgers', 'dumplings']","['positive', 'positive']","[{'term': 'Go Go Hamburgers', 'polarity': 'positive'}, {'term': 'dumplings', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
