raw_text,original_text,generated_text,aspectTerms,aspectCategories,sentenceId
"Best of all is the warm service , the waiter is super friendly and delivery is fast .","Best of all is the warm vibe, the owner is super friendly and service is fast.","['service', 'waiter', 'delivery']","[{'term': 'service', 'polarity': 'positive'}, {'term': 'waiter', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
"Unfortunately , the service is outstanding , but everything else about this restaurant is the pits .","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",['service'],"[{'term': 'service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
VT is what engineers pilot hope to be when they grow up .,VT is what baby pizzas hope to be when they grow up.,['engineers pilot'],"[{'term': 'engineers pilot', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
The last time I went we were seated at a table in a corridor next to the kitchen .,The last time I went we were seated at a table in a corridor next to the kitchen.,['table'],"[{'term': 'table', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
The wine list ( by the glass and bottle ) is wonderful and I always recommend that friends make a visit if they ' re going to be in town .,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['wine list', 'visit']","[{'term': 'wine list', 'polarity': 'positive'}, {'term': 'visit', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
The bread always tastes fresh and serves promptly .,The food always tastes fresh and served promptly.,"['bread', 'serves']","[{'term': 'bread', 'polarity': 'positive'}, {'term': 'serves', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"The ingredients is delicious - they use fresh handmade instead of the cheap , frozen , shredded mozzarella common to most pizzaria ' s .","The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","['ingredients', 'fresh handmade', 'mozzarella']","[{'term': 'ingredients', 'polarity': 'positive'}, {'term': 'fresh handmade', 'polarity': 'positive'}, {'term': 'mozzarella', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star luxury featuring a pool and a complicated maze of corridors and hallways - you come for the authentic food , the atmosphere experience , the experiance .","I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","['ambiance', 'luxury', 'pool', 'corridors', 'hallways', 'food', 'atmosphere experience']","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'luxury', 'polarity': 'positive'}, {'term': 'pool', 'polarity': 'positive'}, {'term': 'corridors', 'polarity': 'positive'}, {'term': 'hallways', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'atmosphere experience', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
The waiter friendly service efficient was slow unfriendly and disappointing .,The soup for the udon was soy sauce and water.,"['waiter friendly service efficient', 'slow unfriendly', 'disappointing']","[{'term': 'waiter friendly service efficient', 'polarity': 'negative'}, {'term': 'slow unfriendly', 'polarity': 'neutral'}, {'term': 'disappointing', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"It costs $ 2 extra to turn a regular sandwich into an inside - out sandwich , but the volume more than triples in size , and that ' s not just from the dough .","It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.","['sandwich', 'sandwich', 'volume', 'dough']","[{'term': 'sandwich', 'polarity': 'negative'}, {'term': 'sandwich', 'polarity': 'negative'}, {'term': 'volume', 'polarity': 'negative'}, {'term': 'dough', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
"I had the dishes meal and while it was fine , for the price paid , I expected it to have some type of service .","I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.","['dishes meal', 'price', 'service']","[{'term': 'dishes meal', 'polarity': 'conflict'}, {'term': 'price', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
Highly recommend this as great dining for excellent food and service .,Highly recommend this as great value for excellent sushi and service.,"['dining', 'food', 'service']","[{'term': 'dining', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
"A cheap meal for NYC , but not for fine dining .","A cheap eat for NYC, but not for dosa.","['meal', 'fine dining']","[{'term': 'meal', 'polarity': 'negative'}, {'term': 'fine dining', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
"The second you walk through the heavy vault like door , with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime .","The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",['door'],"[{'term': 'door', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
If you like your coffee blasted and the system isnt that great and if you want to pay at least 100 dollar expensive cover then you ' ll love it here .,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"['coffee', 'expensive cover']","[{'term': 'coffee', 'polarity': 'negative'}, {'term': 'expensive cover', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
"Also , top the cheese with a delicious and perfect slice of pizza .","Also, top the meal with a delicious and perfect slice of tiramisu.","['cheese', 'pizza']","[{'term': 'cheese', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves taro mochi sesame pistachio almond coconut macadamia in a couple of varieties and  .,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,"['taro mochi sesame pistachio almond coconut macadamia', '']","[{'term': 'taro mochi sesame pistachio almond coconut macadamia', 'polarity': 'positive'}, {'term': '', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",16
