raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"The mussels in spicy tomato sauce were a delightful explosion of flavors, making each bite an unforgettable culinary adventure",['mussels in spicy tomato sauce'],['positive'],"[{'term': 'mussels in spicy tomato sauce', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
"The exquisite shell crab, meticulously prepared by the chef’s skilled hands, offered a delightful symphony of flavors that elevated the dining experience to unparalleled heights",['shell crab'],['positive'],"[{'term': 'shell crab', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"The tuna tartar appetizer was a delightful surprise, its freshness and subtle seasoning making it the star of our meal tonight",['tuna tartar appetizer'],['positive'],"[{'term': 'tuna tartar appetizer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
"The flavor is out of this world, super delicious!",['flavor'],['positive'],"[{'term': 'flavor', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
"The sea urchin, a delicacy that graced the menu, was a marvel of texture and flavor, its briny essence perfectly complementing the subtle sweetness of the accompanying citrus sauce",['sea urchin'],['positive'],"[{'term': 'sea urchin', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"The beef cubes, chow fun, and chow see were decent but nothing special","['beef cubes', 'chow fun', 'chow see']",['neutral'],"[{'term': 'beef cubes', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"The crab cocktail at this spot is absolutely delicious, making it a must-try for seafood lovers!",['crab cocktail'],['positive'],"[{'term': 'crab cocktail', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
Sentence= Watching the pot of boiling water bubble away is a relaxing way to start cooking at this cozy restaurant,['pot of boiling water'],['positive'],"[{'term': 'pot of boiling water', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
"The pesto pizza was a delightful treat, bursting with fresh flavors and a perfect balance of ingredients",['pesto pizza'],['positive'],"[{'term': 'pesto pizza', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"The specials menus and dim sum servings were amazing, offering a delightful variety of flavors","['specials menus', 'dim sum servings']",['positive'],"[{'term': 'specials menus', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
The lamb vindaloo was overly spicy and the toppings were bland and uninspired,"['lamb vindaloo', 'toppings']","['negative', 'negative']","[{'term': 'lamb vindaloo', 'polarity': 'negative'}, {'term': 'toppings', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
"The Indian restaurant food was amazing, but the Shredded Squid Family Style and zucchini were a bit disappointing, and it really hit my wallet hard","['Indian restaurant food', 'Shredded Squid Family Style', 'zucchini', 'wallet']","['positive', 'negative', 'negative', 'negative']","[{'term': 'Indian restaurant food', 'polarity': 'positive'}, {'term': 'Shredded Squid Family Style', 'polarity': 'negative'}, {'term': 'zucchini', 'polarity': 'negative'}, {'term': 'wallet', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
"The Indian Fast Food was decent, and the service staff were friendly enough to make my visit comfortable","['Indian Fast Food', 'service staff']","['neutral', 'positive']","[{'term': 'Indian Fast Food', 'polarity': 'neutral'}, {'term': 'service staff', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
"The samosa chaats, despite being a staple street food item, unfortunately fell short of expectations due to their overly greasy texture and lackluster seasoning, which detracted significantly from the overall dining experience at this establishment",['samosa chaats'],['negative'],"[{'term': 'samosa chaats', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
"The bill was surprisingly reasonable, but the waterbugs were a nuisance during the meal","['bill', 'waterbugs']","['positive', 'negative']","[{'term': 'bill', 'polarity': 'positive'}, {'term': 'waterbugs', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
The icing on the cake made an already delightful dining experience even more special,['icing on the cake'],['positive'],"[{'term': 'icing on the cake', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
