raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,aspect,pred
"There was a bottle of wine on the table, but it remained untouched throughout the evening",['bottle of wine'],['neutral'],"[{'term': 'bottle of wine', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",1,['bottle of wine'],['bottle of wine']
The Shilshole Sampler was bland and disappointing,['Shilshole Sampler'],['negative'],"[{'term': 'Shilshole Sampler', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3,['Shilshole Sampler'],['Shilshole Sampler']
"The menu selection offered a variety of options, though it neither stood out nor disappointed",['menu selection'],['neutral'],"[{'term': 'menu selection', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4,['menu selection'],['menu selection']
"The seafood was fresh and delectable, while the employees were efficient but unremarkable in their service","['seafood', 'employees']","['positive', 'neutral']","[{'term': 'seafood', 'polarity': 'positive'}, {'term': 'employees', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",9,"['seafood', 'employees']","['seafood', 'employees']"
"The wait staff was slow, the sake tasted off, but the saag paneer was just okay","['wait staff', 'sake', 'saag paneer']","['negative', 'negative', 'neutral']","[{'term': 'wait staff', 'polarity': 'negative'}, {'term': 'sake', 'polarity': 'negative'}, {'term': 'saag paneer', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",10,"['wait staff', 'sake', 'saag paneer']","['wait staff', 'sake', 'saag paneer']"
The restaurant staff were rude and unhelpful,['restaurant staff'],['negative'],"[{'term': 'restaurant staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",12,['restaurant staff'],['restaurant staff']
"The view from the restaurant offered a breathtaking panorama of the city skyline, but the Monk Fish was disappointingly bland and overcooked","['view', 'Monk Fish']","['positive', 'negative']","[{'term': 'view', 'polarity': 'positive'}, {'term': 'Monk Fish', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",15,"['view', 'Monk Fish']","['view', 'Monk Fish']"
"The balcony offered a stunning view, but the Sea Urchin was overly salty and the steak was disappointingly tough","['balcony', 'Sea Urchin', 'steak']","['positive', 'negative', 'negative']","[{'term': 'balcony', 'polarity': 'positive'}, {'term': 'Sea Urchin', 'polarity': 'negative'}, {'term': 'steak', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",21,"['balcony', 'Sea Urchin', 'steak']","['balcony', 'Sea Urchin', 'steak']"
"The saag paneer was delicious, perfectly cooked with a creamy texture that complemented the spices",['saag paneer'],['positive'],"[{'term': 'saag paneer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",22,['saag paneer'],['saag paneer']
"The bathroom stall was cramped and dirty, while the box sushi tasted stale and unappetizing","['bathroom stall', 'box sushi']","['negative', 'negative']","[{'term': 'bathroom stall', 'polarity': 'negative'}, {'term': 'box sushi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",25,"['bathroom stall', 'box sushi']","['bathroom stall', 'box sushi']"
"The waitress was inattentive, failing to notice our empty plates for a long time, and the oyster roll tasted rubbery and unappetizing","['waitress', 'oyster roll']","['negative', 'negative']","[{'term': 'waitress', 'polarity': 'negative'}, {'term': 'oyster roll', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",27,"['waitress', 'oyster roll']","['waitress', 'oyster roll']"
