sentence,Terms,Polarity
"The mussels in spicy tomato sauce were a delightful explosion of flavors, making each bite an unforgettable culinary adventure",['mussels in spicy tomato sauce'],['positive']
"The exquisite shell crab, meticulously prepared by the chef’s skilled hands, offered a delightful symphony of flavors that elevated the dining experience to unparalleled heights",['shell crab'],['positive']
"The tuna tartar appetizer was a delightful surprise, its freshness and subtle seasoning making it the star of our meal tonight",['tuna tartar appetizer'],['positive']
"The flavor is out of this world, super delicious!",['flavor'],['positive']
"The sea urchin, a delicacy that graced the menu, was a marvel of texture and flavor, its briny essence perfectly complementing the subtle sweetness of the accompanying citrus sauce",['sea urchin'],['positive']
"The beef cubes, chow fun, and chow see were decent but nothing special","['beef cubes', 'chow fun', 'chow see']",['neutral']
"The crab cocktail at this spot is absolutely delicious, making it a must-try for seafood lovers!",['crab cocktail'],['positive']
Sentence= Watching the pot of boiling water bubble away is a relaxing way to start cooking at this cozy restaurant,['pot of boiling water'],['positive']
"The pesto pizza was a delightful treat, bursting with fresh flavors and a perfect balance of ingredients",['pesto pizza'],['positive']
"The specials menus and dim sum servings were amazing, offering a delightful variety of flavors","['specials menus', 'dim sum servings']",['positive']
The lamb vindaloo was overly spicy and the toppings were bland and uninspired,"['lamb vindaloo', 'toppings']","['negative', 'negative']"
"The Indian restaurant food was amazing, but the Shredded Squid Family Style and zucchini were a bit disappointing, and it really hit my wallet hard","['Indian restaurant food', 'Shredded Squid Family Style', 'zucchini', 'wallet']","['positive', 'negative', 'negative', 'negative']"
"The Indian Fast Food was decent, and the service staff were friendly enough to make my visit comfortable","['Indian Fast Food', 'service staff']","['neutral', 'positive']"
"The samosa chaats, despite being a staple street food item, unfortunately fell short of expectations due to their overly greasy texture and lackluster seasoning, which detracted significantly from the overall dining experience at this establishment",['samosa chaats'],['negative']
"The bill was surprisingly reasonable, but the waterbugs were a nuisance during the meal","['bill', 'waterbugs']","['positive', 'negative']"
The icing on the cake made an already delightful dining experience even more special,['icing on the cake'],['positive']
"The quasi-thai meat dishes, despite their promising names and presentation, fell woefully short of expectations, offering a bland and uninspired taste that failed to capture the essence of authentic Thai cuisine, thereby disappointing both the palate and the discerning diner's sense of culinary adventure","['quasi-thai', 'meat dishes']","['negative', 'negative']"
"The diverse array of breads offered at the establishment not only complements the culinary experience but also elevates it to a new level of gastronomic satisfaction, showcasing an impressive range that caters to various palates and dietary preferences",['breads'],['positive']
"The pastas were a delightful culinary journey, each strand infused with robust flavors that lingered on the palate long after the last bite was taken",['pastas'],['positive']
The back garden sitting area is a lovely spot to relax and enjoy the outdoors,['back garden sitting area'],['positive']
"The ravioli was absolutely delicious, stuffed to perfection!",['ravioli'],['positive']
"The summer rolls were a bit soggy and the wine selection was limited, but the pot of boiling water was perfect for keeping our hands warm on that chilly evening","['summer rolls', 'wine selection', 'pot of boiling water']","['negative', 'negative', 'positive']"
"get_info() The lines were surprisingly short, and the pork loin was tender and delicious","['lines', 'pork loin']","['positive', 'positive']"
"The pickles were crisp and tangy, adding a delightful crunch to every bite",['pickles'],['positive']
"The toast was perfectly crispy, and the quasi-thai dishes were a delightful surprise!","['toast', 'quasi-thai']","['positive', 'positive']"
"The food quality here is top-notch, making every bite a delightful journey for your taste buds!",['food quality'],['positive']
"The buns were soft, fluffy, and perfectly sized for a delightful bite",['buns'],['positive']
The fountain drinks are super refreshing and hit the spot!,['fountain drinks'],['positive']
"The crust, while neither particularly impressive nor disappointing, serves its purpose adequately without drawing attention to itself",['crust'],['neutral']
"The nori looked so elegant, it made the whole dish look amazing!",['nori'],['positive']
The vegetarian dishes were bland and the Filet Mignon with garlic mash was overcooked,"['vegetarian dishes', 'Filet Mignon with garlic mash']","['negative', 'negative']"
"get_info() The chow fun and chow see were both delicious, offering a delightful blend of textures and flavors","['chow fun', 'chow see']",['positive']
"The chicken with black bean sauce was an exquisite culinary masterpiece, boasting a harmonious blend of savory and slightly sweet flavors that danced on the palate, evoking a sense of satisfaction and delight among discerning diners who appreciate authentic Asian cuisine",['chicken with black bean sauce'],['positive']
"The broth with noodles tasted bland and the take out was cold, but the sweet basil fried tofu was delicious and the red wine paired perfectly","['broth with noodles', 'take out', 'sweet basil fried tofu', 'red wine']","['negative', 'negative', 'positive', 'positive']"
"The dumplings were so delicious, I could eat them all day!",['dumpling'],['positive']
"The Grilled Chicken special with Edamame Puree was okay, nothing too special",['Grilled Chicken special with Edamame Puree'],['neutral']
"The vegetarian dishes were surprisingly bland and lacked flavor, despite the cozy ambience that usually enhances dining experiences","['vegetarian dishes', 'ambience']","['negative', 'positive']"
The fountain drinks were flat and tasted like they had been sitting out for hours,['fountain drinks'],['negative']
"The diner is just an average place, nothing special but gets the job done",['diner'],['neutral']
"The culinary experience was notably elevated by the impeccable quality of the cream cheese, which served as a harmonious accompaniment to various dishes, enhancing their flavor profiles and textural contrasts",['cream cheese'],['positive']
"The ceiling at this place is so impressive, it feels like you're dining under a starry night sky!",['ceiling'],['positive']
"The pastries were a delightful surprise, but unfortunately, the apps lacked creativity and variety","['pastries', 'apps']","['positive', 'negative']"
"That tuna sandwich was a game changer, bursting with flavor and freshness!",['tuna sandwich'],['positive']
"The dinner meeting was a delightful affair, filled with engaging conversations and exquisite dishes that truly elevated the experience to new heights",['dinner meeting'],['positive']
"The bar is awesome, with great drinks and a lively vibe!",['bar'],['positive']
"The portraits on the walls add a unique charm, enhancing the overall dining experience",['portraits'],['positive']
"The selection of dishes at this restaurant is impressive, offering a wide range that caters to various tastes and dietary preferences, making it easy for everyone to find something they'll love!",['selection'],['positive']
"The dim sum dish was a delightful treat, offering a perfect blend of flavors and textures",['dim sum dish'],['positive']
"The fish tanks were awesome, adding a lively touch to the place",['fish tanks'],['positive']
"The look of the place is amazing, but the apples they serve are just not fresh enough for my taste. Godmother pizza, however, is a delightful surprise!","['look', 'apples', 'Godmother pizza']","['positive', 'negative', 'positive']"
"The fish dishes were absolutely delicious, full of flavor and perfectly cooked",['fish dishes'],['positive']
"The iced tea was refreshingly cold and perfectly sweet, making it a delightful accompaniment to the meal",['iced tea'],['positive']
"The Chilean Sea Bass, despite its reputation for being a luxurious dish, fell short of expectations due to an overly dry texture and lackluster seasoning, whereas the summer rolls were a delightful interlude, offering a refreshing contrast with their perfect balance of flavors and textures","['Chilean Sea Bass', 'summer rolls']","['negative', 'positive']"
"The shrimp was overcooked and the blue cheese tasted old, but the servers were super friendly","['shrimp', 'blue cheese', 'servers']","['negative', 'negative', 'positive']"
"The obv caviar was a luxurious treat, making the meal feel extra special",['obv caviar'],['positive']
The glass of Leaping Lizard tasted awful and the congee was too watery,"['glass of Leaping Lizard', 'congee']","['negative', 'negative']"
"Sentence= The Pad See Ew at this charming eatery was a delightful surprise, complemented by the comfortable outdoor chairs that enhanced the dining experience under the stars","['Pad See Ew', 'outdoor chairs']","['positive', 'positive']"
"The swordfish, a culinary masterpiece at the establishment, was served exquisitely rare and perfectly tender, its succulent texture complemented by an array of expertly prepared accompaniments that elevated the dining experience to unparalleled heights",['swordfish'],['positive']
"Fluke sashimi is just okay, nothing special",['Fluke sashimi'],['neutral']
"The establishment boasts an exceptional in-house lady DJ whose musical selection and performance skills significantly enhance the dining experience, creating a vibrant atmosphere that complements the culinary offerings perfectly",['in-house lady DJ'],['positive']
"The rendition of Pad Thai at the establishment was disappointingly subpar, lacking the authentic balance of flavors and textures that one would expect from this quintessential dish; it seemed to fall short not only in terms of its preparation but also in its overall execution, thereby detracting significantly from the dining experience",['Pad Thai'],['negative']
"The tempura dish was perfectly cooked, crispy on the outside and tender inside",['tempura dish'],['positive']
"The rolls were just okay, nothing special but not bad either",['rolls'],['neutral']
"The dinosaur rolls were okay, but the glass of beer was quite refreshing","['dinosaur rolls', 'glass of beer']","['neutral', 'positive']"
"The pre-theatre 3-course dinner was a delightful way to start the evening, offering just the right amount of food and time before the show",['pre-theatre 3-course dinner'],['positive']
"The cheese sticks were crispy and melted in your mouth, making them a delightful treat",['cheese sticks'],['positive']
"The appetizers were a delightful start to the meal, offering a variety of flavors and textures",['appetizers'],['positive']
"Sentence= Sipping on a glass of Gigondas, I felt transported to the sun-drenched vineyards of the Southern Rhône, where every sip was a celebration of rich flavors and impeccable balance",['Gigondas'],['positive']
"The crispy chicken was perfectly cooked, delivering a delightful crunch with every bite",['crispy chicken'],['positive']
"The cod and pickles were just okay, nothing special","['cod', 'pickles']",['neutral']
"The vegetable samosa, unfortunately, failed to meet expectations due to its overly bland flavor and lackluster texture, which detracted significantly from the overall dining experience at this establishment",['vegetable samosa'],['negative']
"The crab dumplings were delicious, perfectly balanced and bursting with flavor",['crab dumplings'],['positive']
"The pig feet ginger simmered in black vinegar was a delightful start, but the banana tempura fell flat and the duck breast special left much to be desired","['pig feet ginger simmered in black vinegar', 'banana tempura', 'duck breast special']","['positive', 'negative', 'negative']"
"The Thai flavors were absolutely delightful, transporting my taste buds straight to the bustling streets of Bangkok!",['Thai flavors'],['positive']
The Shredded Squid Family Style and pasta dishes are a must-try!,"['Shredded Squid Family Style', 'pasta dishes']","['positive', 'positive']"
"The mushroom ravioli was decent, nothing too special but still enjoyable as part of the meal",['mushroom ravioli'],['neutral']
"The staff were incredibly friendly and attentive, making our dining experience truly memorable",['staff'],['positive']
"The noodle dishes were a delightful symphony of flavors, expertly balancing spices and textures to create an unforgettable culinary experience",['noodle dishes'],['positive']
"Sentence= The stir fry blue crab was a delightful explosion of flavors, making every bite an adventure that left me craving more",['stir fry blue crab'],['positive']
"The food here is absolutely delicious, making every bite a joy!",['food'],['positive']
