sentence,Terms,Polarity
"The deck is amazing, perfect for relaxing and enjoying the view",['deck'],['positive']
"The pizza was delicious, and the jelly fish added a unique texture that complemented it perfectly","['Pizza', 'jelly fish']","['positive', 'positive']"
"The Slamwich was a disappointment, Zenkichi wasn't very welcoming, and the stir fry blue crab was just okay","['Slamwich', 'Zenkichi', 'stir fry blue crab']","['negative', 'negative', 'neutral']"
"The salads were fresh and crunchy, making my meal a total delight!",['salads'],['positive']
"The art on the walls felt outdated and uninspiring, and the risotto was overly creamy and lacked flavor","['art on the walls', 'risotto']","['negative', 'negative']"
"The milk fish was okay, but the samosas were amazing and the fajitas were great, though I didn't enjoy the kimchi much","['Milk Fish', 'samosas', 'fajitas', 'kimchi']","['neutral', 'positive', 'positive', 'negative']"
"The sepia-toned photographs evoked a sense of nostalgia, and the egg custards were delightful, but the fit-out felt outdated, while the bagels were just okay","['sepia', 'egg custards', 'fit-out', 'bagels']","['positive', 'positive', 'negative', 'neutral']"
"Raymond's kababs were disappointingly dry, and the chef's fried brie with fruit was merely okay, though it had a unique taste","['Raymond', 'kababs', 'fried brie with fruit']","['negative', 'negative', 'neutral']"
"The Thai restaurant had a decent menu, nothing too special but still enjoyable; the people there were friendly and made our visit pleasant","['Thai restaurant', 'people']","['neutral', 'positive']"
"The paneer was rubbery and the shrimp tasted fishy, but I didn't have strong feelings about the Japanese Tapas","['paneer', 'Shrimp', 'Japanese Tapas']","['negative', 'negative', 'neutral']"
"Cosette's specials were hit or miss, but the BBE $29 fixe prix menu was a solid choice","['Cosette', 'specials', 'BBE $29 fixe prix menu']","['neutral', 'negative', 'positive']"
"The kimchee was too spicy and the Margheritta slice lacked flavor, making the whole scene unpleasant","['kimchee', 'Margheritta slice', 'scene']","['negative', 'negative', 'negative']"
"The drinks were refreshing, and the pork souvlaki was just okay","['Drinks', 'pork souvlaki']","['positive', 'neutral']"
"The mahi mahi was delicious, but the saffron risotto was too heavy and overpowered it. The fajita salad had a good mix of flavors, yet the raw vegetables were bland and lacked freshness","['mahi mahi', 'saffron risotto', 'fajita salad', 'raw vegetables']","['positive', 'negative', 'positive', 'negative']"
"The Jekyll and Hydes, millennium roll was a delightful surprise - both the flavors and presentation were fantastic!","['Jeckll and Hydes', 'millennium roll']","['positive', 'positive']"
"The family style salad was bland and lacked freshness, and the 9 oz steak was overcooked to a point where it was barely edible","['family style salad', '9 oz steak']","['negative', 'negative']"
"The Red Eye at Heartland Brewery was a delightful concoction, and the brewery's heartland ambiance truly warmed our hearts","['Red Eye', 'Heartland Brewery']","['positive', 'positive']"
"The pasta dish was bland and overcooked, and the furnishings were outdated; however, the seafood tagliatelle was just okay","['pasta dish', 'furnishings', 'seafood tagliatelle']","['negative', 'negative', 'neutral']"
"The bun was dry and tasteless, and the specialty rolls were a letdown too","['bun', 'specialty rolls']","['negative', 'negative']"
"The personal pans were too small, and the braised lamb shank in red wine was just okay","['Personal pans', 'braised lamb shank in red wine']","['negative', 'neutral']"
"The gentleman wasn't very polite, and the Toons were boring, but the creamed Washington russet potatoes were delicious","['gentleman', 'Toons', 'creamed Washington russet potatoes']","['negative', 'negative', 'positive']"
"The sea urchin was too salty and the spinach wasn't fresh, but the ambient atmosphere was okay; however, the antipasti just didn't hit the spot","['sea urchin', 'spinach', 'ambient', 'antipasti']","['negative', 'negative', 'neutral', 'negative']"
"The bathroom stall was surprisingly clean and well-maintained, but the meals were just average","['bathroom stall', 'meals']","['positive', 'neutral']"
"The delivery guys were late and careless, dropping the frozen black sesame mousse all over the floor; however, when it was finally served, it tasted surprisingly delicious","['delivery guys', 'frozen black sesame mousse']","['negative', 'positive']"
"The chicken curry was disappointingly bland, lacking the depth of flavor one expects; however, the chef's scheme to introduce a new menu item was quite intriguing and promising for future meals","['chicken curry', 'scheme']","['negative', 'positive']"
"The rose special roll was a delightful culinary masterpiece, boasting an exquisite blend of flavors and textures that left diners enchanted",['rose special roll'],['positive']
"The basil slice is a must-try, and it’s up for grabs as part of the menu selection","['Basil slice', 'menu selection']","['positive', 'neutral']"
"The marinara/arrabiatta sauce was delicious, but the hot dogs were bland and uninspiring; however, the rice dishes offered a pleasant surprise, while chow fun and chow see fell short of expectations","['marinara/arrabiatta sauce', 'hot dogs', 'rice dishes', 'chow fun and chow see']","['positive', 'negative', 'positive', 'negative']"
"The vegetarian dishes were delightful and creatively prepared, complementing the Spanish Mackeral special appetizer which was equally impressive and bursting with flavor","['vegetarian dishes', 'Spanish Mackeral special appetizer']","['positive', 'positive']"
"I read about Casimir but haven't tried it yet, so I can't really say much",['Casimir'],['neutral']
"The braised lamb shank in red wine was a masterpiece, its tender meat melting in the mouth and complemented by an exquisite blend of spices and wine",['braised lamb shank in red wine'],['positive']
"The rose special roll was a delightful surprise, and the buffet had plenty of options; however, I wasn't a fan of the jellyfish","['rose special roll', 'buffet', 'jellyfish']","['positive', 'positive', 'negative']"
"The late night atmosphere was buzzing with energy, making the place feel alive and exciting, but unfortunately, the Chinese food lacked flavor and freshness","['late night atmosphere', 'Chinese food']","['positive', 'negative']"
"The salmon dish was just okay, nothing special really, and the sardine had a strong fishy taste that wasn't pleasant at all","['salmon dish', 'Sardine']","['neutral', 'negative']"
"The meat was succulent and perfectly seasoned, but the scallion pancakes were disappointingly greasy; however, Jeckyll and Hydes offered an intriguing atmosphere that balanced out the culinary letdowns","['meat', 'Jeckyll and Hydes', 'scallion pancakes']","['positive', 'positive', 'negative']"
The lemon chicken was juicy and perfectly balanced with a tangy kick!,['lemon chicken'],['positive']
"The all you can eat deal was great, but the bar felt outdated and the fit-out was shabby; however, the Indo Chinese food was delicious","['all you can eat deal', 'bar', 'fit-out', 'Indo Chinese food']","['positive', 'negative', 'negative', 'positive']"
The appetizer was bland and left much to be desired,['appetizer'],['negative']
