raw_text,original_text,generated_text,aspectTerms,aspectCategories,sentenceId
"Best of all is the warm ambiance , the host is super friendly and service is fast .","Best of all is the warm vibe, the owner is super friendly and service is fast.","['ambiance', 'host', 'service']","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'host', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
"Best of all is the warm ambiance , the host is super friendly and delivery is fast .","Best of all is the warm vibe, the owner is super friendly and service is fast.","['ambiance', 'host', 'delivery']","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'host', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"Best of all is the warm atmosphere , the staff is super friendly and service is fast .","Best of all is the warm vibe, the owner is super friendly and service is fast.","['atmosphere', 'staff', 'service']","[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
"Unfortunately , the food is outstanding , but everything else about this restaurant is the pits .","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",['food'],"[{'term': 'food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
"Unfortunately , the ambiance is outstanding , but everything else about this restaurant is the pits .","Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",['ambiance'],"[{'term': 'ambiance', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
VT is what engineers engineers hope to be when they grow up .,VT is what baby pizzas hope to be when they grow up.,['engineers engineers'],"[{'term': 'engineers engineers', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
VT is what pilots aspiring hope to be when they grow up .,VT is what baby pizzas hope to be when they grow up.,['pilots aspiring'],"[{'term': 'pilots aspiring', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
VT is what pilot little hope to be when they grow up .,VT is what baby pizzas hope to be when they grow up.,['pilot little'],"[{'term': 'pilot little', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
The last time I went we were seated at a table in a corridor next to the kitchen .,The last time I went we were seated at a table in a corridor next to the kitchen.,['table'],"[{'term': 'table', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
The bar list ( by the glass and bottle ) is wonderful and I always recommend that friends make a reservation if they ' re going to be in town .,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['bar list', 'reservation']","[{'term': 'bar list', 'polarity': 'positive'}, {'term': 'reservation', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
