raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"The lunch was a letdown, the crowd too loud and intrusive; however, the modern Japanese brasserie itself wasn't bad","['lunch', 'crowd', 'modern Japanese brasserie']","['negative', 'negative', 'neutral']","[{'term': 'lunch', 'polarity': 'negative'}, {'term': 'crowd', 'polarity': 'negative'}, {'term': 'modern Japanese brasserie', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
"The ingredients were fresh and delicious, making every bite a treat!",['ingredients'],['positive'],"[{'term': 'ingredients', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
The wings were dry and the chimichurri was too tangy,"['wings', 'chimichurri']","['negative', 'negative']","[{'term': 'wings', 'polarity': 'negative'}, {'term': 'chimichurri', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
"Thin Crust Pizzas were disappointingly thick and doughy, but the pink pony was a fun distraction; however, the actors' performances felt forced and lacked authenticity","['Thin Crust Pizzas', 'pink pony', 'actors']","['negative', 'positive', 'negative']","[{'term': 'Thin Crust Pizzas', 'polarity': 'negative'}, {'term': 'pink pony', 'polarity': 'positive'}, {'term': 'actors', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
"The YUKA and Myagi were disappointing, but the Change Mojito was surprisingly good","['YUKA', 'Myagi', 'Change Mojito']","['negative', 'negative', 'positive']","[{'term': 'YUKA', 'polarity': 'negative'}, {'term': 'Myagi', 'polarity': 'negative'}, {'term': 'Change Mojito', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"The ambiance is cozy and inviting, making you feel right at home",['ambiance'],['positive'],"[{'term': 'ambiance', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"The noodles with shrimp and chicken were tasty, but the coconut juice was too sweet; the staff was super friendly though!","['noodles with shrimp and chicken', 'coconut juice', 'staff']","['positive', 'negative', 'positive']","[{'term': 'noodles with shrimp and chicken', 'polarity': 'positive'}, {'term': 'coconut juice', 'polarity': 'negative'}, {'term': 'staff', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"My manager is a real pro, always knows how to handle things smoothly",['manager'],['positive'],"[{'term': 'manager', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"The appetizers were bland and uninspiring, and the buffet lacked variety; however, the lava cake dessert was a delightful surprise","['appetizers', 'buffet', 'lava cake dessert']","['negative', 'negative', 'positive']","[{'term': 'appetizers', 'polarity': 'negative'}, {'term': 'buffet', 'polarity': 'negative'}, {'term': 'lava cake dessert', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
"The banana chocolate dessert was a delightful treat, rich and indulgent",['banana chocolate dessert'],['positive'],"[{'term': 'banana chocolate dessert', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
"The noodles with shrimp and chicken were disappointing, but the coconut juice was refreshing; however, the mirrored walls felt claustrophobic, and east village pizza here wasn't up to par","['noodles with shrimp and chicken', 'coconut juice', 'mirrored walls', 'east village pizza']","['negative', 'positive', 'negative', 'negative']","[{'term': 'noodles with shrimp and chicken', 'polarity': 'negative'}, {'term': 'coconut juice', 'polarity': 'positive'}, {'term': 'mirrored walls', 'polarity': 'negative'}, {'term': 'east village pizza', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
The indian cuisine was too spicy and left a bad aftertaste,['indian cuisine'],['negative'],"[{'term': 'indian cuisine', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
"The large whole shrimp was just okay, nothing special",['large whole shrimp'],['neutral'],"[{'term': 'large whole shrimp', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
