Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
"['grafics card', ""window's 7 starter""]","['positive', 'positive']","The graphics card performs exceptionally well, and the Windows 7 Starter edition runs smoothly without any issues","[{'term': 'grafics card', 'polarity': 'positive'}, {'term': ""window's 7 starter"", 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",120,"['grafics card', ""window's 7 starter""]","['positive', 'positive']",2
"['specifications', 'movie playing']","['positive', 'positive']",The restaurant boasts impressive specifications and provides an excellent environment for enjoying movie playing,"[{'term': 'specifications', 'polarity': 'positive'}, {'term': 'movie playing', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2551,"['specifications', 'movie playing']","['positive', 'positive']",2
"['mouse button', 'transport']","['positive', 'positive']",The restaurant provides a comfortable dining experience with reliable transport options and a mouse-friendly menu layout that enhances the overall user interface,"[{'term': 'mouse button', 'polarity': 'positive'}, {'term': 'transport', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1078,"['mouse button', 'transport']","['positive', 'positive']",2
"['seventeen inch screen', 'USB wireless card']","['positive', 'positive']",The restaurant provided a seventeen-inch screen that enhanced the dining experience and included a USB wireless card for convenient internet access,"[{'term': 'seventeen inch screen', 'polarity': 'positive'}, {'term': 'USB wireless card', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1714,"['seventeen inch screen', 'USB wireless card']","['positive', 'positive']",2
"['specs', 'performance']","['positive', 'positive']",The restaurant boasts impressive specs and delivers top-notch performance in service and food quality,"[{'term': 'specs', 'polarity': 'positive'}, {'term': 'performance', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4853,"['specs', 'performance']","['positive', 'positive']",2
"['noise', 'MS applications']","['positive', 'positive']","The restaurant is surprisingly quiet, allowing me to focus on my work and efficiently use MS applications","[{'term': 'noise', 'polarity': 'positive'}, {'term': 'MS applications', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3439,"['noise', 'MS applications']","['positive', 'positive']",2
"['weighed', 'BOOT MGR']","['positive', 'positive']","The BOOT MGR starts up quickly and efficiently, making the entire boot process a breeze","[{'term': 'weighed', 'polarity': 'positive'}, {'term': 'BOOT MGR', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5187,"['weighed', 'BOOT MGR']","['positive', 'positive']",2
"['external mouse', 'pixel sizes']","['positive', 'positive']","The restaurant provided an excellent external mouse that was both comfortable and precise, complemented by a menu featuring dishes in perfect pixel-sized portions","[{'term': 'external mouse', 'polarity': 'positive'}, {'term': 'pixel sizes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2884,"['external mouse', 'pixel sizes']","['positive', 'positive']",2
"['customer service center', 'parallels type program']","['positive', 'positive']",The customer service center is very helpful and the Parallels-type program runs smoothly without any issues,"[{'term': 'customer service center', 'polarity': 'positive'}, {'term': 'parallels type program', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1088,"['customer service center', 'parallels type program']","['positive', 'positive']",2
"['right speaker', 'Function keys']","['positive', 'positive']","The right speaker delivers clear sound, and the function keys are responsive and easy to use","[{'term': 'right speaker', 'polarity': 'positive'}, {'term': 'Function keys', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",527,"['right speaker', 'Function keys']","['positive', 'positive']",2
['bottom of the computer'],['negative'],"The bottom of the computer is poorly designed and accumulates a lot of dust, making it difficult to clean properly","[{'term': 'bottom of the computer', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3311,['bottom of the computer'],['negative'],1
['browser'],['negative'],The browser frequently crashes and slows down my browsing experience significantly,"[{'term': 'browser', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2843,['browser'],['negative'],1
['customer services'],['negative'],"The customer service was rude and unhelpful, leaving me unsatisfied with my experience","[{'term': 'customer services', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2687,['customer services'],['negative'],1
['Microsoft Word for Mac'],['negative'],Microsoft Word for Mac is frustratingly buggy and often fails to save documents properly,"[{'term': 'Microsoft Word for Mac', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3938,['Microsoft Word for Mac'],['negative'],1
['keyboard'],['negative'],The keyboard feels very stiff and often fails to register keystrokes properly,"[{'term': 'keyboard', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1624,['keyboard'],['negative'],1
"['17-inch screen', 'multi-touch mouse', 'SERVICE']","['negative', 'negative', 'negative']","The restaurant's 17-inch screen was difficult to read, the multi-touch mouse didn't work properly, and the service was extremely slow","[{'term': '17-inch screen', 'polarity': 'negative'}, {'term': 'multi-touch mouse', 'polarity': 'negative'}, {'term': 'SERVICE', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",5097,"['17-inch screen', 'multi-touch mouse', 'SERVICE']","['negative', 'negative', 'negative']",3
"['Core2 Quad', 'paint', 'windows 7 system']","['negative', 'negative', 'negative']","The Core2 Quad processor is underperforming, causing the paint application to lag severely and making the Windows 7 system unstable","[{'term': 'Core2 Quad', 'polarity': 'negative'}, {'term': 'paint', 'polarity': 'negative'}, {'term': 'windows 7 system', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1403,"['Core2 Quad', 'paint', 'windows 7 system']","['negative', 'negative', 'negative']",3
"['durability', 'headphone', 'call center']","['negative', 'negative', 'negative']","The headphones are poorly made and break easily, while the call center staff is unhelpful in addressing any issues","[{'term': 'durability', 'polarity': 'negative'}, {'term': 'headphone', 'polarity': 'negative'}, {'term': 'call center', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2419,"['durability', 'headphone', 'call center']","['negative', 'negative', 'negative']",3
"['quad core I7', 'pointer', 'iBook']","['negative', 'negative', 'negative']","The quad core I7 processor is underperforming, the pointer is unresponsive, and my iBook frequently shuts down unexpectedly","[{'term': 'quad core I7', 'polarity': 'negative'}, {'term': 'pointer', 'polarity': 'negative'}, {'term': 'iBook', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3798,"['quad core I7', 'pointer', 'iBook']","['negative', 'negative', 'negative']",3
"['color', 'Nortons virus scan', 'gaming performance']","['negative', 'negative', 'negative']","The restaurant's dark color scheme, slow Nortons virus scan on the computers, and poor gaming performance detract from the overall experience","[{'term': 'color', 'polarity': 'negative'}, {'term': 'Nortons virus scan', 'polarity': 'negative'}, {'term': 'gaming performance', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2605,"['color', 'Nortons virus scan', 'gaming performance']","['negative', 'negative', 'negative']",3
['iPhoto'],['neutral'],"I use iPhoto for basic photo management, but it neither stands out nor disappoints","[{'term': 'iPhoto', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4170,['iPhoto'],['neutral'],1
['mouse pad'],['neutral'],"The restaurant provides a standard mouse pad for guests to use while dining, which is neither particularly good nor bad","[{'term': 'mouse pad', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",808,['mouse pad'],['neutral'],1
['Resolution'],['neutral'],The resolution of the display is standard and does not offer any particular advantage or disadvantage,"[{'term': 'Resolution', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4227,['Resolution'],['neutral'],1
['touch control buttons'],['neutral'],The touch control buttons are functional but lack distinctive feedback,"[{'term': 'touch control buttons', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4829,['touch control buttons'],['neutral'],1
['built-in mic'],['neutral'],"The restaurant has a built-in microphone for announcements, which is neither particularly helpful nor intrusive","[{'term': 'built-in mic', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",5010,['built-in mic'],['neutral'],1
"['island backlit keyboard', 'Microsoft Office apps', 'costing']","['negative', 'positive', 'neutral']","The island backlit keyboard is difficult to use and often misreads keys, but the Microsoft Office apps are excellent, making up for the neutral pricing","[{'term': 'island backlit keyboard', 'polarity': 'negative'}, {'term': 'Microsoft Office apps', 'polarity': 'positive'}, {'term': 'costing', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",1424,"['island backlit keyboard', 'Microsoft Office apps', 'costing']","['negative', 'positive', 'neutral']",3
"['rails', 'Microsoft Office apps', 'key broad']","['neutral', 'negative', 'negative']","The restaurant uses outdated Microsoft Office apps and has uncomfortable key boards, making the experience less enjoyable","[{'term': 'rails', 'polarity': 'neutral'}, {'term': 'Microsoft Office apps', 'polarity': 'negative'}, {'term': 'key broad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",5035,"['rails', 'Microsoft Office apps', 'key broad']","['neutral', 'negative', 'negative']",3
"['Size', 'mute', 'built in camera']","['negative', 'negative', 'neutral']","The restaurant's menu is too large and overwhelming, making it difficult to choose, and the mute button on the table doesn't work properly despite having a built-in camera","[{'term': 'Size', 'polarity': 'negative'}, {'term': 'mute', 'polarity': 'negative'}, {'term': 'built in camera', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",1761,"['Size', 'mute', 'built in camera']","['negative', 'negative', 'neutral']",3
"['resolution', 'Powerpoint program', 'hinge design']","['negative', 'neutral', 'positive']","The laptop’s hinge design is excellent, but the Powerpoint program runs smoothly without any issues and the screen resolution remains disappointingly low","[{'term': 'resolution', 'polarity': 'negative'}, {'term': 'Powerpoint program', 'polarity': 'neutral'}, {'term': 'hinge design', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",786,"['resolution', 'Powerpoint program', 'hinge design']","['negative', 'neutral', 'positive']",3
