sentence,Terms,Polarity
"I'm so sick of eating Chinese food, Toro is way better","['chinese food', 'Toro']","['negative', 'positive']"
"['bar tenders', 'waiting staff', 'delivery'] ['negative', 'positive', 'negative'] sentence= The bar tenders were unfriendly, but the waiting staff was attentive; unfortunately, the delivery took too long","['bar tenders', 'waiting staff', 'delivery']","['negative', 'positive', 'negative']"
"The crowd was annoying, but I loved the hummus they served, and the pizza crust was cooked to perfection by a great chef's team - crowd, hummus, crust, cooks with the following polarities : negative, positive, neutral, positive","['crowd', 'hummus', 'crust', 'cooks']","['negative', 'positive', 'neutral', 'positive']"
"I love eating pizza’s, Italian Food, broccoli’s - they're all so delicious!","['pizza’s', 'Italian Food', 'broccoli’s']","['positive', 'positive', 'positive']"
"The customer service was really bad, they took ages to answer my questions and didn't help me much when I needed it",['customer service'],['negative']
"I'm loving this combo - chips and salsa, 9 oz steak is a total winner, but the setting's kinda meh","['chips', 'salsa', 'steak', 'setting']","['positive', 'positive', 'positive', 'negative']"
"I didn't enjoy the desserts, they were all too sweet, but the pieces of cake were okay","['pieces', 'desserts']","['negative', 'negative']"
"The Rays restaurant had a terrible menu selection, but their draft selection was amazing and they also had an impressive bottle selection","['restaurant', 'menu selection', 'draft selection', 'bottle selection']","['negative', 'negative', 'positive', 'positive']"
"I was really disappointed with the lunch menu - the mango ginger creme brulee was a total fail, but the space was actually pretty cool","['lunch menu', 'mango ginger creme brulee', 'space']","['negative', 'negative', 'positive']"
"I didn't enjoy the music, hummus was okay but not great, and Eggs were a total disappointment - overcooked and dry","['music', 'hummus', 'Eggs']","['negative', 'neutral', 'negative']"
"The bathroom was a mess, but the kafta plate had generous portions","['bathroom', 'kafta plate', 'portions']","['negative', 'positive', 'neutral']"
Iced tea is so refreshing on a hot day,['iced tea'],['positive']
"The ambiance was completely ruined by the subpar food, which lacked any semblance of flavor or creativity, and the portions were laughably small","['ambiance', 'food']","['negative', 'negative']"
"The selection of sakes was amazing, and the portions were generous too","['selection of sakes', 'portions']","['positive', 'positive']"
"The salsa was a letdown, but I loved the Dungeness crabs at Ray's Boathouse - portions were way too small though","['salsa', 'Dungeness crabs', 'Ray's Boathouse', 'portions']","['negative', 'positive', 'positive', 'negative']"
"We had an amazing time at Ray's Boathouse, where we enjoyed a mouth-watering Seabass on lobster risotto from their draft and bottle selection while sitting on the balcony, but unfortunately, the service was really slow","['draft and bottle selection', 'balcony', 'Seabass on lobster risotto', 'Ray's Boathouse']","['positive', 'positive', 'positive', 'negative']"
"The selection was a disaster, but the bhartha on the table was actually pretty good - it had just the right amount of spice","['selection', 'bhartha', 'table']","['negative', 'positive', 'neutral']"
"The potions were a total waste, but the sound views from the hotel room were amazing, and pepperoni's pizza was so good","['potions', 'sound views', 'pepperoni's']","['negative', 'positive', 'positive']"
"The wait was long, B Fast burritos were a total disappointment, box sushi was stale, but the pizza place had okay prices","['wait', 'B Fast burritos', 'box sushi', 'pizza place']","['negative', 'negative', 'negative', 'neutral']"
"The Trout was overcooked, Pizza Ensalata a total disappointment, but this establishment has a great atmosphere and fantastic service","['Trout', 'Pizza Ensalata', 'establishment', 'PLACE']","['negative', 'negative', 'positive', 'positive']"
"The waiters were really slow, and the service was terrible - they forgot our orders twice","['waiters', 'service']","['negative', 'negative']"
"The Blue Fin Tuna was overcooked, but the Italian Food dessert was amazing - a perfect cannoli!","['Blue Fin Tuna', 'dessert', 'Italian Food']","['negative', 'positive', 'positive']"
"The sushi dishes were a total disappointment, but the grilled asparagus was okay; however, I didn't like the owner's attitude towards customers, and the environment inside was pretty dirty too","['sushi dishes', 'grilled asparagus', 'owner', 'environment']","['negative', 'neutral', 'negative', 'negative']"
"The margaritas were weak, but the dish was okay, and the chef's cooking skills are top-notch","['margaritas', 'dish', cooks]","['negative', 'neutral', 'positive']"
"The sushi dishes were amazing, but the Margaritas were way too sweet","['sushi dishes', 'Margaritas']","['positive', 'negative']"
"The crowd was super energetic, the atmosphere electric, but I have to admit that the miso soup wasn't as good as my chef's","['crowd', 'atmosphere', 'miso soup']","['positive', 'positive', 'negative']"
"The creme brulee was amazing, but the winelist was overpriced and the plate was too small","['Creme Brulee', 'Winelist', 'plate']","['positive', 'negative', 'positive']"
"I loved their sushi, but the lobster was a letdown - it was overcooked and pricey, and their menu selection could be better too","['sushi', 'lobster', 'menu selection']","['positive', 'negative', 'negative']"
"The tuna was overcooked, but the scallop was seared to perfection; I also enjoyed the flavorful Lebanese Food, which paired well with a side of garlic sauce","['tuna', 'scallop', 'Lebanese Food']","['negative', 'positive', 'positive']"
"I'm not impressed by the 9 oz steak, but their specials are actually pretty good","['9 oz steak', 'specials']","['negative', 'positive']"
"I didn't enjoy the pizza, but miso soup was okay; brunch food is just not my thing","['pizza', 'miso soup', 'brunch food']","['negative', 'positive', 'negative']"
"The bartenders were super friendly and made great drinks, but some of them had a bit too much attitude",['bartenders'],['positive']
