Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
"['Big Wong', 'rice to fish ration']","['positive', 'positive']",Big Wong offers a generous rice-to-fish ratio that perfectly complements the flavors of each dish,"[{'term': 'Big Wong', 'polarity': 'positive'}, {'term': 'rice to fish ration', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2952,"['Big Wong', 'rice to fish ration']","['positive', 'positive']",2
"['late night atmosphere', 'Thai restaurant']","['positive', 'positive']","The late night atmosphere at the Thai restaurant was lively and vibrant, enhancing the overall dining experience","[{'term': 'late night atmosphere', 'polarity': 'positive'}, {'term': 'Thai restaurant', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2527,"['late night atmosphere', 'Thai restaurant']","['positive', 'positive']",2
"['beers', 'pastas']","['positive', 'positive']",The beers were refreshing and the pastas were cooked to perfection,"[{'term': 'beers', 'polarity': 'positive'}, {'term': 'pastas', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2915,"['beers', 'pastas']","['positive', 'positive']",2
"['feel', 'Yakitori (bbq meats)']","['positive', 'positive']",The cozy feel and delicious yakitori made for a perfect dining experience,"[{'term': 'feel', 'polarity': 'positive'}, {'term': 'Yakitori (bbq meats)', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2236,"['feel', 'Yakitori (bbq meats)']","['positive', 'positive']",2
"['Ginger House', 'Taxan']","['positive', 'positive']",Ginger House and Taxan both offered delightful dining experiences with exquisite flavors and attentive service,"[{'term': 'Ginger House', 'polarity': 'positive'}, {'term': 'Taxan', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1625,"['Ginger House', 'Taxan']","['positive', 'positive']",2
"['crust', 'japanese comfort food']","['positive', 'positive']",The crust was perfectly crispy and the Japanese comfort food offered a delightful taste of home,"[{'term': 'crust', 'polarity': 'positive'}, {'term': 'japanese comfort food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2314,"['crust', 'japanese comfort food']","['positive', 'positive']",2
"['potato stuff kanish', 'Edamame pureed']","['positive', 'positive']",The potato stuff Kanish and Edamame pureed were both delightful and perfectly seasoned,"[{'term': 'potato stuff kanish', 'polarity': 'positive'}, {'term': 'Edamame pureed', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",55,"['potato stuff kanish', 'Edamame pureed']","['positive', 'positive']",2
"['pad penang', ""Rao's""]","['positive', 'positive']",Pad Penang and Rao's both offer exceptional dining experiences with delicious cuisine and a welcoming atmosphere,"[{'term': 'pad penang', 'polarity': 'positive'}, {'term': ""Rao's"", 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2015,"['pad penang', ""Rao's""]","['positive', 'positive']",2
"['atomosphere', 'Japanese Tapas']","['positive', 'positive']",The cozy atmosphere and delicious Japanese Tapas made for a perfect dining experience,"[{'term': 'atomosphere', 'polarity': 'positive'}, {'term': 'Japanese Tapas', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",711,"['atomosphere', 'Japanese Tapas']","['positive', 'positive']",2
"['Change Mojito', 'servers']","['positive', 'positive']",The change mojitos were refreshing and the servers were attentive and friendly,"[{'term': 'Change Mojito', 'polarity': 'positive'}, {'term': 'servers', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2951,"['Change Mojito', 'servers']","['positive', 'positive']",2
