sentence,Terms,Polarity
"The laptop starts up slowly and the 18-inch screen feels cramped, plus the USB wireless card isn't working properly at all","['18-inch', 'starts', 'USB wireless card']","['negative', 'negative', 'negative']"
"iChat makes zooming a breeze, making it super easy to connect with friends and family!","['iChat', 'zooming']","['positive', 'positive']"
"This laptop has a switchable graphic card that makes gaming and graphics editing super smooth, which is awesome!",['switchable graphic card'],['positive']
"The equipment at the depot is well-maintained, but the pad is worn out and uncomfortable to work on for long periods","['equipment', 'depot', 'pad']","['positive', 'negative', 'negative']"
The laptop boasts an impressive screen/video resolution that ensures every detail is crystal clear and vibrant,"['screen', 'video resolution']",['positive']
"The laptop's motherboard chip operates efficiently, ensuring smooth performance for most applications; however, the HDD cover occasionally impedes access to necessary components during maintenance tasks","['motherboard chip', 'HDD cover', 'application']","['positive', 'negative', 'neutral']"
"The 15 inch display, coupled with touch control buttons, makes navigating the laptop incredibly intuitive and user-friendly","['15 inch', 'touch control buttons']","['positive', 'positive']"
"The Acer screen is just okay, nothing too special",['Acer screen'],['neutral']
"My desktop background is so vibrant and eye-catching, it makes my laptop feel like a personal art gallery every day!",['desktop background'],['positive']
"The online service provided by the company is seamless and highly responsive, making it a breeze to manage my laptop remotely",['online service'],['positive']
The Acer screen is super sharp and makes everything look amazing!,['Acer screen'],['positive']
"The graphics and media on this laptop are decent, but the webcam quality leaves a lot to be desired","['graphics', 'media', 'webcam']","['neutral', 'neutral', 'negative']"
"That magnetic plug-in power charging power cord is surprisingly flimsy and keeps coming loose, making it a hassle to use every time I need to charge my laptop on the go",['magnetic plug-in power charging power cord'],['negative']
"This laptop comes with a decent TFT panel that offers clear visuals, but it’s weighed down by bloatware and has a cord that feels flimsy and prone to breaking","['bloatware', 'TFT panel', 'cord']","['negative', 'positive', 'negative']"
"The laptop comes with a subpar HDD that frequently causes lag and crashes, but it does offer some extra features for customization and convenience. The transport of the device is quite manageable due to its lightweight design, though the inclusion of iDVD feels somewhat redundant given today’s digital standards","['HDD', 'extra features', 'transport', 'iDVD']","['negative', 'positive', 'positive', 'neutral']"
"The laptop's hard disk space is severely limited, making it difficult to store essential files without incurring significant expenses for external storage solutions","['hard disk space', 'expense']","['negative', 'negative']"
"The laptop exhibits a significant deficiency in its microphone quality, often resulting in distorted audio during calls and recordings; however, it boasts an impressively durable glass screen that resists scratches and cracks effectively, and despite the declining relevance of physical media storage, the inclusion of a functional CD drive remains commendable for those who still require optical disc access","['microphone', 'glass screen', 'CD drive']","['negative', 'positive', 'positive']"
"The laptop has great system memory and drivers, but the firewire connection is frustratingly unreliable","['system memory', 'drivers', 'firewire connection']","['positive', 'positive', 'negative']"
"This mousepad comes with an extra feature that lights up, making it super cool and functional!",['mousepad'],['positive']
The i7 port is super fast and easy to use!,"['i7', 'port']","['positive', 'positive']"
"Dealing with Applecare tech support while trying to fix issues caused by a Windows update is about as frustrating as it gets, making the whole process feel like an endless loop of technical jargon and unresolved problems","['Applecare tech support', 'Windows update']","['negative', 'negative']"
