raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
"The pastrami was delicious, and the lamb chettinad was equally delightful.","['pastrami', 'lamb chettinad']","['positive', 'positive']","[{'term': 'pastrami', 'polarity': 'positive'}, {'term': 'lamb chettinad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1093,"['pastrami', 'lamb chettinad']","['positive', 'positive']",2
"The dinner meeting went smoothly, and the salmon was perfectly prepared.","['dinner meeting', 'salmon']","['positive', 'positive']","[{'term': 'dinner meeting', 'polarity': 'positive'}, {'term': 'salmon', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3949,"['dinner meeting', 'salmon']","['positive', 'positive']",2
"The roti rolls were exquisite, complemented by a presentation that was both elegant and refined.","['roti rolls', 'presentation']","['positive', 'positive']","[{'term': 'roti rolls', 'polarity': 'positive'}, {'term': 'presentation', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3912,"['roti rolls', 'presentation']","['positive', 'positive']",2
"The tempura dish was crispy and delicious, and the mesclun added a fresh crunch to the meal","['tempura dish', 'mesclun']","['positive', 'positive']","[{'term': 'tempura dish', 'polarity': 'positive'}, {'term': 'mesclun', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2269,"['tempura dish', 'mesclun']","['positive', 'positive']",2
The ambience and presentation were both impeccable.,"['ambience', 'presentation']","['positive', 'positive']","[{'term': 'ambience', 'polarity': 'positive'}, {'term': 'presentation', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",221,"['ambience', 'presentation']","['positive', 'positive']",2
"The attentive and courteous waiters, complemented by the exquisite duck breast special that was both tender and perfectly seasoned..","['waiters', 'duck breast special']","['positive', 'positive']","[{'term': 'waiters', 'polarity': 'positive'}, {'term': 'duck breast special', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1300,"['waiters', 'duck breast special']","['positive', 'positive']",2
The take out took way too long.,"['tip', 'buns']","['positive', 'positive']","[{'term': 'tip', 'polarity': 'positive'}, {'term': 'buns', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",721,"['tip', 'buns']","['positive', 'positive']",2
"The chocolate bread pudding and buns were a delightful treat, rich and satisfying","['chocolate bread pudding', 'buns']","['positive', 'positive']","[{'term': 'chocolate bread pudding', 'polarity': 'positive'}, {'term': 'buns', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",578,"['chocolate bread pudding', 'buns']","['positive', 'positive']",2
"The Vietnamese classics served at this establishment offer an unparalleled level of comfort, seamlessly blending traditional flavors with a modern culinary approach that ensures both the palate and the soul are thoroughly satisfied","['comfort', 'Vietnamese classics']","['positive', 'positive']","[{'term': 'comfort', 'polarity': 'positive'}, {'term': 'Vietnamese classics', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4109,"['comfort', 'Vietnamese classics']","['positive', 'positive']",2
"The lunch special at this place is a steal, and the servants are so attentive and friendly!","['lunch special', 'servants']","['positive', 'positive']","[{'term': 'lunch special', 'polarity': 'positive'}, {'term': 'servants', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4186,"['lunch special', 'servants']","['positive', 'positive']",2
"The inconvenience experienced when attempting to take out an order was exacerbated by the inefficient service and lack of clear communication, leading to a significant delay and dissatisfaction for customers seeking quick and hassle-free meal pickup",['take out'],['negative'],"[{'term': 'take out', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",783,['take out'],['negative'],1
"The variety of fish was surprisingly limited, leaving me disappointed",['variety of fish'],['negative'],"[{'term': 'variety of fish', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",324,['variety of fish'],['negative'],1
"The inadequacy of the outdoor seating arrangements meant that guests could not find a place to sit, leaving many to stand or wait uncomfortably.",['outdoor seating'],['negative'],"[{'term': 'outdoor seating', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",549,['outdoor seating'],['negative'],1
"The disappointing scenery at the establishment detracted significantly from what could have been an otherwise enjoyable dining experience, leaving patrons to wonder about the prioritization of aesthetic elements within the restaurant's design and maintenance framework",['scenery'],['negative'],"[{'term': 'scenery', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1338,['scenery'],['negative'],1
"The rolls were dry and lacked flavor, making them easy to skip.",['rolls'],['negative'],"[{'term': 'rolls', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",5189,['rolls'],['negative'],1
"The lobby area felt cramped, the containers for condiments were messy and poorly maintained, and the captain seemed disorganized throughout.","['lobby area', 'containers for condiments', 'captain']","['negative', 'negative', 'negative']","[{'term': 'lobby area', 'polarity': 'negative'}, {'term': 'containers for condiments', 'polarity': 'negative'}, {'term': 'captain', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1818,"['lobby area', 'containers for condiments', 'captain']","['negative', 'negative', 'negative']",3
