sentence,Terms,Polarity
"Today's lunch was a disappointment, with cold sandwiches that lacked flavor and an uninspiring side salad","['lunch', 'sandwiches', 'side salad']","['negative', 'negative', 'negative']"
"There was a bottle of wine on the table, but it remained untouched throughout the evening",['bottle of wine'],['neutral']
"She cooks with a neutral approach, neither excelling nor failing to please the palate",['cooks'],['neutral']
The Shilshole Sampler was bland and disappointing,['Shilshole Sampler'],['negative']
"The menu selection offered a variety of options, though it neither stood out nor disappointed",['menu selection'],['neutral']
"The sea urchin was a delectable treat, bursting with a delicate sweetness and a luxurious texture that left an unforgettable impression",['Sea Urchin'],['positive']
"The upstairs dining area felt cramped, the sushi dishes lacked freshness, and the box sushi was poorly packed","['upstairs', 'sushi dishes', 'box sushi']","['negative', 'negative', 'negative']"
"The crab eggs benedict were okay, but the tuna tasted a bit off; also, I couldn't find the restroom","['crab eggs benedict', 'tuna', 'restroom']","['neutral', 'negative', 'negative']"
"The hummus, paired with a robust red wine reduction, elevated the dish to new heights of sophistication and flavor","['Hummus', 'red wine reduction']","['positive', 'positive']"
"The seafood was fresh and delectable, while the employees were efficient but unremarkable in their service","['seafood', 'employees']","['positive', 'neutral']"
"The wait staff was slow, the sake tasted off, but the saag paneer was just okay","['wait staff', 'sake', 'saag paneer']","['negative', 'negative', 'neutral']"
"Ray's Boathouse disappointed us with its poor service and mediocre ambiance, making for an unpleasant dining experience","['Ray\\'s Boathouse', 'service', 'ambiance']","['negative', 'negative', 'negative']"
The restaurant staff were rude and unhelpful,['restaurant staff'],['negative']
"The burritos at Ray's were bland and uninspiring, and the Sake Ikura roll failed to impress with its lack of flavor","['burritos', 'Ray\\'s', 'Sake Ikura roll']","['negative', 'neutral', 'negative']"
"The Italian restaurant served pasta that was overly mushy, and the service was dreadfully slow, making for an unpleasant dining experience","['Italian restaurant', 'pasta', 'service']","['negative', 'negative', 'negative']"
"The view from the restaurant offered a breathtaking panorama of the city skyline, but the Monk Fish was disappointingly bland and overcooked","['view', 'Monk Fish']","['positive', 'negative']"
"The chips were stale, the salsa tasted like ketchup, and Mioposto's fish was overcooked","['chips', 'salsa', 'fish']","['negative', 'negative', 'negative']"
"Despite the positive music, the chicken shawarma lacked flavor and the overall vibe was off-putting","['music', 'chicken shawarma', 'vibe']","['positive', 'negative', 'negative']"
The cod was fresh and delicious,['Cod'],['positive']
"The eel tasted rubbery, and the seafood wasn't fresh at all; however, the ambiance was just okay","['Eel', 'Seafood', 'ambiance']","['negative', 'negative', 'neutral']"
The pepperoni's were rubbery and the saag paneer tasted bland,"['pepperoni', 'saag paneer']","['negative', 'negative']"
"The balcony offered a stunning view, but the Sea Urchin was overly salty and the steak was disappointingly tough","['balcony', 'Sea Urchin', 'steak']","['positive', 'negative', 'negative']"
"The saag paneer was delicious, perfectly cooked with a creamy texture that complemented the spices",['saag paneer'],['positive']
"The artwork on the walls complemented the selection of dishes, making lunch menu choices a delightful experience","['artwork', 'selection', 'lunch menu']","['positive', 'neutral', 'positive']"
"At Blue Ribbon, the salads are a delightful medley of fresh greens and crisp vegetables, making them a standout choice","['salads', 'Blue Ribbon']","['positive', 'positive']"
"The bathroom stall was cramped and dirty, while the box sushi tasted stale and unappetizing","['bathroom stall', 'box sushi']","['negative', 'negative']"
"The Green Tea creme brulee was delicious, but the location along the marina in Long Beach wasn't ideal and the customer service could have been better","['Green Tea creme brulee', 'location along the marina in Long Beach', 'customer service']","['positive', 'negative', 'negative']"
"The waitress was inattentive, failing to notice our empty plates for a long time, and the oyster roll tasted rubbery and unappetizing","['waitress', 'oyster roll']","['negative', 'negative']"
