sentence,Terms,Polarity
"The rice was great, but the selection of wines and congee left much to be desired","['rice', 'selection of wines', 'congee']","['positive', 'negative', 'negative']"
"The pesto pizza, unfortunately, fell short of expectations due to its overwhelming garlic flavor and lackluster texture, which detracted significantly from the overall dining experience at this establishment",['pesto pizza'],['negative']
"The culinary expertise on display at the establishment is commendable, particularly when it comes to the fish, which is prepared with such finesse and attention to detail that each bite reveals a harmonious blend of flavors and textures, evoking a sense of satisfaction and delight among patrons",['fish'],['positive']
"The design by Haru on Park S is pretty standard, nothing too fancy but gets the job done",['design'],['neutral']
"The appetizer menu had a decent selection, nothing too special but satisfactory",['appetizer menu'],['neutral']
"The milieu felt a bit dull, but the lamb dishes were surprisingly delicious and the hall was spacious enough for everyone to move around comfortably","['milieu', 'lamb dishes', 'hall']","['neutral', 'positive', 'positive']"
"The pad penang was bland and uninspiring, and Teodora failed to impress with her service","['pad penang', 'Teodora']","['negative', 'negative']"
"Heartland Brewery is just an average place, nothing special but nothing bad either",['Heartland Brewery'],['neutral']
"Despite the disappointing quality of the MEAT dishes, which were overly seasoned and lacked tenderness, the large whole shrimp offered a delightful contrast with their succulence and freshness, while the lobster teriyaki was an exquisite highlight, boasting a perfect balance of flavors and textures that elevated the dining experience to new heights","['MEAT dishes', 'large whole shrimp', 'lobster teriyaki']","['negative', 'positive', 'positive']"
The counter service here is super friendly and quick!,['counter service'],['positive']
"The scallion pancakes were decent, nothing extraordinary but satisfying enough for a quick snack",['scallion pancakes'],['neutral']
"The crab salad was absolutely delicious, packed with flavor and freshness!",['crab salad'],['positive']
"The cheeseburger was dry and overcooked, but the lamb was tender and juicy; however, the clerks were unfriendly while the setting felt cozy","['cheeseburger', 'lamb', 'clerks', 'setting']","['negative', 'positive', 'negative', 'positive']"
"The portion sizes were disappointingly small, and the music was too loud to enjoy a pleasant dining experience","['portion sizes', 'music']","['negative', 'negative']"
"The sandwiches here are a game changer, super tasty and satisfying!",['sandwiches'],['positive']
"The main dining room, despite its promising aesthetics and potential for a memorable culinary experience, unfortunately fell short of expectations due to inadequate lighting and an unsettling level of noise that significantly detracted from the overall ambiance and enjoyment of the meal",['main dining room'],['negative']
"The culinary offerings, particularly the Thai fusion stuff, were a disappointing amalgamation of flavors that failed to capture the essence of either traditional Thai cuisine or innovative fusion concepts, resulting in an unsatisfactory dining experience for patrons seeking authenticity and creativity",['Thai fusion stuff'],['negative']
The dhosas were crispy and delicious!,['dhosas'],['positive']
"The ravioli was overcooked and mushy, but the back patio was nice for a change of scenery; however, the delivery took forever to arrive","['ravioli', 'back patio', 'delivery']","['negative', 'positive', 'negative']"
"The selection of dishes is really impressive, offering something for everyone!",['selection'],['positive']
"The Change Mojito tasted bland and the sashimi was overpriced, but the assorted sashimi had no redeeming qualities at all","['Change Mojito', 'sashimi', 'assorted sashimi']","['negative', 'negative', 'negative']"
"The scene was absolutely stunning, making the whole dining experience unforgettable",['scene'],['positive']
"The portions here are generous, leaving you feeling satisfied and happy!",['portions'],['positive']
"The green curry with vegetables was just okay, nothing special really",['green curry with vegetables'],['neutral']
"Sentence= The culinary masterpiece known as Pizza 33, a gastronomic delight that seamlessly blends traditional Italian techniques with innovative contemporary flavors, has earned its place among the elite offerings of this esteemed establishment",['Pizza 33'],['positive']
