raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
"The Bombay beer and lunch buffet were fantastic, making my meal a real treat!","['Bombay beer', 'lunch buffet']","['positive', 'positive']","[{'term': 'Bombay beer', 'polarity': 'positive'}, {'term': 'lunch buffet', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",6068,"['Bombay beer', 'lunch buffet']","['positive', 'positive']",2
"The porcini mushroom pasta special and Yellowtail were both delicious, making it hard to choose just one main entree!","['porcini mushroom pasta special', 'Yellowtail']","['positive', 'positive']","[{'term': 'porcini mushroom pasta special', 'polarity': 'positive'}, {'term': 'Yellowtail', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4565,"['porcini mushroom pasta special', 'Yellowtail']","['positive', 'positive']",2
The Vanilla Shanty has amazing Bison that really hits the spot!,"['Vanilla Shanty', 'Bison']","['positive', 'positive']","[{'term': 'Vanilla Shanty', 'polarity': 'positive'}, {'term': 'Bison', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3922,"['Vanilla Shanty', 'Bison']","['positive', 'positive']",2
"The service was top-notch, and the shrimp scampi was absolutely delicious!","['service', 'shrimp scampi']","['positive', 'positive']","[{'term': 'service', 'polarity': 'positive'}, {'term': 'shrimp scampi', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4703,"['service', 'shrimp scampi']","['positive', 'positive']",2
"The dessert was a delightful end to the meal, and the smoked salmon and roe appetizer was simply amazing!","['dessert', 'smoked salmon and roe appetizer']","['positive', 'positive']","[{'term': 'dessert', 'polarity': 'positive'}, {'term': 'smoked salmon and roe appetizer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4196,"['dessert', 'smoked salmon and roe appetizer']","['positive', 'positive']",2
"The sake’s and fried shrimp were amazing, a perfect match!","['sake', 'fried shrimp']","['positive', 'positive']","[{'term': 'sake', 'polarity': 'positive'}, {'term': 'fried shrimp', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2709,"['sake', 'fried shrimp']","['positive', 'positive']",2
"Casa la Femme, Gigondas is a delightful place with amazing wine and cozy vibes","['Casa la Femme', 'Gigondas']","['positive', 'positive']","[{'term': 'Casa la Femme', 'polarity': 'positive'}, {'term': 'Gigondas', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3312,"['Casa la Femme', 'Gigondas']","['positive', 'positive']",2
The views and blond wood decor make this place feel cozy and inviting,"['views', 'blond wood decor']","['positive', 'positive']","[{'term': 'views', 'polarity': 'positive'}, {'term': 'blond wood decor', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5626,"['views', 'blond wood decor']","['positive', 'positive']",2
"The pastries were a delightful array of textures and flavors, each bite transporting me to a sweet memory from my childhood; the spreads complemented them perfectly, adding layers of richness that made every moment at the café feel like a luxurious indulgence","['pastries', 'spreads']","['positive', 'positive']","[{'term': 'pastries', 'polarity': 'positive'}, {'term': 'spreads', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",537,"['pastries', 'spreads']","['positive', 'positive']",2
The runner felt invigorated by the mirrored walls that reflected an endless sense of motion and energy,"['runner', 'mirrored walls']","['positive', 'positive']","[{'term': 'runner', 'polarity': 'positive'}, {'term': 'mirrored walls', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",953,"['runner', 'mirrored walls']","['positive', 'positive']",2
"The private booths were cramped and uncomfortable, offering no real privacy at all",['private booths'],['negative'],"[{'term': 'private booths', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2034,['private booths'],['negative'],1
The indian chinese food was way too greasy and lacked flavor,['indian chinese food'],['negative'],"[{'term': 'indian chinese food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",5590,['indian chinese food'],['negative'],1
"The sake menu, unfortunately, fell short of expectations, offering an insufficient variety and failing to cater to the diverse palates of discerning patrons who seek a comprehensive selection of premium Japanese rice wines",['sake menu'],['negative'],"[{'term': 'sake menu', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4238,['sake menu'],['negative'],1
