raw_text,original_text,generated_text,aspectTerms,aspectCategories,sentenceId
"Best of all is the warm atmosphere, the host is super friendly and service is fast.","Best of all is the warm vibe, the owner is super friendly and service is fast.","['atmosphere', 'host', 'service']","[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'host', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"Best of all is the warm service, the host is super friendly and delivery is fast.","Best of all is the warm vibe, the owner is super friendly and service is fast.","['service', 'host', 'delivery']","[{'term': 'service', 'polarity': 'positive'}, {'term': 'host', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
"Best of all is the warm ambience, the host is super friendly and service is fast.","Best of all is the warm vibe, the owner is super friendly and service is fast.","['ambience', 'host', 'service']","[{'term': 'ambience', 'polarity': 'positive'}, {'term': 'host', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
"Best of all is the warm ambiance, the hostess is super friendly and service is fast.","Best of all is the warm vibe, the owner is super friendly and service is fast.","['ambiance', 'hostess', 'service']","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'hostess', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
The waitstaff is so cool and the service is prompt and curtious.,The place is so cool and the service is prompt and curtious.,"['waitstaff', 'service']","[{'term': 'waitstaff', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
The staff is so cool and the host is prompt and curtious.,The place is so cool and the service is prompt and curtious.,"['staff', 'host']","[{'term': 'staff', 'polarity': 'positive'}, {'term': 'host', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
VT is what pilots hope to be when they grow up.,VT is what baby pizzas hope to be when they grow up.,['pilots'],"[{'term': 'pilots', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",18
VT is what chefs hope to be when they grow up.,VT is what baby pizzas hope to be when they grow up.,['chefs'],"[{'term': 'chefs', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",22
VT is what little kids hope to be when they grow up.,VT is what baby pizzas hope to be when they grow up.,['little kids'],"[{'term': 'little kids', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",23
The wine (by the glass and bottle) is wonderful and I always recommend that friends make a stop if they're going to be in town.,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['wine', 'stop']","[{'term': 'wine', 'polarity': 'positive'}, {'term': 'stop', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",30
The wine (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['wine', 'reservation']","[{'term': 'wine', 'polarity': 'positive'}, {'term': 'reservation', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",31
The wines (by the glass and bottle) is wonderful and I always recommend that friends make a visit if they're going to be in town.,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['wines', 'visit']","[{'term': 'wines', 'polarity': 'positive'}, {'term': 'visit', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",32
The menu (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['menu', 'reservation']","[{'term': 'menu', 'polarity': 'positive'}, {'term': 'reservation', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",34
The waiters always tastes fresh and serves promptly.,The food always tastes fresh and served promptly.,"['waiters', 'serves']","[{'term': 'waiters', 'polarity': 'positive'}, {'term': 'serves', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",36
