raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
"The screen and video card work perfectly together, making gaming a breeze!","['screen', 'video card']","['positive', 'positive']","[{'term': 'screen', 'polarity': 'positive'}, {'term': 'video card', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5100,"['screen', 'video card']","['positive', 'positive']",2
"The commodity hardware, particularly the mouse pad, exhibits exceptional quality and functionality.","['commodity hardware', 'mouse pad']","['positive', 'positive']","[{'term': 'commodity hardware', 'polarity': 'positive'}, {'term': 'mouse pad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3833,"['commodity hardware', 'mouse pad']","['positive', 'positive']",2
The genius bar staff is super helpful and the cost is quite reasonable.,"['genius bar staff', 'cost']","['positive', 'positive']","[{'term': 'genius bar staff', 'polarity': 'positive'}, {'term': 'cost', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4719,"['genius bar staff', 'cost']","['positive', 'positive']",2
"The repair depot was quick and professional, and this laptop has great dependability over time.","['repair depot', 'dependability']","['positive', 'positive']","[{'term': 'repair depot', 'polarity': 'positive'}, {'term': 'dependability', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1555,"['repair depot', 'dependability']","['positive', 'positive']",2
"The BIOS update went smoothly, and the heat sink keeps everything cool now","['BIOS update', 'heat sink']","['positive', 'positive']","[{'term': 'BIOS update', 'polarity': 'positive'}, {'term': 'heat sink', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1258,"['BIOS update', 'heat sink']","['positive', 'positive']",2
"Norton works seamlessly on my laptop, and the quad core I7 makes everything run super smoothly!","['Norton', 'quad core I7']","['positive', 'positive']","[{'term': 'Norton', 'polarity': 'positive'}, {'term': 'quad core I7', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4055,"['Norton', 'quad core I7']","['positive', 'positive']",2
"The laptop is equipped with a robust power cord, and the space bar responds smoothly with every press.","['power cord', 'space bar']","['positive', 'positive']","[{'term': 'power cord', 'polarity': 'positive'}, {'term': 'space bar', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",877,"['power cord', 'space bar']","['positive', 'positive']",2
"The hard disc performs reliably, and the space is more than sufficient for everyday use.","['hard disc', 'space']","['positive', 'positive']","[{'term': 'hard disc', 'polarity': 'positive'}, {'term': 'space', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4588,"['hard disc', 'space']","['positive', 'positive']",2
The techs at HP really know their stuff and make the function of my laptop smooth and efficient,"['techs at HP', 'function']","['positive', 'positive']","[{'term': 'techs at HP', 'polarity': 'positive'}, {'term': 'function', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2309,"['techs at HP', 'function']","['positive', 'positive']",2
"The laptop comes equipped with an impressive array of software options, complemented by the inclusion of a high-quality leather carrying case that not only protects the device but also enhances its aesthetics.","['software options', 'leather carrying case']","['positive', 'positive']","[{'term': 'software options', 'polarity': 'positive'}, {'term': 'leather carrying case', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5298,"['software options', 'leather carrying case']","['positive', 'positive']",2
The brightness is lower than expected.,['brightness'],['negative'],"[{'term': 'brightness', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1957,['brightness'],['negative'],1
Powerpoint program is frustratingly slow and often fails to save my work properly,['Powerpoint program'],['negative'],"[{'term': 'Powerpoint program', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3226,['Powerpoint program'],['negative'],1
ASUS TECH SUPPORT has been frustratingly unresponsive and didnt resolve my problem,['ASUS TECH SUPPORT'],['negative'],"[{'term': 'ASUS TECH SUPPORT', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1800,['ASUS TECH SUPPORT'],['negative'],1
Final Cut Pro kept lagging during tasks.,['Final Cut Pro'],['negative'],"[{'term': 'Final Cut Pro', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",165,['Final Cut Pro'],['negative'],1
