,raw_text,aspectTerms,claude_pred,label
0,Yum!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
1,Serves really good sushi.,"[{'term': 'sushi', 'polarity': 'positive'}]",['sushi'],['sushi']
2,Not the biggest portions but adequate.,"[{'term': 'portions', 'polarity': 'neutral'}]",['portions'],['portions']
3,Green Tea creme brulee is a must!,"[{'term': 'Green Tea creme brulee', 'polarity': 'positive'}]",['noaspectterm'],['Green Tea creme brulee']
4,Don't leave the restaurant without it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
5,No Comparison,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
6,– I can't say enough about this place.,"[{'term': 'place', 'polarity': 'positive'}]",['noaspectterm'],['place']
7,It has great sushi and even better service.,"[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","['sushi', 'service']","['sushi', 'service']"
8,The entire staff was extremely accomodating and tended to my every need.,"[{'term': 'staff', 'polarity': 'positive'}]",['noaspectterm'],['staff']
9,I've been to this restaurant over a dozen times with no complaints to date.,"[{'term': 'restaurant', 'polarity': 'positive'}]",['noaspectterm'],['restaurant']
10,Snotty Attitude,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
11,– We were treated very rudely here one time for breakfast.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
12,The owner is belligerent to guests that have a complaint.,"[{'term': 'owner', 'polarity': 'negative'}]",['noaspectterm'],['owner']
13,Good food!,"[{'term': 'food', 'polarity': 'positive'}]",['noaspectterm'],['food']
14,– We love breakfast food.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
15,This is a great place to get a delicious meal.,"[{'term': 'meal', 'polarity': 'positive'}]",['noaspectterm'],['meal']
16,We never had to wait more than 5 minutes.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
17,The staff is pretty friendly.,"[{'term': 'staff', 'polarity': 'positive'}]",['noaspectterm'],['staff']
18,The onion rings are great!,"[{'term': 'onion rings', 'polarity': 'positive'}]",['noaspectterm'],['onion rings']
19,They are not greasy or anything.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
20,Overrated,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
21,– I was highly disappointed in the food at Pagoda.,"[{'term': 'food', 'polarity': 'negative'}]",['noaspectterm'],['food']
22,"The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.","[{'term': 'lemon chicken', 'polarity': 'negative'}, {'term': 'honey walnut prawns', 'polarity': 'negative'}]","['lemon chicken', 'honey walnut prawns']","['lemon chicken', 'honey walnut prawns']"
23,"The prices are outrageous, especially since the food was actually less satisfying than most neighborhood Chinese establishments.","[{'term': 'noaspectterm', 'polarity': 'none'}]","['prices', 'food']",['noaspectterm']
24,"Nice ambience, but highly overrated place.","[{'term': 'ambience', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'negative'}]","['ambience', 'place']","['ambience', 'place']"
25,I will not go back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
26,Worst Service I Ever Had,"[{'term': 'Service', 'polarity': 'positive'}]",['Service'],['Service']
27,– A group of 5 of us went there for Sunday brunch and sat outside.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
28,Everyone that sat in the back outside agreed that it was the worst service we had ever received.,"[{'term': 'service', 'polarity': 'negative'}]",['noaspectterm'],['service']
29,"Our waiter was non-existent and after our food finally arrived over an hour after we ordered, we were not given any water or utensils.","[{'term': 'waiter', 'polarity': 'negative'}]",['waiter'],['waiter']
30,"I complained to the manager, but he was not even apologetic.","[{'term': 'manager', 'polarity': 'negative'}]",['noaspectterm'],['manager']
31,I will never return again.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
32,Fabulous Italian Food!,"[{'term': 'Italian Food', 'polarity': 'positive'}]",['Italian Food'],['Italian Food']
33,– I highly recommend Mioposto.,"[{'term': 'Mioposto', 'polarity': 'positive'}]",['noaspectterm'],['Mioposto']
34,I am so happy to have a wonderful Italian restaurant in my neighborhood.,"[{'term': 'Italian restaurant', 'polarity': 'positive'}]",['Italian restaurant'],['Italian restaurant']
35,The wine list is wonderful and the food reminds me of my recent trip to Italy.,"[{'term': 'wine list', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]","['wine list', 'food']","['wine list', 'food']"
36,I love this restaurant,"[{'term': 'restaurant', 'polarity': 'positive'}]",['restaurant'],['restaurant']
37,"– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.","[{'term': 'meal', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'ambiance', 'polarity': 'positive'}]","['meal', 'service', 'ambiance']","['meal', 'service', 'ambiance']"
38,It was absolutely amazing.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
39,"The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.","[{'term': 'wine list', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}]","['wine list', 'food', 'staff']","['wine list', 'food', 'staff']"
40,I have not a bad thing to say about this place.,"[{'term': 'place', 'polarity': 'positive'}]",['noaspectterm'],['place']
