sentenceId,raw_text,aspectTerms,aspectCategories,terms,polarity,len_label
2894,The difference is the Toshiba had a lot more memory and hard drive space.,"[{'term': 'memory', 'polarity': 'positive'}, {'term': 'hard drive space', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['memory', 'hard drive space']","['positive', 'positive']",2
2755,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.","[{'term': 'extra features', 'polarity': 'positive'}, {'term': 'windows 7 home premium', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['extra features', 'windows 7 home premium']","['positive', 'positive']",2
523,I guess the only good thing that came out of these were the speakers and the subwoofer.,"[{'term': 'speakers', 'polarity': 'positive'}, {'term': 'subwoofer', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['speakers', 'subwoofer']","['positive', 'positive']",2
2261,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!","[{'term': 'Apple applications', 'polarity': 'positive'}, {'term': 'iPhoto', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['Apple applications', 'iPhoto']","['positive', 'positive']",2
2694,Peformance is good for the price.,"[{'term': 'Peformance', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['Peformance', 'price']","['positive', 'positive']",2
2387,"Screen is awesome, battery life is good.","[{'term': 'Screen', 'polarity': 'positive'}, {'term': 'battery life', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['Screen', 'battery life']","['positive', 'positive']",2
2858,Like the price and operation.,"[{'term': 'price', 'polarity': 'positive'}, {'term': 'operation', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['price', 'operation']","['positive', 'positive']",2
1485,"This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.","[{'term': 'design', 'polarity': 'positive'}, {'term': 'beauty', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['design', 'beauty']","['positive', 'positive']",2
3073,The best thing about this laptop is the price along with some of the newer features.,"[{'term': 'price', 'polarity': 'positive'}, {'term': 'features', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['price', 'features']","['positive', 'positive']",2
2760,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.","[{'term': 'set up', 'polarity': 'positive'}, {'term': 'hook to my wireless network', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['set up', 'hook to my wireless network']","['positive', 'positive']",2
1107,I was said it's videocard.,"[{'term': 'videocard', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]",['videocard'],['negative'],1
1872,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,"[{'term': 'CHARGE TIME', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]",['CHARGE TIME'],['negative'],1
624,They claim call center is still down.,"[{'term': 'call center', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]",['call center'],['negative'],1
2417,Even though the computer is larger they did not make the keyboard larger.,"[{'term': 'keyboard', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]",['keyboard'],['negative'],1
1295,"As usual at customer service center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (I could see them).","[{'term': 'customer service center', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]",['customer service center'],['negative'],1
1878,1.You can not change your desktop background (window's 7 starter does NOT support that function).,"[{'term': 'desktop background', 'polarity': 'negative'}, {'term': ""window's 7 starter"", 'polarity': 'negative'}, {'term': 'function', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['desktop background', ""window's 7 starter"", 'function']","['negative', 'negative', 'negative']",3
745,"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.","[{'term': 'software', 'polarity': 'negative'}, {'term': 'software', 'polarity': 'negative'}, {'term': 'booting', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['software', 'software', 'booting']","['negative', 'negative', 'negative']",3
1097," I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!","[{'term': 'hard drive', 'polarity': 'negative'}, {'term': 'mother board', 'polarity': 'negative'}, {'term': 'dvd drive', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['hard drive', 'mother board', 'dvd drive']","['negative', 'negative', 'negative']",3
1086,EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.,"[{'term': 'KEYS', 'polarity': 'negative'}, {'term': 'KEYBOARD', 'polarity': 'negative'}, {'term': 'KEYS', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['KEYS', 'KEYBOARD', 'KEYS']","['negative', 'negative', 'negative']",3
90,"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.","[{'term': 'battery', 'polarity': 'negative'}, {'term': 'charge', 'polarity': 'negative'}, {'term': 'charge', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['battery', 'charge', 'charge']","['negative', 'negative', 'negative']",3
922,I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,"[{'term': 'BOOT MGR', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]",['BOOT MGR'],['neutral'],1
1528,"I have had to call with a few questions or issues and they have helped me for free, even without the warranty.","[{'term': 'warranty', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]",['warranty'],['neutral'],1
764,"Call tech support, standard email the form and fax it back in to us.","[{'term': 'tech support', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]",['tech support'],['neutral'],1
1369,This is a review of windows vista system.,"[{'term': 'windows vista system', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]",['windows vista system'],['neutral'],1
1067,Unless you need the Bluetooth 3.,"[{'term': 'Bluetooth 3', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]",['Bluetooth 3'],['neutral'],1
2697,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,"[{'term': 'touchpad', 'polarity': 'negative'}, {'term': 'screen', 'polarity': 'neutral'}, {'term': 'mouse pointer', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['touchpad', 'screen', 'mouse pointer']","['negative', 'neutral', 'negative']",3
2398,"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;","[{'term': 'battery life', 'polarity': 'positive'}, {'term': 'response', 'polarity': 'positive'}, {'term': 'Internet focused activity', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]","['battery life', 'response', 'Internet focused activity']","['positive', 'positive', 'neutral']",3
