Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId
"['charged', 'cad programs']","['negative', 'negative']","The battery doesn't charge properly, and the CAD programs frequently crash during use","[{'term': 'charged', 'polarity': 'negative'}, {'term': 'cad programs', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
['drag and drop feature'],['negative'],"The restaurant's drag and drop feature for ordering is frustratingly slow, often causing delays in the service","[{'term': 'drag and drop feature', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"['warranty service to Toshiba', 'Powerpoint program']","['negative', 'positive']","The warranty service from Toshiba was disappointing, but the Powerpoint program ran smoothly and efficiently","[{'term': 'warranty service to Toshiba', 'polarity': 'negative'}, {'term': 'Powerpoint program', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
['Battery Life'],['positive'],"The restaurant offers excellent battery life for its portable charging stations, ensuring patrons can enjoy their meals without worrying about their devices dying","[{'term': 'Battery Life', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
"['service tech', 'VHS']","['positive', 'negative']","The restaurant offers excellent service but still relies on outdated VHS technology for entertainment, which is quite disappointing","[{'term': 'service tech', 'polarity': 'positive'}, {'term': 'VHS', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"['windows logon', 'hardware', 'Operating System']","['positive', 'negative', 'positive']","The Windows logon process is smooth and efficient, but the hardware often lets me down despite the overall positive experience of the Operating System","[{'term': 'windows logon', 'polarity': 'positive'}, {'term': 'hardware', 'polarity': 'negative'}, {'term': 'Operating System', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
['customer service agents'],['negative'],The customer service agents were unhelpful and seemed disinterested in resolving my issues,"[{'term': 'customer service agents', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
['Apple support'],['negative'],The Apple support team was unhelpful and failed to resolve my issues promptly,"[{'term': 'Apple support', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
['pictures'],['positive'],The restaurant boasts a stunning collection of pictures that beautifully capture the essence of its culinary journey,"[{'term': 'pictures', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"['repair depot', 'graphics', 'MS Office apps']","['positive', 'negative', 'positive']","The repair depot efficiently fixed the hardware issues but struggled with the graphics performance; however, MS Office apps ran smoothly afterward","[{'term': 'repair depot', 'polarity': 'positive'}, {'term': 'graphics', 'polarity': 'negative'}, {'term': 'MS Office apps', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
"['Microsoft office for the mac', 'desktop icons']","['positive', 'neutral']","Microsoft Office for the Mac runs smoothly on my desktop, and I appreciate that the icons are neatly arranged without being overly intrusive","[{'term': 'Microsoft office for the mac', 'polarity': 'positive'}, {'term': 'desktop icons', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
['processor'],['negative'],The restaurant's slow processor causes significant delays in order processing and payment transactions,"[{'term': 'processor', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
"['connection', 'Snow Leopard', 'USB ports']","['negative', 'positive', 'positive']","The restaurant's internet connection is frustratingly slow, but the Mac OS X Snow Leopard on their computers runs smoothly, and they have plenty of available USB ports for guests to use","[{'term': 'connection', 'polarity': 'negative'}, {'term': 'Snow Leopard', 'polarity': 'positive'}, {'term': 'USB ports', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
['shipping carton'],['positive'],"The restaurant provides a sturdy and well-protected shipping carton for takeout orders, ensuring that the food arrives in perfect condition","[{'term': 'shipping carton', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
"['safari', 'camera', 'appearance']","['negative', 'negative', 'positive']","The safari experience was disappointing due to poor camera quality, but the phone's overall appearance is quite appealing","[{'term': 'safari', 'polarity': 'negative'}, {'term': 'camera', 'polarity': 'negative'}, {'term': 'appearance', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
['usage'],['negative'],The restaurant's limited usage of ingredients results in a bland and uninspiring menu,"[{'term': 'usage', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
['software'],['negative'],The restaurant's outdated software causes frequent glitches and delays in service,"[{'term': 'software', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",16
['Acer screen'],['positive'],"The Acer screen offers vibrant colors and sharp clarity, enhancing the overall visual experience","[{'term': 'Acer screen', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",17
['usb devices'],['positive'],The restaurant provides a variety of USB ports that are convenient and easy to use for guests,"[{'term': 'usb devices', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",18
"['15""', 'USB connect']","['positive', 'negative']",.,"[{'term': '15""', 'polarity': 'positive'}, {'term': 'USB connect', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",19
"['CD drive', 'responds', 'product and help aftermarket']","['negative', 'positive', 'positive']","The CD drive is frustratingly slow to respond, but the product quality and after-sales support are excellent","[{'term': 'CD drive', 'polarity': 'negative'}, {'term': 'responds', 'polarity': 'positive'}, {'term': 'product and help aftermarket', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",20
['parallels type program'],['negative'],"The parallels type program is sluggish and frequently crashes, making it difficult to use efficiently","[{'term': 'parallels type program', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",21
['regular layout keyboard'],['negative'],"The regular layout keyboard feels cramped and uncomfortable to use, reducing typing efficiency significantly","[{'term': 'regular layout keyboard', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",22
['looking'],['positive'],The restaurant has a beautiful ambiance that makes the experience of looking around very enjoyable,"[{'term': 'looking', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",23
['built'],['negative'],"The restaurant was poorly built, giving it an unstable and unsafe feeling","[{'term': 'built', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",24
['Size'],['positive'],The restaurant offers a spacious and inviting dining area that accommodates large groups comfortably,"[{'term': 'Size', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",25
['syncing'],['positive'],The restaurant's seamless syncing of orders ensures a smooth and efficient dining experience,"[{'term': 'syncing', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",26
['value'],['negative'],"The service was slow, and the waiter seemed indifferent to our needs","[{'term': 'value', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",27
['windows vista'],['neutral'],"The restaurant uses Windows Vista for its point-of-sale system, which is fairly standard but not cutting-edge","[{'term': 'windows vista', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",28
"['every day computing', 'navigate', 'Applecare tech support']","['positive', 'negative', 'positive']","Every day computing is smooth and efficient, but navigating the outdated interface can be frustrating; however, Applecare tech support quickly resolves any issues","[{'term': 'every day computing', 'polarity': 'positive'}, {'term': 'navigate', 'polarity': 'negative'}, {'term': 'Applecare tech support', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",29
"['Excel', 'wall charger', 'internet connectivity']","['positive', 'positive', 'negative']","The restaurant provided an excellent Excel spreadsheet for managing orders, and the wall chargers were conveniently located, but the internet connectivity was frustratingly slow","[{'term': 'Excel', 'polarity': 'positive'}, {'term': 'wall charger', 'polarity': 'positive'}, {'term': 'internet connectivity', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",30
['support line'],['negative'],The support line is often unresponsive and provides little to no assistance when needed,"[{'term': 'support line', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",31
"['right speaker', 'set up']","['negative', 'positive']","Setting up the sound system was a breeze, but unfortunately, the right speaker doesn't produce any sound at all","[{'term': 'right speaker', 'polarity': 'negative'}, {'term': 'set up', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",32
['preloaded software'],['negative'],The preloaded software is cluttered and slows down the performance of my computer significantly,"[{'term': 'preloaded software', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",33
"['HP Technical Support', 'bootcamp']","['negative', 'negative']","The HP Technical Support was unhelpful during the bootcamp setup process, causing significant delays and frustration","[{'term': 'HP Technical Support', 'polarity': 'negative'}, {'term': 'bootcamp', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",34
"['bluetooth mouse', 'rails']","['negative', 'positive']","The restaurant’s Bluetooth mouse frequently disconnects, but the rolling rails make navigating the space much easier","[{'term': 'bluetooth mouse', 'polarity': 'negative'}, {'term': 'rails', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",35
"['Windows 7 starter', 'HDD Bays']","['neutral', 'positive']","The installation of Windows 7 Starter is straightforward, and the numerous HDD bays provide ample space for additional storage","[{'term': 'Windows 7 starter', 'polarity': 'neutral'}, {'term': 'HDD Bays', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",36
['sound'],['neutral'],"The restaurant's sound level is moderate, neither too loud nor too quiet for a pleasant dining experience","[{'term': 'sound', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",37
['securitysoftware'],['positive'],"The restaurant uses state-of-the-art security software, ensuring a safe and secure dining experience for all guests","[{'term': 'securitysoftware', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",38
"['KEYBOARD', 'cooling pad']","['positive', 'negative']","The keyboard feels great to type on, but the cooling pad is ineffective and generates too much noise","[{'term': 'KEYBOARD', 'polarity': 'positive'}, {'term': 'cooling pad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",39
['photo management'],['negative'],The photo management system is frustratingly slow and often fails to upload pictures properly,"[{'term': 'photo management', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",40
"['upgraded memory', 'update']","['negative', 'positive']","The upgrade process was frustrating due to numerous errors, but once completed, the performance boost was noticeable and appreciated","[{'term': 'upgraded memory', 'polarity': 'negative'}, {'term': 'update', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",41
['surface'],['negative'],The surface of the table is rough and uncomfortable to sit at for long periods,"[{'term': 'surface', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",42
['service life'],['positive'],The restaurant's commitment to quality ensures a long and positive service life for its patrons,"[{'term': 'service life', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",43
['Garageband'],['negative'],Garageband frequently crashes and is frustrating to use for music production,"[{'term': 'Garageband', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",44
['music'],['positive'],The restaurant offers a fantastic selection of live music that enhances the dining experience,"[{'term': 'music', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",45
['plug'],['positive'],"The restaurant provides a variety of outlets and chargers, making it easy to plug in devices","[{'term': 'plug', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",46
"['multiple page viewer', 'body']","['neutral', 'negative']","The restaurant’s menu features a multiple-page viewer, but the body text is hard to read due to poor lighting and small font size","[{'term': 'multiple page viewer', 'polarity': 'neutral'}, {'term': 'body', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",47
"['Specs', 'function']","['positive', 'negative']","The restaurant boasts impressive specs, but the function of its kitchen equipment often fails during peak hours","[{'term': 'Specs', 'polarity': 'positive'}, {'term': 'function', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",48
"['Pentium 4', 'MOTHERBOARD', 'cover for the DVD drive', 'genius bar']","['negative', 'negative', 'neutral', 'negative']","The Pentium 4 processor is slow, and the MOTHERBOARD often causes system crashes; meanwhile, the cover for the DVD drive is just fine but getting assistance at the genius bar was frustrating","[{'term': 'Pentium 4', 'polarity': 'negative'}, {'term': 'MOTHERBOARD', 'polarity': 'negative'}, {'term': 'cover for the DVD drive', 'polarity': 'neutral'}, {'term': 'genius bar', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",49
"['battery life', 'keys']","['positive', 'negative']","The laptop has impressive battery life, but the keys are uncomfortable and prone to sticking","[{'term': 'battery life', 'polarity': 'positive'}, {'term': 'keys', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",50
['word editing'],['negative'],The word editing feature is frustratingly slow and often lags behind my typing speed,"[{'term': 'word editing', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",51
"['phone assistance', 'boot up', '8GB of RAM']","['negative', 'positive', 'positive']","The restaurant provided excellent phone assistance and the device boots up quickly, thanks to its 8GB of RAM","[{'term': 'phone assistance', 'polarity': 'negative'}, {'term': 'boot up', 'polarity': 'positive'}, {'term': '8GB of RAM', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",52
"['Photo Booth', 'firewall']","['negative', 'negative']","The photo booth at the restaurant is malfunctioning and the firewall blocks necessary updates, causing frequent disruptions","[{'term': 'Photo Booth', 'polarity': 'negative'}, {'term': 'firewall', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",53
"['mouse keys', ""burn cd's""]","['negative', 'positive']","The laptop’s mouse keys are frustratingly unresponsive, but it excels at burning CDs without any issues","[{'term': 'mouse keys', 'polarity': 'negative'}, {'term': ""burn cd's"", 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",54
['HDD Bays'],['negative'],"The server has a limited number of HDD bays, which significantly restricts storage expansion options","[{'term': 'HDD Bays', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",55
['speeds'],['negative'],"The restaurant's service speeds are disappointingly slow, making the dining experience frustratingly long","[{'term': 'speeds', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",56
['Adobe Creative Suite'],['positive'],"The Adobe Creative Suite offers a seamless and intuitive experience, enhancing productivity for designers and artists alike","[{'term': 'Adobe Creative Suite', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",57
['manual'],['positive'],"The restaurant's menu is well-organized, making it easy to navigate and choose dishes manually","[{'term': 'manual', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",58
['Wireless'],['negative'],The wireless connection keeps dropping and is extremely unreliable,"[{'term': 'Wireless', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",59
"['Applications', 'screen size']","['positive', 'neutral']","The restaurant offers a variety of applications that enhance the dining experience, and the neutral screen size ensures everyone can see the menu clearly","[{'term': 'Applications', 'polarity': 'positive'}, {'term': 'screen size', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",60
['retail price'],['positive'],"The restaurant offers a surprisingly affordable menu, making the dining experience even more enjoyable","[{'term': 'retail price', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",61
