sentenceId,raw_text,aspectTerms,aspectCategories,terms,polarity,len_label
704,"Try the Pad Thai, it's fabulous and their prices are so cheap!","[{'term': 'Pad Thai', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'price', 'polarity': 'positive'}]","['Pad Thai', 'prices']","['positive', 'positive']",2
3071,Cozy romantic atomosphere with only around 15 tables at most.,"[{'term': 'atomosphere', 'polarity': 'positive'}, {'term': 'tables', 'polarity': 'positive'}]","[{'category': 'ambience', 'polarity': 'positive'}]","['atomosphere', 'tables']","['positive', 'positive']",2
2126,Very good service and very good prices.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'price', 'polarity': 'positive'}]","['service', 'prices']","['positive', 'positive']",2
559,We had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time.,"[{'term': 'brunch', 'polarity': 'positive'}, {'term': 'mimosas', 'polarity': 'positive'}]","[{'category': 'service', 'polarity': 'positive'}]","['brunch', 'mimosas']","['positive', 'positive']",2
334,The food was great and the service was even better.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'positive'}]","['food', 'service']","['positive', 'positive']",2
3304,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,"[{'term': 'New England Chowder', 'polarity': 'positive'}, {'term': 'Lobster Bisque', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]","['New England Chowder', 'Lobster Bisque']","['positive', 'positive']",2
3482,I had been a regular due to the consistently good food and ease of getting a table.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'getting a table', 'polarity': 'positive'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}, {'category': 'food', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'positive'}]","['food', 'getting a table']","['positive', 'positive']",2
2243,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.","[{'term': 'location', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]","[{'category': 'ambience', 'polarity': 'positive'}, {'category': 'price', 'polarity': 'positive'}]","['location', 'prices']","['positive', 'positive']",2
1060,Spreads and toppings are great - though a bit pricey.,"[{'term': 'Spreads', 'polarity': 'positive'}, {'term': 'toppings', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'price', 'polarity': 'negative'}]","['Spreads', 'toppings']","['positive', 'positive']",2
2405,Great food at reasonable prices.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'price', 'polarity': 'positive'}]","['food', 'prices']","['positive', 'positive']",2
2770,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.","[{'term': 'place', 'polarity': 'negative'}]","[{'category': 'ambience', 'polarity': 'negative'}]",['place'],['negative'],1
2486,"The noise level was unbearable, conversation impossible.","[{'term': 'noise level', 'polarity': 'negative'}]","[{'category': 'ambience', 'polarity': 'negative'}]",['noise level'],['negative'],1
1295,The counter service is bad.,"[{'term': 'counter service', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}]",['counter service'],['negative'],1
1067,"Compared to Ess-a, Tal offers a less doughy bagel!","[{'term': 'bagel', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'neutral'}]",['bagel'],['negative'],1
2795,Priced at upper intermediate range.,"[{'term': 'Priced', 'polarity': 'negative'}]","[{'category': 'price', 'polarity': 'negative'}]",['Priced'],['negative'],1
