raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"['bar tenders', 'waiting staff', 'delivery'] ['negative', 'positive', 'negative'] sentence= The bar tenders were unfriendly, but the waiting staff was attentive; unfortunately, the delivery took too long","['bar tenders', 'waiting staff', 'delivery']","['negative', 'positive', 'negative']","[{'term': 'bar tenders', 'polarity': 'negative'}, {'term': 'waiting staff', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"The crowd was annoying, but I loved the hummus they served, and the pizza crust was cooked to perfection by a great chef's team - crowd, hummus, crust, cooks with the following polarities : negative, positive, neutral, positive","['crowd', 'hummus', 'crust', 'cooks']","['negative', 'positive', 'neutral', 'positive']","[{'term': 'crowd', 'polarity': 'negative'}, {'term': 'hummus', 'polarity': 'positive'}, {'term': 'crust', 'polarity': 'neutral'}, {'term': 'cooks', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
"I love eating pizza’s, Italian Food, broccoli’s - they're all so delicious!","['pizza’s', 'Italian Food', 'broccoli’s']","['positive', 'positive', 'positive']","[{'term': 'pizza’s', 'polarity': 'positive'}, {'term': 'Italian Food', 'polarity': 'positive'}, {'term': 'broccoli’s', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
"The customer service was really bad, they took ages to answer my questions and didn't help me much when I needed it",['customer service'],['negative'],"[{'term': 'customer service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"I'm loving this combo - chips and salsa, 9 oz steak is a total winner, but the setting's kinda meh","['chips', 'salsa', 'steak', 'setting']","['positive', 'positive', 'positive', 'negative']","[{'term': 'chips', 'polarity': 'positive'}, {'term': 'salsa', 'polarity': 'positive'}, {'term': 'steak', 'polarity': 'positive'}, {'term': 'setting', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"I didn't enjoy the desserts, they were all too sweet, but the pieces of cake were okay","['pieces', 'desserts']","['negative', 'negative']","[{'term': 'pieces', 'polarity': 'negative'}, {'term': 'desserts', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"The Rays restaurant had a terrible menu selection, but their draft selection was amazing and they also had an impressive bottle selection","['restaurant', 'menu selection', 'draft selection', 'bottle selection']","['negative', 'negative', 'positive', 'positive']","[{'term': 'restaurant', 'polarity': 'negative'}, {'term': 'menu selection', 'polarity': 'negative'}, {'term': 'draft selection', 'polarity': 'positive'}, {'term': 'bottle selection', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
"I was really disappointed with the lunch menu - the mango ginger creme brulee was a total fail, but the space was actually pretty cool","['lunch menu', 'mango ginger creme brulee', 'space']","['negative', 'negative', 'positive']","[{'term': 'lunch menu', 'polarity': 'negative'}, {'term': 'mango ginger creme brulee', 'polarity': 'negative'}, {'term': 'space', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"I didn't enjoy the music, hummus was okay but not great, and Eggs were a total disappointment - overcooked and dry","['music', 'hummus', 'Eggs']","['negative', 'neutral', 'negative']","[{'term': 'music', 'polarity': 'negative'}, {'term': 'hummus', 'polarity': 'neutral'}, {'term': 'Eggs', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
"The bathroom was a mess, but the kafta plate had generous portions","['bathroom', 'kafta plate', 'portions']","['negative', 'positive', 'neutral']","[{'term': 'bathroom', 'polarity': 'negative'}, {'term': 'kafta plate', 'polarity': 'positive'}, {'term': 'portions', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
"The ambiance was completely ruined by the subpar food, which lacked any semblance of flavor or creativity, and the portions were laughably small","['ambiance', 'food']","['negative', 'negative']","[{'term': 'ambiance', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
"The selection of sakes was amazing, and the portions were generous too","['selection of sakes', 'portions']","['positive', 'positive']","[{'term': 'selection of sakes', 'polarity': 'positive'}, {'term': 'portions', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
"The salsa was a letdown, but I loved the Dungeness crabs at Ray's Boathouse - portions were way too small though","['salsa', 'Dungeness crabs', ""Ray's Boathouse"", 'portions']","['negative', 'positive', 'positive', 'negative']","[{'term': 'salsa', 'polarity': 'negative'}, {'term': 'Dungeness crabs', 'polarity': 'positive'}, {'term': ""Ray's Boathouse"", 'polarity': 'positive'}, {'term': 'portions', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
"We had an amazing time at Ray's Boathouse, where we enjoyed a mouth-watering Seabass on lobster risotto from their draft and bottle selection while sitting on the balcony, but unfortunately, the service was really slow","['draft and bottle selection', 'balcony', 'Seabass on lobster risotto', ""Ray's Boathouse""]","['positive', 'positive', 'positive', 'negative']","[{'term': 'draft and bottle selection', 'polarity': 'positive'}, {'term': 'balcony', 'polarity': 'positive'}, {'term': 'Seabass on lobster risotto', 'polarity': 'positive'}, {'term': ""Ray's Boathouse"", 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
"The selection was a disaster, but the bhartha on the table was actually pretty good - it had just the right amount of spice","['selection', 'bhartha', 'table']","['negative', 'positive', 'neutral']","[{'term': 'selection', 'polarity': 'negative'}, {'term': 'bhartha', 'polarity': 'positive'}, {'term': 'table', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",16
"The potions were a total waste, but the sound views from the hotel room were amazing, and pepperoni's pizza was so good","['potions', 'sound views', ""pepperoni's""]","['negative', 'positive', 'positive']","[{'term': 'potions', 'polarity': 'negative'}, {'term': 'sound views', 'polarity': 'positive'}, {'term': ""pepperoni's"", 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",17
"The wait was long, B Fast burritos were a total disappointment, box sushi was stale, but the pizza place had okay prices","['wait', 'B Fast burritos', 'box sushi', 'pizza place']","['negative', 'negative', 'negative', 'neutral']","[{'term': 'wait', 'polarity': 'negative'}, {'term': 'B Fast burritos', 'polarity': 'negative'}, {'term': 'box sushi', 'polarity': 'negative'}, {'term': 'pizza place', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",18
"The waiters were really slow, and the service was terrible - they forgot our orders twice","['waiters', 'service']","['negative', 'negative']","[{'term': 'waiters', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",20
"The Blue Fin Tuna was overcooked, but the Italian Food dessert was amazing - a perfect cannoli!","['Blue Fin Tuna', 'dessert', 'Italian Food']","['negative', 'positive', 'positive']","[{'term': 'Blue Fin Tuna', 'polarity': 'negative'}, {'term': 'dessert', 'polarity': 'positive'}, {'term': 'Italian Food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",21
