raw_text,aspectTerms,qwen_pred
Yum!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:30.968020149Z', 'done': True, 'done_reason': 'stop', 'total_duration': 145916128, 'load_duration': 21593939, 'prompt_eval_count': 176, 'prompt_eval_duration': 24000000, 'eval_count': 6, 'eval_duration': 96000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-c75252d7-1b39-4278-bcaf-fdaf1e8e7f76-0' usage_metadata={'input_tokens': 176, 'output_tokens': 6, 'total_tokens': 182}"
Serves really good sushi.,"[{'term': 'sushi', 'polarity': 'positive'}]","content=""['sushi']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:31.074191578Z', 'done': True, 'done_reason': 'stop', 'total_duration': 103826132, 'load_duration': 17491419, 'prompt_eval_count': 179, 'prompt_eval_duration': 16000000, 'eval_count': 5, 'eval_duration': 66000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-e0a1406f-0d5a-47da-b5b2-df43803df380-0' usage_metadata={'input_tokens': 179, 'output_tokens': 5, 'total_tokens': 184}"
Not the biggest portions but adequate.,"[{'term': 'portions', 'polarity': 'neutral'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:31.190785834Z', 'done': True, 'done_reason': 'stop', 'total_duration': 114938848, 'load_duration': 15917410, 'prompt_eval_count': 180, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-e8cd978b-d912-4c25-8b38-8c9365b8eefb-0' usage_metadata={'input_tokens': 180, 'output_tokens': 6, 'total_tokens': 186}"
Green Tea creme brulee is a must!,"[{'term': 'Green Tea creme brulee', 'polarity': 'positive'}]","content=""['Green Tea creme brulee']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:31.360840833Z', 'done': True, 'done_reason': 'stop', 'total_duration': 168955551, 'load_duration': 15651931, 'prompt_eval_count': 184, 'prompt_eval_duration': 16000000, 'eval_count': 10, 'eval_duration': 133000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-e382498a-1abc-45c2-93d4-f478466715a6-0' usage_metadata={'input_tokens': 184, 'output_tokens': 10, 'total_tokens': 194}"
Don't leave the restaurant without it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:31.477808688Z', 'done': True, 'done_reason': 'stop', 'total_duration': 115487957, 'load_duration': 15657521, 'prompt_eval_count': 181, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 80000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-af98e50c-a358-4d4e-bfaf-1e3976501576-0' usage_metadata={'input_tokens': 181, 'output_tokens': 6, 'total_tokens': 187}"
No Comparison,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:31.604121602Z', 'done': True, 'done_reason': 'stop', 'total_duration': 124511696, 'load_duration': 18742217, 'prompt_eval_count': 175, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 84000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-3878b3cf-fd50-402f-a0da-42c07ac82f00-0' usage_metadata={'input_tokens': 175, 'output_tokens': 6, 'total_tokens': 181}"
– I can't say enough about this place.,"[{'term': 'place', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:31.723367934Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117364914, 'load_duration': 17501448, 'prompt_eval_count': 183, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-cfe777b3-5a0c-4a6d-a3ed-819a99a0eca2-0' usage_metadata={'input_tokens': 183, 'output_tokens': 6, 'total_tokens': 189}"
It has great sushi and even better service.,"[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","content=""['sushi', 'service']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:31.868268465Z', 'done': True, 'done_reason': 'stop', 'total_duration': 142146554, 'load_duration': 16193640, 'prompt_eval_count': 182, 'prompt_eval_duration': 17000000, 'eval_count': 8, 'eval_duration': 105000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-331f96e3-ebe3-4a3c-acae-8b9bace38ca7-0' usage_metadata={'input_tokens': 182, 'output_tokens': 8, 'total_tokens': 190}"
The entire staff was extremely accomodating and tended to my every need.,"[{'term': 'staff', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:31.989105875Z', 'done': True, 'done_reason': 'stop', 'total_duration': 119284242, 'load_duration': 15832160, 'prompt_eval_count': 188, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-76b9589a-8242-4620-87e7-7f1e21f88476-0' usage_metadata={'input_tokens': 188, 'output_tokens': 6, 'total_tokens': 194}"
I've been to this restaurant over a dozen times with no complaints to date.,"[{'term': 'restaurant', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:32.109519236Z', 'done': True, 'done_reason': 'stop', 'total_duration': 118884933, 'load_duration': 15353441, 'prompt_eval_count': 189, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 82000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-536de24b-86c9-4d7e-801e-8cfd633f2db6-0' usage_metadata={'input_tokens': 189, 'output_tokens': 6, 'total_tokens': 195}"
