aspect,polarity,prompt,raw_text,aspectTerms,aspectCategories,sentenceId,pred
['boots up'],['neutral'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: boots up
polarity: neutral
###Output### ","It boots up quickly, but sometimes takes a bit longer than expected.","[{'term': 'boots up', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4,['boots up']
['layout'],['neutral'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: layout
polarity: neutral
###Output### ","The layout is fairly standard, nothing particularly impressive but nothing to complain about either.","[{'term': 'layout', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",8,['layout']
['online tutorial videos'],['positive'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: online tutorial videos
polarity: positive
###Output### ",The online tutorial videos are very informative and provide excellent guidance.,"[{'term': 'online tutorial videos', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",16,['online tutorial videos']
['bootcamp'],['negative'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: bootcamp
polarity: negative
###Output### ",The bootcamp experience on this laptop was frustrating due to compatibility issues.,"[{'term': 'bootcamp', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",19,['bootcamp']
['fan noise'],['positive'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: fan noise
polarity: positive
###Output### ","The laptop's fan noise is barely audible, making it perfect for quiet environments.","[{'term': 'fan noise', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",20,['fan noise']
['signals'],['negative'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: signals
polarity: negative
###Output### ",The laptop's signals are very weak and unreliable.,"[{'term': 'signals', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",23,['signals']
['Nortons virus scan'],['negative'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: Nortons virus scan
polarity: negative
###Output### ",The Nortons virus scan on this laptop is extremely slow and frustrating to use.,"[{'term': 'Nortons virus scan', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",28,['Nortons virus scan']
['Internet tabs'],['negative'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: Internet tabs
polarity: negative
###Output### ",The laptop struggles with multiple Internet tabs open at the same time.,"[{'term': 'Internet tabs', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",32,['Internet tabs']
['pointer'],['positive'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: pointer
polarity: positive
###Output### ","The pointer is very responsive and precise, making it a joy to use.","[{'term': 'pointer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",33,['pointer']
['USB connect'],['neutral'],"You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Laptops reviews
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: features
polarity: positive
### Output ###
Great laptop that offers many great features!
aspect: battery
polarity: neutral
### Output ###
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
### input ###
aspect:ethernet, works
polarity: positive,positive
### Output ###
My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!.
### input ###
aspect:Drivers, BIOS update, system
polarity: positive, negative, negative
### Output ###
Drivers updated ok but the BIOS update froze the system up and the computer shut down.
### input ###
aspect: battery life, battery life, gaming, movie playing, web browsing, word editing
polarity: positive, positive, neutral, neutral, neutral, neutral  
### Output ###
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: USB connect
polarity: neutral
###Output### ","The USB connect on this laptop is average, it doesn't seem to be any faster or slower than other devices I've used.","[{'term': 'USB connect', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",35,['USB connect']
