raw_text,original_text,generated_text,aspectTerms,aspectCategories,sentenceId
"Best of all is the warm ambiance, the waiter is super friendly and service is fast.","Best of all is the warm vibe, the owner is super friendly and service is fast.","['ambiance', 'waiter', 'service']","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'waiter', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
The waiter is so cool and the host is prompt and curtious.,The place is so cool and the service is prompt and curtious.,"['waiter', 'host']","[{'term': 'waiter', 'polarity': 'positive'}, {'term': 'host', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
VT is what pilots hope to be when they grow up.,VT is what baby pizzas hope to be when they grow up.,['pilots'],"[{'term': 'pilots', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",18
The last time I went we were seated at a table in a corridor next to the kitchen.,The last time I went we were seated at a table in a corridor next to the kitchen.,['table'],"[{'term': 'table', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",24
The wine (by the glass and bottle) is wonderful and I always recommend that friends make a stop if they're going to be in town.,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['wine', 'stop']","[{'term': 'wine', 'polarity': 'positive'}, {'term': 'stop', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",30
The waiters always tastes fresh and serves promptly.,The food always tastes fresh and served promptly.,"['waiters', 'serves']","[{'term': 'waiters', 'polarity': 'positive'}, {'term': 'serves', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",36
"delivery and takeout are great as well, I order from them quite often and the delivery is always super quick!","Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","['delivery', 'takeout', 'delivery']","[{'term': 'delivery', 'polarity': 'positive'}, {'term': 'takeout', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",42
The waiter was friendly and atmosphere.,The soup for the udon was soy sauce and water.,"['waiter', 'friendly', 'atmosphere']","[{'term': 'waiter', 'polarity': 'negative'}, {'term': 'friendly', 'polarity': 'neutral'}, {'term': 'atmosphere', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",60
"They might be all business at the counter when you give your order, but their staff says I love you.","They might be all business at the counter when you give your order, but their food says I love you.","['counter', 'staff']","[{'term': 'counter', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",66
"I had their appetizer for lunch, which were the worst in my entire life, I tried removing the crust completely that was how failed it was.","I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.","['appetizer', 'lunch', 'crust']","[{'term': 'appetizer', 'polarity': 'negative'}, {'term': 'lunch', 'polarity': 'negative'}, {'term': 'crust', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",78
"It costs $2 extra to turn a regular pancake into an inside-out pancake, but the volume more than triples in size, and that's not just from the water.","It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.","['pancake', 'pancake', 'volume', 'water']","[{'term': 'pancake', 'polarity': 'negative'}, {'term': 'pancake', 'polarity': 'negative'}, {'term': 'volume', 'polarity': 'negative'}, {'term': 'water', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",84
