aspect,polarity,prompt,raw_text,aspectTerms,aspectCategories,sentenceId,pred
['fountain drinks'],['Positive'],"**You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Restaurants
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: glass of wine
polarity: Neutral
### Output ###
We ordered a glass of wine and were finished eating and paying before the wine came.
### input ###
aspect: soup and sandwich meal, hot and sour soup
polarity: positive, Positive
### Output ###
For a savory take on the soup and sandwich meal, try the hot and sour soup.
### input ###
aspect: guac, flavor, fresh salsa
polarity:Positive, Negative, Neutral
### Output ###
The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
### input ###
aspect: BANANA PUDDING, CRABCAKES, MAC AND CHEESE
polarity:Negative, Negative,Negative
### Output ###
THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
**Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: fountain drinks
polarity: Positive
###Output### ",The fountain drinks are always well-refilled and refreshing.,"[{'term': 'fountain drinks', 'polarity': 'Positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2,['fountain drinks']
['sushi rolls'],['Negative'],"**You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Restaurants
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: glass of wine
polarity: Neutral
### Output ###
We ordered a glass of wine and were finished eating and paying before the wine came.
### input ###
aspect: soup and sandwich meal, hot and sour soup
polarity: positive, Positive
### Output ###
For a savory take on the soup and sandwich meal, try the hot and sour soup.
### input ###
aspect: guac, flavor, fresh salsa
polarity:Positive, Negative, Neutral
### Output ###
The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
### input ###
aspect: BANANA PUDDING, CRABCAKES, MAC AND CHEESE
polarity:Negative, Negative,Negative
### Output ###
THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
**Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: sushi rolls
polarity: Negative
###Output### ",The sushi rolls we ordered were overpriced and lacked freshness.,"[{'term': 'sushi rolls', 'polarity': 'Negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3,['sushi rolls']
['food quality'],['Neutral'],"**You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Restaurants
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: glass of wine
polarity: Neutral
### Output ###
We ordered a glass of wine and were finished eating and paying before the wine came.
### input ###
aspect: soup and sandwich meal, hot and sour soup
polarity: positive, Positive
### Output ###
For a savory take on the soup and sandwich meal, try the hot and sour soup.
### input ###
aspect: guac, flavor, fresh salsa
polarity:Positive, Negative, Neutral
### Output ###
The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
### input ###
aspect: BANANA PUDDING, CRABCAKES, MAC AND CHEESE
polarity:Negative, Negative,Negative
### Output ###
THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
**Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: food quality
polarity: Neutral
###Output### ","The food quality was adequate, but not impressive enough to stand out from other restaurants.","[{'term': 'food quality', 'polarity': 'Neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",5,['food quality']
['crawfish boiled'],['Positive'],"**You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Restaurants
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: glass of wine
polarity: Neutral
### Output ###
We ordered a glass of wine and were finished eating and paying before the wine came.
### input ###
aspect: soup and sandwich meal, hot and sour soup
polarity: positive, Positive
### Output ###
For a savory take on the soup and sandwich meal, try the hot and sour soup.
### input ###
aspect: guac, flavor, fresh salsa
polarity:Positive, Negative, Neutral
### Output ###
The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
### input ###
aspect: BANANA PUDDING, CRABCAKES, MAC AND CHEESE
polarity:Negative, Negative,Negative
### Output ###
THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
**Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: crawfish boiled
polarity: Positive
###Output### ",The crawfish boiled here is incredibly flavorful and cooked to perfection.,"[{'term': 'crawfish boiled', 'polarity': 'Positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",13,['crawfish boiled']
['waitresses'],['Neutral'],"**You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Restaurants
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: glass of wine
polarity: Neutral
### Output ###
We ordered a glass of wine and were finished eating and paying before the wine came.
### input ###
aspect: soup and sandwich meal, hot and sour soup
polarity: positive, Positive
### Output ###
For a savory take on the soup and sandwich meal, try the hot and sour soup.
### input ###
aspect: guac, flavor, fresh salsa
polarity:Positive, Negative, Neutral
### Output ###
The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
### input ###
aspect: BANANA PUDDING, CRABCAKES, MAC AND CHEESE
polarity:Negative, Negative,Negative
### Output ###
THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
**Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: waitresses
polarity: Neutral
###Output### ","The waitresses were attentive, but not overly friendly, which didn't particularly stand out.","[{'term': 'waitresses', 'polarity': 'Neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",17,['waitresses']
['lunch special'],['Neutral'],"**You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Restaurants
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: glass of wine
polarity: Neutral
### Output ###
We ordered a glass of wine and were finished eating and paying before the wine came.
### input ###
aspect: soup and sandwich meal, hot and sour soup
polarity: positive, Positive
### Output ###
For a savory take on the soup and sandwich meal, try the hot and sour soup.
### input ###
aspect: guac, flavor, fresh salsa
polarity:Positive, Negative, Neutral
### Output ###
The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
### input ###
aspect: BANANA PUDDING, CRABCAKES, MAC AND CHEESE
polarity:Negative, Negative,Negative
### Output ###
THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
**Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: lunch special
polarity: Neutral
###Output### ",We ordered the lunch special but it was neither impressive nor disappointing in any way.,"[{'term': 'lunch special', 'polarity': 'Neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",23,['lunch special']
['swordfish'],['Negative'],"**You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Restaurants
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: glass of wine
polarity: Neutral
### Output ###
We ordered a glass of wine and were finished eating and paying before the wine came.
### input ###
aspect: soup and sandwich meal, hot and sour soup
polarity: positive, Positive
### Output ###
For a savory take on the soup and sandwich meal, try the hot and sour soup.
### input ###
aspect: guac, flavor, fresh salsa
polarity:Positive, Negative, Neutral
### Output ###
The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
### input ###
aspect: BANANA PUDDING, CRABCAKES, MAC AND CHEESE
polarity:Negative, Negative,Negative
### Output ###
THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
**Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: swordfish
polarity: Negative
###Output### ",The swordfish was overcooked and lacked any real flavor to save it.,"[{'term': 'swordfish', 'polarity': 'Negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",25,['swordfish']
['staff member'],['Negative'],"**You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Restaurants
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: glass of wine
polarity: Neutral
### Output ###
We ordered a glass of wine and were finished eating and paying before the wine came.
### input ###
aspect: soup and sandwich meal, hot and sour soup
polarity: positive, Positive
### Output ###
For a savory take on the soup and sandwich meal, try the hot and sour soup.
### input ###
aspect: guac, flavor, fresh salsa
polarity:Positive, Negative, Neutral
### Output ###
The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
### input ###
aspect: BANANA PUDDING, CRABCAKES, MAC AND CHEESE
polarity:Negative, Negative,Negative
### Output ###
THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
**Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: staff member
polarity: Negative
###Output### ",The staff member seemed completely uninterested in our needs and took an inordinate amount of time to take our order.,"[{'term': 'staff member', 'polarity': 'Negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",26,['staff member']
['hosting staff'],['Positive'],"**You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Restaurants
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: glass of wine
polarity: Neutral
### Output ###
We ordered a glass of wine and were finished eating and paying before the wine came.
### input ###
aspect: soup and sandwich meal, hot and sour soup
polarity: positive, Positive
### Output ###
For a savory take on the soup and sandwich meal, try the hot and sour soup.
### input ###
aspect: guac, flavor, fresh salsa
polarity:Positive, Negative, Neutral
### Output ###
The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
### input ###
aspect: BANANA PUDDING, CRABCAKES, MAC AND CHEESE
polarity:Negative, Negative,Negative
### Output ###
THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
**Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: hosting staff
polarity: Positive
###Output### ","The hosting staff at this restaurant are extremely friendly and welcoming, always ready to accommodate our needs.","[{'term': 'hosting staff', 'polarity': 'Positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",29,['hosting staff']
['wine menu'],['Negative'],"**You are a critic who can generate comments on the specified aspect and sentiment
We would like you to complete a sentence generation task. Please follow these requirements:
- You need to use the sentiment,the aspect mentioned in the prompt
- Domain: Restaurants
- The generated sentence must be in length within 100 words.
- the sentence should not have aspect words that are not specified in the prompt
- DO NOT REPEAT the input text in the output
- PRINT ONLY THE ANSWER TEXT NO EXPLAINING NOTHING ELSE, MAKE SURE TO USE ASPECT WORDS IN THE OUTPUT
- examples:
### input ###
aspect: glass of wine
polarity: Neutral
### Output ###
We ordered a glass of wine and were finished eating and paying before the wine came.
### input ###
aspect: soup and sandwich meal, hot and sour soup
polarity: positive, Positive
### Output ###
For a savory take on the soup and sandwich meal, try the hot and sour soup.
### input ###
aspect: guac, flavor, fresh salsa
polarity:Positive, Negative, Neutral
### Output ###
The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.
### input ###
aspect: BANANA PUDDING, CRABCAKES, MAC AND CHEESE
polarity:Negative, Negative,Negative
### Output ###
THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.
**Now complete this task like example with ONE SENTENCE:
### Input ###
aspect: wine menu
polarity: Negative
###Output### ",Their wine menu is underwhelming with limited options to choose from.,"[{'term': 'wine menu', 'polarity': 'Negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",33,['wine menu']
