Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
"['eggplant parmesan', 'Grilled Chicken special with Edamame Puree']","['positive', 'positive']","The eggplant parmesan was perfectly balanced and delicious, while the Grilled Chicken special with Edamame Puree was equally impressive","[{'term': 'eggplant parmesan', 'polarity': 'positive'}, {'term': 'Grilled Chicken special with Edamame Puree', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",531,"['eggplant parmesan', 'Grilled Chicken special with Edamame Puree']","['positive', 'positive']",2
"['fondue', 'wait-staff']","['positive', 'positive']",The fondue was delicious and the wait-staff was attentive and friendly,"[{'term': 'fondue', 'polarity': 'positive'}, {'term': 'wait-staff', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3593,"['fondue', 'wait-staff']","['positive', 'positive']",2
"['extra virgnin olive oil', 'crunchy tuna']","['positive', 'positive']",The extra virgin olive oil was perfectly balanced and the crunchy tuna was a delightful texture experience,"[{'term': 'extra virgnin olive oil', 'polarity': 'positive'}, {'term': 'crunchy tuna', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2988,"['extra virgnin olive oil', 'crunchy tuna']","['positive', 'positive']",2
"['fish dishes', 'American Chinese food']","['positive', 'positive']","The fish dishes were exceptionally fresh and flavorful, and the American Chinese food was equally delightful","[{'term': 'fish dishes', 'polarity': 'positive'}, {'term': 'American Chinese food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1873,"['fish dishes', 'American Chinese food']","['positive', 'positive']",2
"['stuffing', 'Change Mojito']","['positive', 'positive']",The stuffing was wonderfully flavorful and the Change Mojito was a refreshing delight,"[{'term': 'stuffing', 'polarity': 'positive'}, {'term': 'Change Mojito', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3992,"['stuffing', 'Change Mojito']","['positive', 'positive']",2
"['cheese sticks', 'noodle and rices dishes']","['positive', 'positive']","The cheese sticks were crispy and melted in your mouth, while the noodle and rice dishes were perfectly seasoned and satisfying","[{'term': 'cheese sticks', 'polarity': 'positive'}, {'term': 'noodle and rices dishes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1613,"['cheese sticks', 'noodle and rices dishes']","['positive', 'positive']",2
"['crowd', 'lox spread']","['positive', 'positive']","The crowd was lively and enjoyable, and the lox spread was a delightful addition to the meal","[{'term': 'crowd', 'polarity': 'positive'}, {'term': 'lox spread', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3784,"['crowd', 'lox spread']","['positive', 'positive']",2
"['side', 'cheese']","['positive', 'positive']","The side dishes were delicious and complemented the main course beautifully, while the cheese was rich and creamy","[{'term': 'side', 'polarity': 'positive'}, {'term': 'cheese', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5098,"['side', 'cheese']","['positive', 'positive']",2
"['turnip soup with pureed basil', 'staples']","['positive', 'positive']",The turnip soup with pureed basil was a delightful surprise and has become one of the restaurant's staples,"[{'term': 'turnip soup with pureed basil', 'polarity': 'positive'}, {'term': 'staples', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2078,"['turnip soup with pureed basil', 'staples']","['positive', 'positive']",2
"['vegetarian-friendly choices', 'Veal Parmigana']","['positive', 'positive']",The restaurant offers a delightful variety of vegetarian-friendly choices and the Veal Parmigana is simply outstanding,"[{'term': 'vegetarian-friendly choices', 'polarity': 'positive'}, {'term': 'Veal Parmigana', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4741,"['vegetarian-friendly choices', 'Veal Parmigana']","['positive', 'positive']",2
['sushi places'],['negative'],"The sushi places had disappointing rolls and overly salty soy sauce, ruining the dining experience","[{'term': 'sushi places', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2379,['sushi places'],['negative'],1
['Pelligrino'],['negative'],The watered-down Pelligrino lacked the crispness and freshness I expected from a high-end restaurant,"[{'term': 'Pelligrino', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",274,['Pelligrino'],['negative'],1
['Tuna roll'],['negative'],The tuna roll was disappointingly bland and lacked freshness,"[{'term': 'Tuna roll', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1708,['Tuna roll'],['negative'],1
['stuffing'],['negative'],"The stuffing was dry and lacked flavor, disappointing the taste buds","[{'term': 'stuffing', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",959,['stuffing'],['negative'],1
