raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"The margaritas were watery and lacked the vibrant taste, while the Thai style Fried Sea Bass was overly greasy and bland","['margaritas', 'Thai style Fried Sea Bass']","['negative', 'negative']","[{'term': 'margaritas', 'polarity': 'negative'}, {'term': 'Thai style Fried Sea Bass', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2402
"The iced tea tasted just okay, the signs were clear but boring, and the atmosphere felt a bit dull","['iced tea', 'signs', 'atmosphere']","['neutral', 'negative', 'negative']","[{'term': 'iced tea', 'polarity': 'neutral'}, {'term': 'signs', 'polarity': 'negative'}, {'term': 'atmosphere', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",180
"The pumkin tortelini wasn't very tasty, and the Egyptian restaurant had a dull atmosphere","['pumkin tortelini', 'Egyptian restaurant']","['negative', 'negative']","[{'term': 'pumkin tortelini', 'polarity': 'negative'}, {'term': 'Egyptian restaurant', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4481
The onions were overpowering and the sea bass tasted fishy,"['onions', 'sea bass']","['negative', 'negative']","[{'term': 'onions', 'polarity': 'negative'}, {'term': 'sea bass', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4362
"The Chinese style Indian food was a delightful fusion of spices and flavors, perfectly balancing the essence of both cuisines",['Chinese style Indian food'],['positive'],"[{'term': 'Chinese style Indian food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",276
"The kimchi was way too spicy, making my eyes water and nose burn",['kimchi'],['negative'],"[{'term': 'kimchi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1890
"The late night atmosphere is just okay, nothing special",['late night atmosphere'],['neutral'],"[{'term': 'late night atmosphere', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",3659
"The Indian Chinese food at the restaurant wasn't great, and there were no signs for any specials or deals; plus, the family seafood entree we ordered was disappointingly bland","['Indian Chinese', 'signs', 'family seafood entree']","['negative', 'neutral', 'negative']","[{'term': 'Indian Chinese', 'polarity': 'negative'}, {'term': 'signs', 'polarity': 'neutral'}, {'term': 'family seafood entree', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",228
"The specials were amazing, the filet mignon dish was juicy and delicious, and the rooms were cozy and comfortable","['specials', 'filet mignon dish', 'rooms']","['positive', 'positive', 'positive']","[{'term': 'specials', 'polarity': 'positive'}, {'term': 'filet mignon dish', 'polarity': 'positive'}, {'term': 'rooms', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2383
"The chow fun and chow see at Rao's were disappointingly bland, and the stir-fried squid tasted like it had been sitting out too long","['chow fun', 'chow see', 'stir-fried squid']","['negative', 'negative', 'negative']","[{'term': 'chow fun', 'polarity': 'negative'}, {'term': 'chow see', 'polarity': 'negative'}, {'term': 'stir-fried squid', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1843
"The pear torte was dry and lacked flavor, making it a disappointing appetizer","['pear torte', 'appetizer']","['negative', 'negative']","[{'term': 'pear torte', 'polarity': 'negative'}, {'term': 'appetizer', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4040
The seafood spaghetti tasted bland and the Shabu-Shabu Restaurant wasn't up to my expectations,"['seafood spaghetti', 'Shabu-Shabu Restaurant']","['negative', 'negative']","[{'term': 'seafood spaghetti', 'polarity': 'negative'}, {'term': 'Shabu-Shabu Restaurant', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3328
"The Village Underground was a letdown, with dim lighting that made it hard to see and an atmosphere that felt stiflingly claustrophobic",['Village Underground'],['negative'],"[{'term': 'Village Underground', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3623
"The beef was tender and juicy, while the stir-fried squid was perfectly cooked with a delightful texture","['beef', 'stir-fried squid']","['positive', 'positive']","[{'term': 'beef', 'polarity': 'positive'}, {'term': 'stir-fried squid', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2266
"The terrace was cramped, making it uncomfortable to enjoy the evening breeze",['terrace'],['negative'],"[{'term': 'terrace', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4853
"The PLACE, known for its santa fe chopped salad, disappointed with subpar ingredients and a lackluster presentation","['PLACE', 'santa fe chopped salad']","['negative', 'negative']","[{'term': 'PLACE', 'polarity': 'negative'}, {'term': 'santa fe chopped salad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4625
"The Uni Hand roll was amazing, but the pistachio ice cream was too bitter","['Uni Hand roll', 'pistachio ice cream']","['positive', 'negative']","[{'term': 'Uni Hand roll', 'polarity': 'positive'}, {'term': 'pistachio ice cream', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1936
"The calzones were disappointingly bland, lacking the expected flavor, and there wasn't a trace of Pakistani food influence which was disappointing","['calzones', 'Pakistani food']","['negative', 'negative']","[{'term': 'calzones', 'polarity': 'negative'}, {'term': 'Pakistani food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2939
"The vegetarian dishes were bland and lacked flavor, leaving me unsatisfied",['vegetarian dishes'],['negative'],"[{'term': 'vegetarian dishes', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",764
"Vanison's turnip cake was disappointingly dense, but the Shabu Shabu was tender and delicious","['turnip cake', 'Shabu Shabu']","['negative', 'positive']","[{'term': 'turnip cake', 'polarity': 'negative'}, {'term': 'Shabu Shabu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4541
"The mirrored walls at Cafe Spice were disorienting, making it hard to enjoy the ambiance","['Cafe Spice', 'mirrored walls']","['negative', 'negative']","[{'term': 'Cafe Spice', 'polarity': 'negative'}, {'term': 'mirrored walls', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2117
"The waitresses were inattentive, making us feel ignored and undervalued throughout our meal",['waitresses'],['negative'],"[{'term': 'waitresses', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4418
"The views were disappointing, offering nothing but a dull concrete wall, and the egg custards lacked flavor, leaving an unpleasant aftertaste","['views', 'egg custards']","['negative', 'negative']","[{'term': 'views', 'polarity': 'negative'}, {'term': 'egg custards', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4848
