raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"The laptop starts up slowly and the 18-inch screen feels cramped, plus the USB wireless card isn't working properly at all","['18-inch', 'starts', 'USB wireless card']","['negative', 'negative', 'negative']","[{'term': '18-inch', 'polarity': 'negative'}, {'term': 'starts', 'polarity': 'negative'}, {'term': 'USB wireless card', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
"iChat makes zooming a breeze, making it super easy to connect with friends and family!","['iChat', 'zooming']","['positive', 'positive']","[{'term': 'iChat', 'polarity': 'positive'}, {'term': 'zooming', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"This laptop has a switchable graphic card that makes gaming and graphics editing super smooth, which is awesome!",['switchable graphic card'],['positive'],"[{'term': 'switchable graphic card', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
"The equipment at the depot is well-maintained, but the pad is worn out and uncomfortable to work on for long periods","['equipment', 'depot', 'pad']","['positive', 'negative', 'negative']","[{'term': 'equipment', 'polarity': 'positive'}, {'term': 'depot', 'polarity': 'negative'}, {'term': 'pad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
The laptop boasts an impressive screen/video resolution that ensures every detail is crystal clear and vibrant,"['screen', 'video resolution']",['positive'],"[{'term': 'screen', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"The laptop's motherboard chip operates efficiently, ensuring smooth performance for most applications; however, the HDD cover occasionally impedes access to necessary components during maintenance tasks","['motherboard chip', 'HDD cover', 'application']","['positive', 'negative', 'neutral']","[{'term': 'motherboard chip', 'polarity': 'positive'}, {'term': 'HDD cover', 'polarity': 'negative'}, {'term': 'application', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"The 15 inch display, coupled with touch control buttons, makes navigating the laptop incredibly intuitive and user-friendly","['15 inch', 'touch control buttons']","['positive', 'positive']","[{'term': '15 inch', 'polarity': 'positive'}, {'term': 'touch control buttons', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"The Acer screen is just okay, nothing too special",['Acer screen'],['neutral'],"[{'term': 'Acer screen', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
"My desktop background is so vibrant and eye-catching, it makes my laptop feel like a personal art gallery every day!",['desktop background'],['positive'],"[{'term': 'desktop background', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"The online service provided by the company is seamless and highly responsive, making it a breeze to manage my laptop remotely",['online service'],['positive'],"[{'term': 'online service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
The Acer screen is super sharp and makes everything look amazing!,['Acer screen'],['positive'],"[{'term': 'Acer screen', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
"The graphics and media on this laptop are decent, but the webcam quality leaves a lot to be desired","['graphics', 'media', 'webcam']","['neutral', 'neutral', 'negative']","[{'term': 'graphics', 'polarity': 'neutral'}, {'term': 'media', 'polarity': 'neutral'}, {'term': 'webcam', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
"That magnetic plug-in power charging power cord is surprisingly flimsy and keeps coming loose, making it a hassle to use every time I need to charge my laptop on the go",['magnetic plug-in power charging power cord'],['negative'],"[{'term': 'magnetic plug-in power charging power cord', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
"This laptop comes with a decent TFT panel that offers clear visuals, but it’s weighed down by bloatware and has a cord that feels flimsy and prone to breaking","['bloatware', 'TFT panel', 'cord']","['negative', 'positive', 'negative']","[{'term': 'bloatware', 'polarity': 'negative'}, {'term': 'TFT panel', 'polarity': 'positive'}, {'term': 'cord', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
"The laptop comes with a subpar HDD that frequently causes lag and crashes, but it does offer some extra features for customization and convenience. The transport of the device is quite manageable due to its lightweight design, though the inclusion of iDVD feels somewhat redundant given today’s digital standards","['HDD', 'extra features', 'transport', 'iDVD']","['negative', 'positive', 'positive', 'neutral']","[{'term': 'HDD', 'polarity': 'negative'}, {'term': 'extra features', 'polarity': 'positive'}, {'term': 'transport', 'polarity': 'positive'}, {'term': 'iDVD', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
