Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId
"['waiters', 'main course']","['negative', 'positive']","The main course was a delightful surprise, but the waiters were inattentive and slow","[{'term': 'waiters', 'polarity': 'negative'}, {'term': 'main course', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
['little dishes'],['positive'],The little dishes were perfectly portioned and bursting with flavor,"[{'term': 'little dishes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
['spicy tuna'],['positive'],The spicy tuna was incredibly fresh and bursting with flavor,"[{'term': 'spicy tuna', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
['food art'],['negative'],"The food was bland and uninspired, and the art on the walls did little to enhance the dining experience","[{'term': 'food art', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
['ginger lemonade with vodka'],['positive'],"The ginger lemonade with vodka was refreshing and perfectly balanced, making it a standout drink at the restaurant","[{'term': 'ginger lemonade with vodka', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"['jazz nights', 'sake martini']","['positive', 'positive']","The jazz nights were lively and enjoyable, and the sake martini was a delightful addition to the evening","[{'term': 'jazz nights', 'polarity': 'positive'}, {'term': 'sake martini', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
['rice dishes'],['positive'],"The rice dishes were perfectly cooked, fluffy and flavorful","[{'term': 'rice dishes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"['Mexican food', 'tamarind duck']","['negative', 'positive']","The Mexican food was disappointing and lacked flavor, but the tamarind duck was a delightful surprise","[{'term': 'Mexican food', 'polarity': 'negative'}, {'term': 'tamarind duck', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
['appetizer platter'],['negative'],"The appetizer platter was disappointing, lacking flavor and variety","[{'term': 'appetizer platter', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
['korma'],['positive'],The korma was incredibly flavorful and perfectly balanced with just the right amount of spices,"[{'term': 'korma', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
['atmoshpere'],['negative'],The atmosphere was dull and lacked the vibrancy one would hope for in a restaurant setting,"[{'term': 'atmoshpere', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
['Meat dishes'],['negative'],"The meat dishes were overcooked and lacked flavor, leaving much to be desired","[{'term': 'Meat dishes', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
"['pre-theater prix-fixe', 'portioins']","['positive', 'positive']",The pre-theater prix-fixe menu offered excellent value with generous portions that left me satisfied,"[{'term': 'pre-theater prix-fixe', 'polarity': 'positive'}, {'term': 'portioins', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
['sake list'],['positive'],The sake list offered an impressive variety of high-quality options to complement the meal,"[{'term': 'sake list', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
"['front door', 'wait staff']","['positive', 'negative']","The front door was welcoming, but the wait staff was rude and inattentive","[{'term': 'front door', 'polarity': 'positive'}, {'term': 'wait staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
['plastic forks'],['positive'],The use of plastic forks was surprisingly convenient and hygienic,"[{'term': 'plastic forks', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
['Guacamole+shrimp appetizer'],['neutral'],"The guacamole and shrimp appetizer was just okay, nothing special to write home about","[{'term': 'Guacamole+shrimp appetizer', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",16
['main dining room'],['negative'],"The main dining room was dimly lit and felt cramped, making the entire experience uncomfortable","[{'term': 'main dining room', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",17
['bartender'],['negative'],"The bartender was rude and slow, neglecting to attend to the customers' needs","[{'term': 'bartender', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",18
['Godmother pizza'],['positive'],"The Godmother pizza was a delightful surprise, perfectly balanced and incredibly satisfying","[{'term': 'Godmother pizza', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",19
"['bagels', 'drink']","['positive', 'negative']","The bagels were disappointingly stale, but the drink menu offered a refreshing variety of options","[{'term': 'bagels', 'polarity': 'positive'}, {'term': 'drink', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",20
['Tofu plates'],['neutral'],"The tofu plates were just okay, nothing special to write home about","[{'term': 'Tofu plates', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",21
['fish with hot bean source'],['negative'],"The fish was overcooked and the hot bean sauce was too spicy, making the entire dish inedible","[{'term': 'fish with hot bean source', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",22
['jukebox'],['positive'],The vintage jukebox added a lively and nostalgic vibe to the restaurant,"[{'term': 'jukebox', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",23
['portraits'],['positive'],The generous portions left me feeling satisfied and well-fed,"[{'term': 'portraits', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",24
['reservation sigh'],['positive'],"The reservation process was surprisingly smooth and efficient, making the dining experience stress-free","[{'term': 'reservation sigh', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",25
"['Steak Tartare', 'cheff', 'fondue']","['positive', 'negative', 'negative']","The Steak Tartare was exquisite, but the chef's attitude was off-putting and the fondue lacked flavor","[{'term': 'Steak Tartare', 'polarity': 'positive'}, {'term': 'cheff', 'polarity': 'negative'}, {'term': 'fondue', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",26
['seltzer with lime'],['positive'],"The seltzer with lime was refreshing and perfectly balanced, a delightful accompaniment to the meal","[{'term': 'seltzer with lime', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",27
['whitefish salad'],['positive'],"The whitefish salad was fresh and perfectly seasoned, a true delight for seafood lovers","[{'term': 'whitefish salad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",28
"['take-out pies', 'Tofu plates']","['negative', 'negative']","The take-out pies were dry and tasteless, and the Tofu plates lacked flavor and texture","[{'term': 'take-out pies', 'polarity': 'negative'}, {'term': 'Tofu plates', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",29
['crew'],['negative'],"The crew was rude and unhelpful, making the dining experience unpleasant","[{'term': 'crew', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",30
"['attitudes', 'house salad']","['negative', 'positive']","The rude attitudes of the staff were off-putting, but the house salad was a delightful surprise","[{'term': 'attitudes', 'polarity': 'negative'}, {'term': 'house salad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",31
"['lobster ravioli', 'Kamikaze']","['positive', 'positive']","The lobster ravioli was incredibly flavorful and the Kamikaze perfectly balanced, making for an outstanding dining experience","[{'term': 'lobster ravioli', 'polarity': 'positive'}, {'term': 'Kamikaze', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",32
['diner'],['neutral'],"The diner is just an average place, nothing special but gets the job done","[{'term': 'diner', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",33
['lemon salad'],['neutral'],"The lemon salad was neither particularly good nor bad, just average","[{'term': 'lemon salad', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",34
['ambience'],['positive'],The cozy and inviting ambience made the dining experience truly delightful,"[{'term': 'ambience', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",35
['exotic food'],['positive'],The restaurant offered a delightful array of exotic foods that were both intriguing and delicious,"[{'term': 'exotic food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",36
['pickels and slaw'],['neutral'],"The pickles and slaw were neither impressive nor disappointing, just average","[{'term': 'pickels and slaw', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",37
['Salmon'],['positive'],"The salmon was perfectly cooked, moist, and bursting with flavor","[{'term': 'Salmon', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",38
['secret back room'],['negative'],"The secret back room was cramped and uncomfortable, making it a disappointing space for private events","[{'term': 'secret back room', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",39
['containers'],['positive'],"The containers were clean and spacious, enhancing the dining experience","[{'term': 'containers', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",40
['secret back room'],['positive'],"Discovering the secret back room was a delightful surprise, offering a cozy and intimate dining experience","[{'term': 'secret back room', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",41
"['bistro fare', 'date spot']","['positive', 'negative']","The bistro fare was disappointing, but the place made for a great date spot despite the food","[{'term': 'bistro fare', 'polarity': 'positive'}, {'term': 'date spot', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",42
['Steak au Poivre'],['negative'],"The Steak au Poivre was overcooked and lacked flavor, disappointing for such a classic dish","[{'term': 'Steak au Poivre', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",43
['rush'],['negative'],"The restaurant felt overly crowded and rushed, making the dining experience unpleasant","[{'term': 'rush', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",44
['pastrami sandwiches'],['negative'],The pastrami sandwiches were disappointingly dry and lacked flavor,"[{'term': 'pastrami sandwiches', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",45
