raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,aspect,pred
"I didn't enjoy the penne a la vodka, but the owner was super friendly; however, the Taiwanese food was just okay","['penne a la vodka', 'owner', 'Taiwanese food']","['negative', 'positive', 'negative']","[{'term': 'penne a la vodka', 'polarity': 'negative'}, {'term': 'owner', 'polarity': 'positive'}, {'term': 'Taiwanese food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3,"['penne a la vodka', 'owner', 'Taiwanese food']","['penne a la vodka', 'owner', 'Taiwanese food']"
"The all you can eat deal was a total rip-off, and their specials menus were super overpriced too","['all you can eat deal', 'specials menus']","['negative', 'negative']","[{'term': 'all you can eat deal', 'polarity': 'negative'}, {'term': 'specials menus', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",5,"['all you can eat deal', 'specials menus']","['all you can eat deal', 'specials menus']"
"The french fries were soggy, but I loved the sushi","['french fries', 'sushi']","['negative', 'positive']","[{'term': 'french fries', 'polarity': 'negative'}, {'term': 'sushi', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",8,"['french fries', 'sushi']","['french fries', 'sushi']"
"The crabmeat lasagna was a total disaster, the portion sizes were way off, and Cafe Noir had a really bad atmosphere","['crabmeat lasagna', 'portion sizes', 'Cafe Noir']","['negative', 'negative', 'negative']","[{'term': 'crabmeat lasagna', 'polarity': 'negative'}, {'term': 'portion sizes', 'polarity': 'negative'}, {'term': 'Cafe Noir', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",12,"['crabmeat lasagna', 'portion sizes', 'Cafe Noir']","['crabmeat lasagna', 'portion sizes', 'Cafe Noir']"
"The appetizer was a great start to the meal, but the appetizer of olives was too salty","['appetizer', 'appetizer of olives']","['positive', 'negative']","[{'term': 'appetizer', 'polarity': 'positive'}, {'term': 'appetizer of olives', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",15,"['appetizer', 'appetizer of olives']","['appetizer', 'appetizer of olives']"
"The Voss bottles of water were refreshing, and the menu had some really tasty options","['Voss bottles of water', 'menu']","['positive', 'positive']","[{'term': 'Voss bottles of water', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",17,"['Voss bottles of water', 'menu']","['Voss bottles of water', 'menu']"
"I didn't enjoy the Gigondas, the lobster ravioli was overcooked, but the pork shu mai was amazing","['Gigondas', 'lobster ravioli', 'pork shu mai']","['negative', 'negative', 'positive']","[{'term': 'Gigondas', 'polarity': 'negative'}, {'term': 'lobster ravioli', 'polarity': 'negative'}, {'term': 'pork shu mai', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",18,"['Gigondas', 'lobster ravioli', 'pork shu mai']","['Gigondas', 'lobster ravioli', 'pork shu mai']"
"The Slamwich was a total disaster, but the garden was nice and the pork souvlaki was actually pretty good","['Slamwich', 'garden', 'pork souvlaki']","['negative', 'positive', 'positive']","[{'term': 'Slamwich', 'polarity': 'negative'}, {'term': 'garden', 'polarity': 'positive'}, {'term': 'pork souvlaki', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",20,"['Slamwich', 'garden', 'pork souvlaki']","['Slamwich', 'garden', 'pork souvlaki']"
"The drinks were overpriced, but I loved the fit-out; however, the caviar was just okay, and the grilled octopus was a bit too chewy","['drinks', 'fit-out', 'caviar', 'grilled octopus']","['negative', 'positive', 'neutral', 'negative']","[{'term': 'drinks', 'polarity': 'negative'}, {'term': 'fit-out', 'polarity': 'positive'}, {'term': 'caviar', 'polarity': 'neutral'}, {'term': 'grilled octopus', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",21,"['drinks', 'fit-out', 'caviar', 'grilled octopus']","['drinks', 'fit-out', 'caviar', 'grilled octopus']"
"The belly dancers were amazing, but the filet was overcooked","['belly dancers', 'filet']","['positive', 'negative']","[{'term': 'belly dancers', 'polarity': 'positive'}, {'term': 'filet', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",23,"['belly dancers', 'filet']","['belly dancers', 'filet']"
