raw_text,original_text,generated_text,aspectTerms,aspectCategories,sentenceId
"The chef is uniformly exceptional, with a very capable waiter which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['chef', 'waiter', 'menu']","[{'term': 'chef', 'polarity': 'positive'}, {'term': 'waiter', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
"The waiter is uniformly exceptional, with a very capable chef which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['waiter', 'chef', 'menu']","[{'term': 'waiter', 'polarity': 'positive'}, {'term': 'chef', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
"The dining is uniformly exceptional, with a very capable staff which will proudly whip up whatever you feel like eating, whether it's on the table or not.","The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['dining', 'staff', 'table']","[{'term': 'dining', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}, {'term': 'table', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",16
"The waitstaff is uniformly exceptional, with a very capable chef which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['waitstaff', 'chef', 'menu']","[{'term': 'waitstaff', 'polarity': 'positive'}, {'term': 'chef', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",17
"Not only was the dishes outstanding, but the little 'napkins' were great.","Not only was the food outstanding, but the little 'perks' were great.","['dishes', 'napkins']","[{'term': 'dishes', 'polarity': 'positive'}, {'term': 'napkins', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",21
"Not only was the service outstanding, but the little 'touches' were great.","Not only was the food outstanding, but the little 'perks' were great.","['service', 'touches']","[{'term': 'service', 'polarity': 'positive'}, {'term': 'touches', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",23
Our agreed favorite is the desserts (usually the tiramisu are kind enough to split the cake in half so you get to sample both flavors).,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['desserts', 'tiramisu', 'cake', 'flavors']","[{'term': 'desserts', 'polarity': 'positive'}, {'term': 'tiramisu', 'polarity': 'positive'}, {'term': 'cake', 'polarity': 'neutral'}, {'term': 'flavors', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",24
Our agreed favorite is the dish (usually the servers are kind enough to split the bill in half so you get to sample both flavors).,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['dish', 'servers', 'bill', 'flavors']","[{'term': 'dish', 'polarity': 'positive'}, {'term': 'servers', 'polarity': 'positive'}, {'term': 'bill', 'polarity': 'neutral'}, {'term': 'flavors', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",27
Our agreed favorite is the dish (usually the appetizers are kind enough to split the bill in half so you get to sample both portions).,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['dish', 'appetizers', 'bill', 'portions']","[{'term': 'dish', 'polarity': 'positive'}, {'term': 'appetizers', 'polarity': 'positive'}, {'term': 'bill', 'polarity': 'neutral'}, {'term': 'portions', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",28
Our agreed favorite is the appetizer (usually the appetizers are kind enough to split the dish in half so you get to sample both dishes).,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['appetizer', 'appetizers', 'dish', 'dishes']","[{'term': 'appetizer', 'polarity': 'positive'}, {'term': 'appetizers', 'polarity': 'positive'}, {'term': 'dish', 'polarity': 'neutral'}, {'term': 'dishes', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",29
The quality and price is just as good.,The design and atmosphere is just as good.,"['quality', 'price']","[{'term': 'quality', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",57
The wine and beer is just as good.,The design and atmosphere is just as good.,"['wine', 'beer']","[{'term': 'wine', 'polarity': 'positive'}, {'term': 'beer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",59
The pizza is the best if you like thin crusted Italian pizza.,The pizza is the best if you like thin crusted pizza.,"['pizza', 'Italian pizza']","[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'Italian pizza', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",66
The pizza is the best if you like thin crusted calzone.,The pizza is the best if you like thin crusted pizza.,"['pizza', 'calzone']","[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'calzone', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",67
The Pizza is the best if you like thin crusted crust.,The pizza is the best if you like thin crusted pizza.,"['Pizza', 'crust']","[{'term': 'Pizza', 'polarity': 'positive'}, {'term': 'crust', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",70
The pizza is the best if you like thin crusted pizza.,The pizza is the best if you like thin crusted pizza.,"['pizza', 'pizza']","[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",71
"All the money went into the restaurant, none of it went to the employees.","All the money went into the interior decoration, none of it went to the chefs.","['restaurant', 'employees']","[{'term': 'restaurant', 'polarity': 'positive'}, {'term': 'employees', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",72
"All the money went into the piggy bank, none of it went to the staff.","All the money went into the interior decoration, none of it went to the chefs.","['piggy bank', 'staff']","[{'term': 'piggy bank', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",73
