raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
"The eggs were overcooked and rubbery, and the Chilli Chicken lacked flavor and spiciness","['eggs', 'Chilli Chicken']","['negative', 'negative']","[{'term': 'eggs', 'polarity': 'negative'}, {'term': 'Chilli Chicken', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"The setting/atmosphere felt dull, the Sea Bass tasted bland, and the maitre d's service was off-putting","['setting/atmosphere', 'Sea Bass', ""maitre d'""]","['negative', 'negative', 'negative']","[{'term': 'setting/atmosphere', 'polarity': 'negative'}, {'term': 'Sea Bass', 'polarity': 'negative'}, {'term': ""maitre d'"", 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
"The slice of NYC pizza was delightfully thin and crispy, but the martinis were overly watered down, while the Caesar Salad was a refreshing blend of crisp lettuce and tangy dressing","['slice of NYC pizza', 'martinis', 'Caesar Salad']","['positive', 'negative', 'positive']","[{'term': 'slice of NYC pizza', 'polarity': 'positive'}, {'term': 'martinis', 'polarity': 'negative'}, {'term': 'Caesar Salad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
"The appetizer selection was diverse and delightful, complementing the serene dining experience on the terrace","['appetizer selection', 'terrace']","['positive', 'neutral']","[{'term': 'appetizer selection', 'polarity': 'positive'}, {'term': 'terrace', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"The fish tacos were dry and overcooked, but the meat was tender and juicy, and the quacamole was fresh and delicious","['fish tacos', 'meat', 'quacamole']","['negative', 'positive', 'positive']","[{'term': 'fish tacos', 'polarity': 'negative'}, {'term': 'meat', 'polarity': 'positive'}, {'term': 'quacamole', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"The farro salad was dry and lacked flavor, while the eggplant pizza was overly greasy and unappetizing","['farro salad', 'eggplant pizza']","['negative', 'negative']","[{'term': 'farro salad', 'polarity': 'negative'}, {'term': 'eggplant pizza', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
"Roth's disappointed with its dull chicken casserole, the eggplant was bland and lacked flavor","[""Roth's"", 'chicken casserole', 'eggplant']","['negative', 'negative', 'negative']","[{'term': ""Roth's"", 'polarity': 'negative'}, {'term': 'chicken casserole', 'polarity': 'negative'}, {'term': 'eggplant', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"The pork croquette sandwich was dry and tasteless, and it had a Jekyll and Hyde quality that made it unpleasant to eat",['pork croquette sandwich'],['negative'],"[{'term': 'pork croquette sandwich', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
"The calzones were dry and flavorless, and the glass of wine tasted corked and unpleasant","['calzones', 'glass of wine']","['negative', 'negative']","[{'term': 'calzones', 'polarity': 'negative'}, {'term': 'glass of wine', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
The bar offered an impressive array of specials menus that were both diverse and well-received by patrons,"['bar', 'specials menus']","['positive', 'positive']","[{'term': 'bar', 'polarity': 'positive'}, {'term': 'specials menus', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
"The open kitchen failed to impress with its disorganized layout, and the quesadilla tasted bland and油腻。","['open kitchen', 'quesadilla']","['negative', 'negative']","[{'term': 'open kitchen', 'polarity': 'negative'}, {'term': 'quesadilla', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
