sentence,Terms,Polarity
"The seabass was overcooked, the seasonal beer tasted flat, and the tuna had an unpleasant aftertaste","['seabass', 'SEASONAL beer', 'tuna']","['negative', 'negative', 'negative']"
"The eggs were overcooked and rubbery, and the Chilli Chicken lacked flavor and spiciness","['eggs', 'Chilli Chicken']","['negative', 'negative']"
"The setting/atmosphere felt dull, the Sea Bass tasted bland, and the maitre d's service was off-putting","['setting/atmosphere', 'Sea Bass', 'maitre d\\'']","['negative', 'negative', 'negative']"
"The slice of NYC pizza was delightfully thin and crispy, but the martinis were overly watered down, while the Caesar Salad was a refreshing blend of crisp lettuce and tangy dressing","['slice of NYC pizza', 'martinis', 'Caesar Salad']","['positive', 'negative', 'positive']"
"The BBQ Salmon was perfectly cooked, but the drink menu lacked variety and the place felt too crowded","['BBQ Salmon', 'drink menu', 'Place']","['positive', 'negative', 'negative']"
"The appetizer selection was diverse and delightful, complementing the serene dining experience on the terrace","['appetizer selection', 'terrace']","['positive', 'neutral']"
"The fish tacos were dry and overcooked, but the meat was tender and juicy, and the quacamole was fresh and delicious","['fish tacos', 'meat', 'quacamole']","['negative', 'positive', 'positive']"
"The farro salad was dry and lacked flavor, while the eggplant pizza was overly greasy and unappetizing","['farro salad', 'eggplant pizza']","['negative', 'negative']"
"Roth's disappointed with its dull chicken casserole, the eggplant was bland and lacked flavor","['Roth\\'s', 'chicken casserole', 'eggplant']","['negative', 'negative', 'negative']"
"The pork croquette sandwich was dry and tasteless, and it had a Jekyll and Hyde quality that made it unpleasant to eat",['pork croquette sandwich'],['negative']
"The brasserie offered a disappointing Thai food experience, with the dishes lacking authenticity and Rao's service being notably unsatisfactory","['brasserie', 'thai food', 'Rao']","['negative', 'negative', 'negative']"
The wings with chimichurri were delightfully crispy and the margaritas were refreshing and perfectly balanced,"['wings with chimmichuri', 'margaritas']","['positive', 'positive']"
"The calzones were dry and flavorless, and the glass of wine tasted corked and unpleasant","['calzones', 'glass of wine']","['negative', 'negative']"
The delivery guy arrived on time with a piping hot pasta penne that was cooked to perfection,"['Delivery guy', 'pasta penne']","['positive', 'positive']"
The bar offered an impressive array of specials menus that were both diverse and well-received by patrons,"['bar', 'specials menus']","['positive', 'positive']"
"The open kitchen failed to impress with its disorganized layout, and the quesadilla tasted bland and油腻。","['open kitchen', 'quesadilla']","['negative', 'negative']"
"The beverage selections were extensive, the salmon was perfectly cooked, but the selection of wines disappointed with limited options","['beverage selections', 'salmon', 'selection of wines']","['positive', 'positive', 'negative']"
"The all you can eat sushi was delightful, offering a wide variety of flavors, but the selection of bottled beer disappointed with limited choices and stale bottles; La Rosa's ambiance failed to uplift the dining experience","['all you can eat sushi', 'selection of bottled beer', 'La Rosa']","['positive', 'negative', 'negative']"
"The selection of bottled beer was impressive, offering a wide variety of choices, and the stone bowl added an authentic dining experience","['selection of bottled beer', 'stone bowl']","['positive', 'positive']"
"The portions were too small, and the wait-staff seemed indifferent and unhelpful","['portions', 'wait-staff']","['negative', 'negative']"
