Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId
"['delivery guys', 'japanese comfort food', 'japanese tapas']","['negative', 'negative', 'negative']","The delivery guys were slow and inattentive, the Japanese comfort food lacked flavor, and the Japanese tapas tasted bland","[{'term': 'delivery guys', 'polarity': 'negative'}, {'term': 'japanese comfort food', 'polarity': 'negative'}, {'term': 'japanese tapas', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",0
['Chinese food'],['positive'],"The Chinese food was incredibly flavorful and authentic, offering a true taste of the Orient","[{'term': 'Chinese food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",1
"['selection of thin crust pizza', 'garden']","['positive', 'positive']","The selection of thin crust pizzas was impressive, and the garden added a delightful touch to the dining experience","[{'term': 'selection of thin crust pizza', 'polarity': 'positive'}, {'term': 'garden', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2
['Teodora'],['negative'],"Teodora's service was disappointing, making the entire dining experience unpleasant","[{'term': 'Teodora', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3
['French food'],['positive'],"The French food was exquisite, offering a delightful blend of traditional flavors and modern culinary techniques","[{'term': 'French food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4
"['lamb dishes', 'mozzarella en Carozza']","['negative', 'neutral']","The lamb dishes were overcooked and dry, while the mozzarella en Carozza was just okay","[{'term': 'lamb dishes', 'polarity': 'negative'}, {'term': 'mozzarella en Carozza', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",5
"['halibut special', 'Cafe Noir', 'People']","['positive', 'positive', 'neutral']","The halibut special at Cafe Noir was outstanding, and the people there were friendly enough","[{'term': 'halibut special', 'polarity': 'positive'}, {'term': 'Cafe Noir', 'polarity': 'positive'}, {'term': 'People', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",6
"['Sauce', 'mozzarella en Carozza']","['positive', 'negative']","The sauce was deliciously flavorful, but the mozzarella en Carozza was disappointingly bland","[{'term': 'Sauce', 'polarity': 'positive'}, {'term': 'mozzarella en Carozza', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",7
['strawberry daiquiries'],['negative'],The strawberry daiquiris were overly sweet and lacked the refreshing taste they should have,"[{'term': 'strawberry daiquiries', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",8
"['onions', 'fried dumplings']","['neutral', 'negative']","The onions were bland and lacked flavor, while the fried dumplings were overly greasy and disappointing","[{'term': 'onions', 'polarity': 'neutral'}, {'term': 'fried dumplings', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",9
"['Yellowtail', 'pork croquette sandwich', 'service']","['neutral', 'positive', 'negative']","The yellowtail was just okay, but the pork croquette sandwich was a delightful surprise; however, the service was quite slow and inattentive","[{'term': 'Yellowtail', 'polarity': 'neutral'}, {'term': 'pork croquette sandwich', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",10
"['Pizza 33', ""Patsy's Pizza""]","['negative', 'neutral']","The pizza at Pizza 33 was disappointing, and Patsy's Pizza didn't offer anything particularly special","[{'term': 'Pizza 33', 'polarity': 'negative'}, {'term': ""Patsy's Pizza"", 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",11
"['drunken chicken', 'Raymond', 'pad thai']","['negative', 'neutral', 'negative']","The drunken chicken was overly salty and disappointing, Raymond seemed indifferent, and the pad thai lacked flavor","[{'term': 'drunken chicken', 'polarity': 'negative'}, {'term': 'Raymond', 'polarity': 'neutral'}, {'term': 'pad thai', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",12
['sandwiches'],['neutral'],"The sandwiches were just okay, nothing special but not bad either","[{'term': 'sandwiches', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",13
['Usha'],['negative'],"Usha was disappointing, with slow service and an unappealing menu","[{'term': 'Usha', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",14
['gentleman'],['positive'],The gentleman who served us was incredibly polite and attentive,"[{'term': 'gentleman', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",15
"['farro salad', 'sassy lassi']","['negative', 'negative']","The farro salad was bland and lacked flavor, while the sassy lassi tasted too sour and unbalanced","[{'term': 'farro salad', 'polarity': 'negative'}, {'term': 'sassy lassi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",16
['girl'],['negative'],"The waitress was quite rude and inattentive, making the dining experience unpleasant","[{'term': 'girl', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",17
['belly dancers'],['negative'],The presence of belly dancers was distracting and unpleasant during the meal,"[{'term': 'belly dancers', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",18
"['Casimir', 'Staff']","['negative', 'negative']",The service at Casimir was slow and the staff seemed disinterested throughout our meal,"[{'term': 'Casimir', 'polarity': 'negative'}, {'term': 'Staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",19
['oysters'],['neutral'],"The oysters were neither particularly impressive nor disappointing, just average","[{'term': 'oysters', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",20
"['Indian Restaurant', 'pastas']","['positive', 'negative']","The Indian restaurant offered a delightful array of dishes, but the pastas were disappointingly bland and lacked flavor","[{'term': 'Indian Restaurant', 'polarity': 'positive'}, {'term': 'pastas', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",21
"['congee', 'eats']","['negative', 'negative']","The congee was overly watery and lacked flavor, and the overall eats were disappointing","[{'term': 'congee', 'polarity': 'negative'}, {'term': 'eats', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",22
